Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0
Cyclic-1.03MB,1.0,0.7183098591549296,1.0
Cyclic-1.54MB,1.0,0.0,0.0
FaceDet-0.33MB,1.0,1.0,1.0
FaceDet-1.24MB,1.0,0.971830985915493,0.6901408450704225
FaceDet-1.54MB,1.0,0.16901408450704225,0.09859154929577464
High Resources - Low Resources-14.25MB,1.0,0.0,0.2535211267605634
High Resources - Low Resources-2.07MB,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,0.0,1.0
Homogeneous-0.49MB,1.0,1.0,1.0
Homogeneous-0.82MB,1.0,1.0,0.19718309859154928
Homogeneous-1.24MB,1.0,0.07042253521126761,0.0
Long-Short-0.33MB,1.0,1.0,1.0
Long-Short-1.03MB,1.0,1.0,0.43661971830985913
Long-Short-1.24MB,1.0,0.09859154929577464,0.0
Low Resources - High Resources-0.33MB,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,0.0,1.0
Low Resources - High Resources-1.54MB,1.0,0.0,0.14084507042253522
Random-14.34MB,1.0,0.056338028169014086,0.014084507042253521
Random-2.1MB,1.0,1.0,1.0
Random-6.18MB,1.0,0.9295774647887324,1.0
Short-Long-0.49MB,1.0,1.0,1.0
Short-Long-0.82MB,1.0,1.0,0.0
Short-Long-1.54MB,1.0,0.19718309859154928,0.0
Staircase-0.33MB,1.0,1.0,1.0
Staircase-1.03MB,1.0,0.8450704225352113,0.9014084507042254
Staircase-1.54MB,1.0,0.0,0.16901408450704225
VidPro-227.85MB,1.0,1.0,0.1267605633802817
VidPro-40.3MB,1.0,1.0,1.0
VidPro-500.73MB,1.0,0.0,0.0
