,rmse,bo_xi,function,input_size
135,0.18765053002997026,0.01,cut-video,8450897
144,0.18765053002997026,0.05,cut-video,8450897
153,0.18765053002997026,0.1,cut-video,8450897
162,0.18765053002997026,0.5,cut-video,8450897
171,0.18765053002997026,1.0,cut-video,8450897
180,0.18765053002997026,1.5,cut-video,8450897
189,0.18765053002997026,2.0,cut-video,8450897
198,0.18765158890772685,2.5,cut-video,8450897
207,0.18765351566752542,3.0,cut-video,8450897
145,0.12199641209527783,0.05,cut-video,16901793
172,0.1355343371746027,1.0,cut-video,16901793
181,0.161674638434901,1.5,cut-video,16901793
190,0.17192062411718767,2.0,cut-video,16901793
208,0.19869368790032296,3.0,cut-video,16901793
199,0.24498512194457925,2.5,cut-video,16901793
163,0.2893308224560049,0.5,cut-video,16901793
154,0.3515329753970693,0.1,cut-video,16901793
136,0.39279530409888674,0.01,cut-video,16901793
137,0.1909472524322945,0.01,cut-video,33803586
146,0.1909472524322945,0.05,cut-video,33803586
155,0.1909472524322945,0.1,cut-video,33803586
164,0.1909472524322945,0.5,cut-video,33803586
173,0.1909472524322945,1.0,cut-video,33803586
182,0.1909472524322945,1.5,cut-video,33803586
191,0.1909472524322945,2.0,cut-video,33803586
200,0.1909472524322945,2.5,cut-video,33803586
209,0.1909472524322945,3.0,cut-video,33803586
210,0.07049957784320655,3.0,cut-video,47783069
183,0.08786284354333826,1.5,cut-video,47783069
201,0.1218878377386129,2.5,cut-video,47783069
147,0.12193032474567883,0.05,cut-video,47783069
192,0.12245168390773221,2.0,cut-video,47783069
165,0.16300937449687203,0.5,cut-video,47783069
138,0.16421460084709197,0.01,cut-video,47783069
156,0.16469610446607144,0.1,cut-video,47783069
174,0.16483785663923986,1.0,cut-video,47783069
202,0.2066278895881382,2.5,cut-video,95566138
211,0.2066278895881382,3.0,cut-video,95566138
175,0.20662819569529722,1.0,cut-video,95566138
166,0.20662840027317636,0.5,cut-video,95566138
184,0.2066286747863838,1.5,cut-video,95566138
193,0.2066286747863838,2.0,cut-video,95566138
139,0.20662868849136162,0.01,cut-video,95566138
148,0.20662868849136162,0.05,cut-video,95566138
157,0.20662868849136162,0.1,cut-video,95566138
141,0.049631694235880736,0.01,cut-video,105009885
195,0.04997833651069496,2.0,cut-video,105009885
150,0.05199104869753322,0.05,cut-video,105009885
204,0.056052609053847326,2.5,cut-video,105009885
177,0.0618660751703741,1.0,cut-video,105009885
213,0.07645519144220075,3.0,cut-video,105009885
186,0.07961886771964383,1.5,cut-video,105009885
168,0.08351758146152762,0.5,cut-video,105009885
159,0.1398325658476949,0.1,cut-video,105009885
212,0.04198523754771106,3.0,cut-video,191132276
149,0.05069820025275912,0.05,cut-video,191132276
194,0.05460377562782527,2.0,cut-video,191132276
203,0.055160790995251056,2.5,cut-video,191132276
167,0.055885146595749946,0.5,cut-video,191132276
140,0.064870653978081,0.01,cut-video,191132276
185,0.07794985611435185,1.5,cut-video,191132276
176,0.0795432680742622,1.0,cut-video,191132276
158,0.10606841233714445,0.1,cut-video,191132276
187,0.03507745425891213,1.5,cut-video,210019770
205,0.05207078832251325,2.5,cut-video,210019770
196,0.05714538544784611,2.0,cut-video,210019770
142,0.06056794430002783,0.01,cut-video,210019770
160,0.06564355366629954,0.1,cut-video,210019770
214,0.06998208534820162,3.0,cut-video,210019770
169,0.07216390999210834,0.5,cut-video,210019770
178,0.07903170953873473,1.0,cut-video,210019770
151,0.09563652912632443,0.05,cut-video,210019770
152,0.062878185516613,0.05,cut-video,420039539
143,0.06287882004351696,0.01,cut-video,420039539
161,0.06288305086856613,0.1,cut-video,420039539
170,0.06292358663762153,0.5,cut-video,420039539
188,0.06716691553192233,1.5,cut-video,420039539
206,0.06716827520256675,2.5,cut-video,420039539
197,0.06716865764790811,2.0,cut-video,420039539
179,0.06717082747381034,1.0,cut-video,420039539
215,0.06717713062289235,3.0,cut-video,420039539
369,0.22621872365294038,0.01,detect-faces,2168077
375,0.22621872365294038,0.05,detect-faces,2168077
381,0.22621872365294038,0.1,detect-faces,2168077
387,0.22621872365294038,0.5,detect-faces,2168077
393,0.22621872365294038,1.0,detect-faces,2168077
399,0.22621872365294038,1.5,detect-faces,2168077
405,0.22621872365294038,2.0,detect-faces,2168077
411,0.22621898982699473,2.5,detect-faces,2168077
417,0.22621898982699473,3.0,detect-faces,2168077
394,0.0691479385289465,1.0,detect-faces,2200720
412,0.07485462189457676,2.5,detect-faces,2200720
370,0.0877269084810585,0.01,detect-faces,2200720
400,0.11438843005753357,1.5,detect-faces,2200720
388,0.1271078609445355,0.5,detect-faces,2200720
382,0.12822851138025548,0.1,detect-faces,2200720
376,0.13209763315417747,0.05,detect-faces,2200720
418,0.13670222939102306,3.0,detect-faces,2200720
406,0.1826535679647732,2.0,detect-faces,2200720
383,0.06927933057557302,0.1,detect-faces,6462780
389,0.0773214491900692,0.5,detect-faces,6462780
371,0.07912519218730088,0.01,detect-faces,6462780
419,0.08223192443142023,3.0,detect-faces,6462780
407,0.09191232817502926,2.0,detect-faces,6462780
401,0.10092068530657658,1.5,detect-faces,6462780
413,0.10405993244368034,2.5,detect-faces,6462780
395,0.10902071697951836,1.0,detect-faces,6462780
377,0.17073344702386248,0.05,detect-faces,6462780
384,0.07517085095049245,0.1,detect-faces,6478567
408,0.08709056190127708,2.0,detect-faces,6478567
378,0.09287502609744071,0.05,detect-faces,6478567
372,0.09637676766240176,0.01,detect-faces,6478567
420,0.10312661947785574,3.0,detect-faces,6478567
396,0.11077284293761955,1.0,detect-faces,6478567
414,0.11163768842036283,2.5,detect-faces,6478567
402,0.12452665399878757,1.5,detect-faces,6478567
390,0.1471324227010322,0.5,detect-faces,6478567
415,0.07037315958144168,2.5,detect-faces,14938139
403,0.08480509629514134,1.5,detect-faces,14938139
373,0.0879001651077802,0.01,detect-faces,14938139
397,0.08985370704784972,1.0,detect-faces,14938139
385,0.09151267087479306,0.1,detect-faces,14938139
391,0.09478750166983366,0.5,detect-faces,14938139
409,0.10368106206207958,2.0,detect-faces,14938139
421,0.1213439809159907,3.0,detect-faces,14938139
379,0.13357426013805201,0.05,detect-faces,14938139
380,0.07344178815493323,0.05,detect-faces,15033099
404,0.07972335566391835,1.5,detect-faces,15033099
398,0.08241766127789385,1.0,detect-faces,15033099
416,0.08850851750154633,2.5,detect-faces,15033099
422,0.09602727388684734,3.0,detect-faces,15033099
410,0.13740863751691676,2.0,detect-faces,15033099
386,0.1385343223833503,0.1,detect-faces,15033099
392,0.16625597921376006,0.5,detect-faces,15033099
374,0.18544226967930752,0.01,detect-faces,15033099
30,0.04295812298047427,0.05,extract-basic-stats,2467840
33,0.05185848444846645,0.1,extract-basic-stats,2467840
39,0.05392498076320267,1.0,extract-basic-stats,2467840
42,0.05392498076320267,1.5,extract-basic-stats,2467840
45,0.05392498076320267,2.0,extract-basic-stats,2467840
48,0.05392498076320267,2.5,extract-basic-stats,2467840
51,0.05392498076320267,3.0,extract-basic-stats,2467840
36,0.054019172941122844,0.5,extract-basic-stats,2467840
27,0.05993052297813104,0.01,extract-basic-stats,2467840
49,0.022646011286122328,2.5,extract-basic-stats,56909824
52,0.022816639348811216,3.0,extract-basic-stats,56909824
37,0.023393395676101124,0.5,extract-basic-stats,56909824
43,0.02343328615428791,1.5,extract-basic-stats,56909824
40,0.02354181217402668,1.0,extract-basic-stats,56909824
46,0.023981446789009417,2.0,extract-basic-stats,56909824
31,0.025011080575705866,0.05,extract-basic-stats,56909824
34,0.025173835655594858,0.1,extract-basic-stats,56909824
28,0.025176620547973143,0.01,extract-basic-stats,56909824
44,0.01442950252355836,1.5,extract-basic-stats,100449280
38,0.014878160365012636,0.5,extract-basic-stats,100449280
29,0.014946244505543804,0.01,extract-basic-stats,100449280
32,0.01495184529297658,0.05,extract-basic-stats,100449280
35,0.01495184529297658,0.1,extract-basic-stats,100449280
41,0.014966571333548314,1.0,extract-basic-stats,100449280
47,0.0173583142535114,2.0,extract-basic-stats,100449280
50,0.0173583142535114,2.5,extract-basic-stats,100449280
53,0.0173583142535114,3.0,extract-basic-stats,100449280
84,0.08238843688091485,0.05,extract-success-stats,2070369
81,0.09004752569002991,0.01,extract-success-stats,2070369
87,0.0926461151973142,0.1,extract-success-stats,2070369
93,0.0975584068989476,1.0,extract-success-stats,2070369
96,0.10145389352598046,1.5,extract-success-stats,2070369
102,0.11299394294794222,2.5,extract-success-stats,2070369
90,0.11613494539032192,0.5,extract-success-stats,2070369
99,0.12053101618827072,2.0,extract-success-stats,2070369
105,0.12329625249066885,3.0,extract-success-stats,2070369
91,0.041107199782664944,0.5,extract-success-stats,21511278
94,0.041107199782664944,1.0,extract-success-stats,21511278
97,0.04189763682648886,1.5,extract-success-stats,21511278
