Workflow,ChunkFunc,CF-Oracle,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0,1.0
Cyclic-1.03MB,1.0,1.0,1.0,0.6338028169014085
Cyclic-1.54MB,1.0,1.0,0.0,0.11267605633802817
FaceDet-0.33MB,1.0,1.0,1.0,1.0
FaceDet-1.24MB,1.0,1.0,0.8873239436619719,0.07042253521126761
FaceDet-1.54MB,1.0,1.0,0.323943661971831,0.0
High Resources - Low Resources-14.25MB,1.0,1.0,0.0,0.18309859154929578
High Resources - Low Resources-2.07MB,1.0,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,1.0,0.9014084507042254,0.6197183098591549
Homogeneous-0.49MB,1.0,1.0,1.0,0.971830985915493
Homogeneous-0.82MB,1.0,1.0,1.0,0.8873239436619719
Homogeneous-1.24MB,1.0,1.0,0.0,0.0
Low Resources - High Resources-0.33MB,1.0,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,1.0,0.9014084507042254,0.647887323943662
Low Resources - High Resources-1.54MB,1.0,1.0,0.0,0.18309859154929578
Random-14.34MB,1.0,1.0,0.0,0.352112676056338
Random-2.1MB,1.0,1.0,1.0,1.0
Random-6.18MB,1.0,1.0,1.0,0.6338028169014085
Staircase-0.33MB,1.0,1.0,1.0,1.0
Staircase-1.03MB,1.0,1.0,1.0,0.5633802816901409
Staircase-1.54MB,1.0,1.0,0.0,0.18309859154929578
VidPro-227.85MB,1.0,1.0,1.0,0.8591549295774648
VidPro-40.3MB,1.0,1.0,1.0,1.0
VidPro-500.73MB,0.9859154929577465,0.9859154929577465,0.0,0.0
