Workflow,ChunkFunc,SLAM,StepConf
Cyclic,1.0,0.6431924882629109,0.6948356807511736
FaceDet,1.0,0.6995305164319249,0.7230046948356809
High Resources - Low Resources,0.92018779342723,0.6103286384976526,0.7370892018779344
Homogeneous,1.0,0.6666666666666666,0.4413145539906103
Long-Short,1.0,0.6666666666666666,0.431924882629108
Low Resources - High Resources,1.0,0.6150234741784038,0.7699530516431925
Random,1.0,0.6291079812206574,0.7934272300469484
Short-Long,1.0,0.6666666666666666,0.18779342723004697
Staircase,1.0,0.6384976525821596,0.7746478873239436
VidPro,1.0,0.6666666666666666,0.37558685446009393
