Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0
Cyclic-1.03MB,1.0,1.0,1.0
Cyclic-1.54MB,1.0,0.0,0.676056338028169
FaceDet-0.33MB,1.0,1.0,1.0
FaceDet-1.24MB,1.0,1.0,0.8309859154929577
FaceDet-1.54MB,1.0,0.6619718309859155,0.5211267605633803
High Resources - Low Resources-14.25MB,1.0,0.0,0.4788732394366197
High Resources - Low Resources-2.07MB,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,1.0,1.0
Homogeneous-0.49MB,1.0,1.0,1.0
Homogeneous-0.82MB,1.0,1.0,0.8169014084507042
Homogeneous-1.24MB,1.0,0.18309859154929578,0.5915492957746479
LogPro-2.35MB,1.0,1.0,1.0
LogPro-54.27MB,1.0,1.0,1.0
LogPro-95.8MB,1.0,0.0,0.6774193548387096
Low Resources - High Resources-0.33MB,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,1.0,1.0
Low Resources - High Resources-1.54MB,1.0,0.0,0.4225352112676056
Random-14.34MB,1.0,0.08450704225352113,0.08450704225352113
Random-2.1MB,1.0,1.0,1.0
Random-6.18MB,1.0,1.0,1.0
Staircase-0.33MB,1.0,1.0,1.0
Staircase-1.03MB,1.0,0.9859154929577465,0.9577464788732394
Staircase-1.54MB,1.0,0.0,0.23943661971830985
VidPro-227.85MB,1.0,1.0,0.971830985915493
VidPro-40.3MB,1.0,1.0,1.0
VidPro-500.73MB,1.0,0.4084507042253521,0.30985915492957744
