Workflow,ChunkFunc,SLAM,StepConf
Cyclic,1.0,0.6666666666666666,0.9012345679012346
FaceDet,1.0,0.8683127572016461,0.7777777777777778
High Resources - Low Resources,1.0,0.6666666666666666,0.831275720164609
Homogeneous,1.0,0.7407407407407408,0.8065843621399177
Long-Short,1.0,0.8271604938271605,0.7407407407407408
Low Resources - High Resources,1.0,0.6666666666666666,0.8065843621399177
Random,1.0,0.6666666666666666,0.625514403292181
LogPro,1.0,0.6666666666666666,0.8924731182795699
Short Cyclic,1.0,0.691358024691358,0.9053497942386831
Short Homogeneous,1.0,1.0,0.7201646090534979
Short-Long Random,1.0,0.6666666666666666,0.8065843621399177
Short-Long,1.0,0.9794238683127571,0.7037037037037037
Short Staircase,1.0,0.8065843621399177,0.8271604938271605
Staircase,1.0,0.6625514403292181,0.7407407407407406
VidPro,1.0,0.7860082304526749,0.6872427983539096
