strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,2202818,0.0073339999999999985,0.16666666666666666
Cheapest,1.03MB,100,2425992,0.008091999999999997,0.38095238095238093
Cheapest,1.54MB,100,2426647,0.008091999999999997,0.2619047619047619
Fastest,0.49MB,100,380434,0.060387,0.19047619047619047
Fastest,1.03MB,100,824986,0.13641700000000004,0.6666666666666666
Fastest,1.54MB,100,1031725,0.171819,0.23809523809523808
ProportionalCriticalPathSlo,0.49MB,1124001,1094951,0.03293200000000001,1.6666666666666667
ProportionalCriticalPathSlo,0.49MB,1141292,1116917,0.03225000000000001,1.7142857142857142
ProportionalCriticalPathSlo,0.49MB,1158583,1117789,0.03221000000000001,1.4285714285714286
ProportionalCriticalPathSlo,0.49MB,1175874,1117789,0.03221000000000001,1.2857142857142858
ProportionalCriticalPathSlo,0.49MB,1193165,1186269,0.03059000000000001,1.5952380952380953
ProportionalCriticalPathSlo,0.49MB,1210456,1193548,0.030474000000000005,1.3095238095238095
ProportionalCriticalPathSlo,0.49MB,1227747,1194098,0.030447000000000005,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1245038,1194098,0.030447000000000005,1.5
ProportionalCriticalPathSlo,0.49MB,1262329,1194098,0.030447000000000005,1.4047619047619047
ProportionalCriticalPathSlo,0.49MB,1279620,1211185,0.03017400000000001,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1296911,1280790,0.02852700000000001,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1314202,1280790,0.02852700000000001,1.4047619047619047
ProportionalCriticalPathSlo,0.49MB,1331493,1281340,0.02850000000000001,2
ProportionalCriticalPathSlo,0.49MB,1348784,1281340,0.02850000000000001,1.619047619047619
ProportionalCriticalPathSlo,0.49MB,1366075,1349820,0.02688000000000001,1.4523809523809523
ProportionalCriticalPathSlo,0.49MB,1383366,1349820,0.02688000000000001,1.4523809523809523
ProportionalCriticalPathSlo,0.49MB,1400657,1356777,0.026777000000000013,1.0238095238095237
ProportionalCriticalPathSlo,0.49MB,1417948,1357099,0.026764000000000013,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,1435239,1367229,0.026594000000000013,1.2857142857142858
ProportionalCriticalPathSlo,0.49MB,1452530,1436412,0.024957000000000014,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,1469821,1443919,0.02482700000000001,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1487112,1443919,0.02482700000000001,1.2142857142857142
ProportionalCriticalPathSlo,0.49MB,1504403,1450876,0.02472400000000001,1.5714285714285714
ProportionalCriticalPathSlo,0.49MB,1521694,1461328,0.024541000000000014,1.5238095238095237
ProportionalCriticalPathSlo,0.49MB,1538985,1527807,0.023208000000000006,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,1556276,1530933,0.02289400000000001,1.4761904761904763
ProportionalCriticalPathSlo,0.49MB,1573567,1531483,0.022867000000000012,1.6904761904761905
ProportionalCriticalPathSlo,0.49MB,1590858,1531483,0.022867000000000012,1.7619047619047619
ProportionalCriticalPathSlo,0.49MB,1608149,1596527,0.021674000000000006,1.1428571428571428
