strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,2220926,0.004656,0.5476190476190477
Cheapest,1.03MB,100,2618636,0.005494000000000001,0.2857142857142857
Cheapest,1.54MB,100,2834295,0.00595,0.3333333333333333
Fastest,0.49MB,100,365141,0.05885700000000002,0.6190476190476191
Fastest,1.03MB,100,794215,0.13039600000000004,0.21428571428571427
Fastest,1.54MB,100,961476,0.15794400000000003,0.6190476190476191
ProportionalCriticalPathSlo,0.49MB,1124001,1081932,0.02460199999999999,1.4047619047619047
ProportionalCriticalPathSlo,0.49MB,1141292,1081932,0.02460199999999999,1.5952380952380953
ProportionalCriticalPathSlo,0.49MB,1158583,1096148,0.02457499999999999,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,1175874,1129716,0.025210999999999994,1.1666666666666667
ProportionalCriticalPathSlo,0.49MB,1193165,1096846,0.02463599999999999,1.4285714285714286
ProportionalCriticalPathSlo,0.49MB,1210456,1111033,0.024580999999999995,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,1227747,1176203,0.024141999999999993,1.1904761904761905
ProportionalCriticalPathSlo,0.49MB,1245038,1188728,0.02268399999999999,1.8095238095238095
ProportionalCriticalPathSlo,0.49MB,1262329,1190099,0.022595999999999995,1.2142857142857142
ProportionalCriticalPathSlo,0.49MB,1279620,1186260,0.024236999999999995,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,1296911,1295734,0.020751999999999993,0.8571428571428571
ProportionalCriticalPathSlo,0.49MB,1314202,1296020,0.020674999999999992,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,1331493,1274149,0.023234999999999992,1.3571428571428572
ProportionalCriticalPathSlo,0.49MB,1348784,1293022,0.02106499999999999,1.119047619047619
ProportionalCriticalPathSlo,0.49MB,1366075,1294159,0.020988999999999994,1.380952380952381
ProportionalCriticalPathSlo,0.49MB,1383366,1337316,0.021636999999999997,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,1400657,1305160,0.020983999999999996,1.3571428571428572
ProportionalCriticalPathSlo,0.49MB,1417948,1316086,0.020752999999999994,1.4285714285714286
ProportionalCriticalPathSlo,0.49MB,1435239,1433733,0.01908199999999999,1.0476190476190477
ProportionalCriticalPathSlo,0.49MB,1452530,1434483,0.01903999999999999,1.119047619047619
ProportionalCriticalPathSlo,0.49MB,1469821,1435153,0.018994999999999995,1.119047619047619
ProportionalCriticalPathSlo,0.49MB,1487112,1432233,0.019449999999999995,1.4761904761904763
ProportionalCriticalPathSlo,0.49MB,1504403,1434230,0.019290999999999996,1.380952380952381
ProportionalCriticalPathSlo,0.49MB,1521694,1430698,0.020811999999999994,1.0476190476190477
ProportionalCriticalPathSlo,0.49MB,1538985,1447199,0.020546999999999996,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,1556276,1555040,0.017049999999999996,1.0476190476190477
ProportionalCriticalPathSlo,0.49MB,1573567,1553578,0.017244999999999993,1.3095238095238095
ProportionalCriticalPathSlo,0.49MB,1590858,1532117,0.01930699999999999,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1608149,1551431,0.017670999999999992,1.0238095238095237
ProportionalCriticalPathSlo,0.49MB,1625440,1553453,0.017511999999999996,0.8571428571428571
ProportionalCriticalPathSlo,0.49MB,1642731,1567320,0.017500999999999996,1.4761904761904763
ProportionalCriticalPathSlo,0.49MB,1660022,1566684,0.018868999999999993,1.3571428571428572
ProportionalCriticalPathSlo,0.49MB,1677313,1672538,0.015532999999999995,1.4761904761904763
ProportionalCriticalPathSlo,0.49MB,1694604,1617827,0.017185,1.7857142857142858
ProportionalCriticalPathSlo,0.49MB,1711895,1666794,0.017707999999999998,2.5
ProportionalCriticalPathSlo,0.49MB,1729186,1635017,0.017006999999999998,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,1746477,1740618,0.013690999999999995,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,1763768,1739418,0.013913999999999996,1.0714285714285714
ProportionalCriticalPathSlo,0.49MB,1781059,1734430,0.015812999999999997,0.9523809523809523
ProportionalCriticalPathSlo,0.49MB,1798350,1748581,0.015783,1.2857142857142858
ProportionalCriticalPathSlo,0.49MB,1815641,1752370,0.014227999999999994,1.3095238095238095
ProportionalCriticalPathSlo,0.49MB,1832932,1784556,0.016219999999999995,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,1850223,1755072,0.014005999999999994,1.2619047619047619
ProportionalCriticalPathSlo,0.49MB,1867514,1856099,0.013193999999999996,1.4047619047619047
ProportionalCriticalPathSlo,0.49MB,1884805,1857431,0.012404999999999996,1.5476190476190477
ProportionalCriticalPathSlo,0.49MB,1902096,1871614,0.012375999999999996,1.119047619047619
ProportionalCriticalPathSlo,0.49MB,1919387,1867068,0.014232999999999997,1.5238095238095237
ProportionalCriticalPathSlo,0.49MB,1936678,1920762,0.012155999999999995,1.5476190476190477
ProportionalCriticalPathSlo,0.49MB,1953969,1921931,0.012080999999999998,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,1971260,1938086,0.011934999999999998,1.7857142857142858
ProportionalCriticalPathSlo,0.49MB,1988551,1934030,0.012452,1.0714285714285714
ProportionalCriticalPathSlo,0.49MB,2005842,1985262,0.011831999999999995,1
ProportionalCriticalPathSlo,0.49MB,2023133,2001417,0.011685999999999995,1.3095238095238095
ProportionalCriticalPathSlo,0.49MB,2040424,1982213,0.013611999999999999,1.5714285714285714
ProportionalCriticalPathSlo,0.49MB,2057715,2003577,0.010532999999999999,1.1904761904761905
ProportionalCriticalPathSlo,0.49MB,2075006,2006766,0.009016,1.2857142857142858
ProportionalCriticalPathSlo,0.49MB,2092297,2002341,0.010660000000000001,0.9285714285714286
ProportionalCriticalPathSlo,0.49MB,2109588,2008364,0.008701000000000002,1.1904761904761905
ProportionalCriticalPathSlo,0.49MB,2126879,2110751,0.007269000000000001,2.3333333333333335
ProportionalCriticalPathSlo,0.49MB,2144170,2112204,0.007175000000000001,1.119047619047619
ProportionalCriticalPathSlo,0.49MB,2161461,2107785,0.009008999999999998,1.5
ProportionalCriticalPathSlo,0.49MB,2178752,2112177,0.007392000000000001,1.1428571428571428
ProportionalCriticalPathSlo,0.49MB,2196043,2147825,0.007769000000000002,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,2213334,2116570,0.006637000000000002,1.5476190476190477
ProportionalCriticalPathSlo,0.49MB,2230625,2220926,0.004656,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,2247916,2220926,0.004656,1.0952380952380953
ProportionalCriticalPathSlo,0.49MB,2265207,2220926,0.004656,1.2857142857142858
ProportionalCriticalPathSlo,0.49MB,2282498,2220926,0.004656,1.6428571428571428
ProportionalCriticalPathSlo,0.49MB,2299789,2220926,0.004656,1.2142857142857142
ProportionalCriticalPathSlo,0.49MB,2317080,2220926,0.004656,1.2380952380952381
ProportionalCriticalPathSlo,0.49MB,2334371,2220926,0.004656,1.2142857142857142
ProportionalCriticalPathSlo,1.03MB,1124001,1115164,0.09690900000000001,2.0952380952380953
ProportionalCriticalPathSlo,1.03MB,1141292,1139330,0.095294,2.0238095238095237
ProportionalCriticalPathSlo,1.03MB,1158583,1151460,0.09445,2.5
ProportionalCriticalPathSlo,1.03MB,1175874,1165711,0.09353,2.357142857142857
ProportionalCriticalPathSlo,1.03MB,1193165,1184248,0.092668,3.4285714285714284
ProportionalCriticalPathSlo,1.03MB,1210456,1201885,0.091779,2.5952380952380953
ProportionalCriticalPathSlo,1.03MB,1227747,1226614,0.08958300000000001,2.5476190476190474
ProportionalCriticalPathSlo,1.03MB,1245038,1237794,0.088261,1.7619047619047619
ProportionalCriticalPathSlo,1.03MB,1262329,1248974,0.086939,1.880952380952381
ProportionalCriticalPathSlo,1.03MB,1279620,1260159,0.085616,1.8571428571428572
ProportionalCriticalPathSlo,1.03MB,1296911,1292044,0.08278400000000001,1.9523809523809523
ProportionalCriticalPathSlo,1.03MB,1314202,1303224,0.08146200000000002,2.4047619047619047
ProportionalCriticalPathSlo,1.03MB,1331493,1314409,0.08013900000000002,2.0714285714285716
ProportionalCriticalPathSlo,1.03MB,1348784,1335114,0.078629,1.9285714285714286
ProportionalCriticalPathSlo,1.03MB,1366075,1355824,0.077118,2.357142857142857
ProportionalCriticalPathSlo,1.03MB,1383366,1376534,0.07560700000000001,2.0238095238095237
ProportionalCriticalPathSlo,1.03MB,1400657,1397244,0.07409600000000001,2.4047619047619047
ProportionalCriticalPathSlo,1.03MB,1417948,1406774,0.07390700000000001,1.9761904761904763
ProportionalCriticalPathSlo,1.03MB,1435239,1417959,0.07258400000000001,1.619047619047619
ProportionalCriticalPathSlo,1.03MB,1452530,1438664,0.07107400000000001,1.8333333333333333
ProportionalCriticalPathSlo,1.03MB,1469821,1438674,0.07107200000000001,1.2380952380952381
ProportionalCriticalPathSlo,1.03MB,1487112,1438679,0.07107100000000001,2.3333333333333335
ProportionalCriticalPathSlo,1.03MB,1504403,1488941,0.06592,1.6428571428571428
ProportionalCriticalPathSlo,1.03MB,1521694,1488946,0.065919,1.5714285714285714
ProportionalCriticalPathSlo,1.03MB,1538985,1490379,0.06808300000000002,2.142857142857143
ProportionalCriticalPathSlo,1.03MB,1556276,1541528,0.06289400000000002,1.8571428571428572
ProportionalCriticalPathSlo,1.03MB,1573567,1542302,0.06288500000000001,2.5
ProportionalCriticalPathSlo,1.03MB,1590858,1542307,0.06288400000000001,2.380952380952381
ProportionalCriticalPathSlo,1.03MB,1608149,1592564,0.057734000000000014,3.4761904761904763
ProportionalCriticalPathSlo,1.03MB,1625440,1593887,0.059912000000000014,1.7857142857142858
ProportionalCriticalPathSlo,1.03MB,1642731,1594148,0.059885000000000015,2.357142857142857
ProportionalCriticalPathSlo,1.03MB,1660022,1644845,0.054716000000000015,2.738095238095238
ProportionalCriticalPathSlo,1.03MB,1677313,1645141,0.054710000000000016,1.8333333333333333
ProportionalCriticalPathSlo,1.03MB,1694604,1657618,0.05165400000000001,1.5476190476190477
ProportionalCriticalPathSlo,1.03MB,1711895,1703288,0.04908600000000001,1.880952380952381
ProportionalCriticalPathSlo,1.03MB,1729186,1698186,0.05168500000000001,2.2142857142857144
ProportionalCriticalPathSlo,1.03MB,1746477,1704780,0.05127100000000001,2.142857142857143
ProportionalCriticalPathSlo,1.03MB,1763768,1755518,0.04608500000000001,1.5238095238095237
ProportionalCriticalPathSlo,1.03MB,1781059,1750871,0.048666000000000015,2.0476190476190474
ProportionalCriticalPathSlo,1.03MB,1798350,1757877,0.048249000000000014,2.5952380952380953
ProportionalCriticalPathSlo,1.03MB,1815641,1813497,0.040455000000000005,2
ProportionalCriticalPathSlo,1.03MB,1832932,1814356,0.04043300000000001,1.6904761904761905
ProportionalCriticalPathSlo,1.03MB,1850223,1809558,0.04302700000000001,1.8571428571428572
ProportionalCriticalPathSlo,1.03MB,1867514,1866241,0.037457000000000004,2.261904761904762
ProportionalCriticalPathSlo,1.03MB,1884805,1861904,0.04002900000000001,1.9523809523809523
ProportionalCriticalPathSlo,1.03MB,1902096,1862351,0.040010000000000004,2.0952380952380953
ProportionalCriticalPathSlo,1.03MB,1919387,1917738,0.032245,2.261904761904762
ProportionalCriticalPathSlo,1.03MB,1936678,1907398,0.037457000000000004,2.4761904761904763
ProportionalCriticalPathSlo,1.03MB,1953969,1913400,0.03483700000000001,2.0238095238095237
ProportionalCriticalPathSlo,1.03MB,1971260,1958607,0.032289,3.142857142857143
ProportionalCriticalPathSlo,1.03MB,1988551,1958607,0.032289,2.738095238095238
ProportionalCriticalPathSlo,1.03MB,2005842,1958959,0.032285,1.8333333333333333
ProportionalCriticalPathSlo,1.03MB,2023133,2003870,0.029743000000000002,1.6666666666666667
ProportionalCriticalPathSlo,1.03MB,2040424,2010040,0.027128999999999993,2.4523809523809526
ProportionalCriticalPathSlo,1.03MB,2057715,2010040,0.027129,1.8571428571428572
ProportionalCriticalPathSlo,1.03MB,2075006,2054539,0.024589999999999997,1.7619047619047619
ProportionalCriticalPathSlo,1.03MB,2092297,2054539,0.02459,1.8095238095238095
ProportionalCriticalPathSlo,1.03MB,2109588,2060297,0.021979,2.119047619047619
ProportionalCriticalPathSlo,1.03MB,2126879,2105208,0.019437,1.8095238095238095
ProportionalCriticalPathSlo,1.03MB,2144170,2105208,0.019437,1.7380952380952381
ProportionalCriticalPathSlo,1.03MB,2161461,2155465,0.014287,2.1666666666666665
ProportionalCriticalPathSlo,1.03MB,2178752,2155465,0.014287,2
ProportionalCriticalPathSlo,1.03MB,2196043,2155465,0.014287,1.9523809523809523
ProportionalCriticalPathSlo,1.03MB,2213334,2155465,0.014287,2.0238095238095237
ProportionalCriticalPathSlo,1.03MB,2230625,2155465,0.014287,2.1904761904761907
ProportionalCriticalPathSlo,1.03MB,2247916,2179126,0.014254,1.9523809523809523
ProportionalCriticalPathSlo,1.03MB,2265207,2181455,0.013829,1.8571428571428572
ProportionalCriticalPathSlo,1.03MB,2282498,2181455,0.013829,2
ProportionalCriticalPathSlo,1.03MB,2299789,2181455,0.013829,1.6904761904761905
ProportionalCriticalPathSlo,1.03MB,2317080,2181522,0.013828,1.7619047619047619
ProportionalCriticalPathSlo,1.03MB,2334371,2205183,0.013795,2.0714285714285716
ProportionalCriticalPathSlo,1.54MB,1124001,1123862,0.14915600000000004,3.2857142857142856
ProportionalCriticalPathSlo,1.54MB,1141292,1141232,0.14869100000000002,3.5238095238095237
ProportionalCriticalPathSlo,1.54MB,1158583,1158169,0.14848000000000006,2.9047619047619047
ProportionalCriticalPathSlo,1.54MB,1175874,1173271,0.14803900000000003,2.9285714285714284
ProportionalCriticalPathSlo,1.54MB,1193165,1187678,0.14917200000000008,3.2857142857142856
ProportionalCriticalPathSlo,1.54MB,1210456,1203063,0.14805800000000008,3.0238095238095237
ProportionalCriticalPathSlo,1.54MB,1227747,1225154,0.14686400000000005,2.8095238095238093
ProportionalCriticalPathSlo,1.54MB,1245038,1238911,0.14758200000000005,2.880952380952381
ProportionalCriticalPathSlo,1.54MB,1262329,1261338,0.14613600000000004,3.880952380952381
ProportionalCriticalPathSlo,1.54MB,1279620,1276810,0.14510400000000007,2.9047619047619047
ProportionalCriticalPathSlo,1.54MB,1296911,1295774,0.14526000000000006,2.5952380952380953
ProportionalCriticalPathSlo,1.54MB,1314202,1313277,0.14420000000000005,2.761904761904762
ProportionalCriticalPathSlo,1.54MB,1331493,1331035,0.14445400000000008,3.0952380952380953
