scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.02,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.02,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,-1
scenario-01,1.0,0.03,3,2.18558198765432154444
scenario-01,1.0,0.04,3,2.21517750617284010493
scenario-01,1.0,0.03,2,2.22210003703703749506
scenario-01,1.0,0.05,3,2.24161661728395123827
scenario-01,1.0,0.04,2,2.25462079012345723456
scenario-01,1.0,0.06,3,2.27126025925925989506
scenario-01,1.0,0.03,1,2.27906271604938320123
scenario-01,1.0,0.05,2,2.28405946913580290246
scenario-01,1.0,0.07,3,2.29478445679012410246
scenario-01,1.0,0.06,2,2.30823406172839548271
scenario-01,1.0,0.08,3,2.31266324691358089382
scenario-01,1.1,0.01,3,2.31899207407407466049
scenario-01,1.0,0.04,1,2.32349170370370421604
scenario-01,1.0,0.07,2,2.33498827160493868888
scenario-01,1.0,0.09,3,2.33630848148148213209
scenario-01,1.1,0.01,2,2.34582495061728446049
scenario-01,1.0,0.08,2,2.35275679012345721111
scenario-01,1.0,0.1,3,2.35995367901234632592
scenario-01,1.1,0.02,3,2.36353355555555616049
scenario-01,1.1,0.01,1,2.36800633333333388888
scenario-01,1.0,0.05,1,2.37663337037037092592
scenario-01,1.0,0.09,2,2.38221818518518558765
scenario-01,1.1,0.03,3,2.38378554320987717407
scenario-01,1.1,0.02,2,2.38477728395061778024
scenario-01,1.0,0.11,3,2.38641165432098829629
scenario-01,1.0,0.1,2,2.40606318518518556049
scenario-01,1.0,0.12,3,2.40706837037037100000
scenario-01,1.1,0.03,2,2.41430467901234616296
scenario-01,1.0,0.06,1,2.41569508641975365802
scenario-01,1.1,0.04,3,2.41630492592592657283
scenario-01,1.0,0.13,3,2.42776914814814878271
scenario-01,1.1,0.05,3,2.43122646913580311851
scenario-01,1.0,0.11,2,2.43268355555555591234
scenario-01,1.1,0.02,1,2.43939565432098822716
scenario-01,1.0,0.14,3,2.44266709876543273086
scenario-01,1.1,0.04,2,2.44413819753086462592
scenario-01,1.0,0.12,2,2.45343520987654357037
scenario-01,1.1,0.06,3,2.45482228395061794320
scenario-01,1.0,0.07,1,2.46612398765432153703
scenario-01,1.2,0.01,3,2.46873353086419814814
scenario-01,1.0,0.15,3,2.46927195061728458148
scenario-01,1.1,0.05,2,2.47083327160493868271
scenario-01,1.0,0.13,2,2.47134002469135837407
scenario-01,1.1,0.07,3,2.47269504938271670740
scenario-01,1.0,0.16,3,2.47829756790123520123
scenario-01,1.1,0.03,1,2.47967325925925983333
scenario-01,1.0,0.08,1,2.48119812345679066296
scenario-01,1.2,0.01,2,2.48389879012345730493
scenario-01,1.1,0.06,2,2.49145513580246954444
scenario-01,1.0,0.14,2,2.49218071604938305308
scenario-01,1.2,0.02,3,2.49255100000000063827
scenario-01,1.1,0.08,3,2.49356059259259325061
scenario-01,1.0,0.09,1,2.50489417283950670987
scenario-01,1.2,0.01,1,2.50549653086419813209
scenario-01,1.1,0.07,2,2.50667812345679051111
scenario-01,1.0,0.17,3,2.50783628395061791481
scenario-01,1.1,0.09,3,2.51144128395061794938
scenario-01,1.1,0.04,1,2.51571887654321045061
scenario-01,1.2,0.02,2,2.51703511111111157654
scenario-01,1.0,0.15,2,2.51888058024691389135
scenario-01,1.2,0.03,3,2.51990929629629694074
scenario-01,1.0,0.1,1,2.52293635802469187777
scenario-01,1.0,0.18,3,2.52571967901234631728
scenario-01,1.1,0.1,3,2.52926386419753153333
scenario-01,1.1,0.08,2,2.53079137037037074691
scenario-01,1.1,0.05,1,2.53377841975308698641
scenario-01,1.0,0.16,2,2.53669967901234596543
scenario-01,1.1,0.11,3,2.54408171604938338271
scenario-01,1.2,0.03,2,2.54465801234567944691
scenario-01,1.1,0.09,2,2.54575992592592629753
scenario-01,1.2,0.04,3,2.55210807407407474197
scenario-01,1.0,0.19,3,2.55223518518518581111
scenario-01,1.0,0.11,1,2.55565928395061779135
scenario-01,1.3,0.01,3,2.55581038271605002716
scenario-01,1.1,0.1,2,2.56053983950617320000
scenario-01,1.1,0.06,1,2.56328365432098822962
scenario-01,1.0,0.17,2,2.56352777777777803580
scenario-01,1.0,0.2,3,2.56714533333333396172
scenario-01,1.1,0.12,3,2.56779962962963028148
scenario-01,1.2,0.04,2,2.56810416049382755802
scenario-01,1.3,0.01,2,2.57182727160493881851
scenario-01,1.2,0.05,3,2.57300464197530932098
scenario-01,1.0,0.18,2,2.57848245679012369753
scenario-01,1.2,0.02,1,2.57998881481481539135
scenario-01,1.1,0.13,3,2.58554197530864261604
scenario-01,1.4,0.01,3,2.58723541975308706419
scenario-01,1.1,0.11,2,2.58727901234567935802
scenario-01,1.0,0.12,1,2.58817330864197579876
scenario-01,1.0,0.19,2,2.59343976543209901481
scenario-01,1.2,0.06,3,2.59353892592592660370
scenario-01,1.2,0.05,2,2.59493288888888927901
scenario-01,1.4,0.01,2,2.59804325925925975679
scenario-01,1.1,0.07,1,2.59901572839506227901
scenario-01,1.1,0.14,3,2.60047808641975373580
scenario-01,1.1,0.12,2,2.60515680246913612839
scenario-01,1.0,0.13,1,2.60609081481481529629
scenario-01,1.3,0.02,3,2.60957679012345742962
scenario-01,1.2,0.07,3,2.61433496296296363456
scenario-01,1.1,0.13,2,2.61724514814814846172
scenario-01,1.0,0.2,2,2.62020597530864222098
scenario-01,1.1,0.15,3,2.62133767901234632592
scenario-01,1.2,0.06,2,2.62157867901234602839
scenario-01,1.1,0.08,1,2.62309745679012400123
scenario-01,1.2,0.03,1,2.62519490123456847654
scenario-01,1.2,0.08,3,2.62642486419753154691
scenario-01,1.3,0.01,1,2.62812240740740806172
scenario-01,1.2,0.07,2,2.63357845679012379506
scenario-01,1.3,0.02,2,2.63499048148148196049
scenario-01,1.0,0.14,1,2.63582365432098814444
scenario-01,1.3,0.03,3,2.63615058024691420740
scenario-01,1.1,0.14,2,2.63818550617283978518
scenario-01,1.1,0.16,3,2.63917870370370434567
scenario-01,1.1,0.09,1,2.64128604938271658518
scenario-01,1.4,0.01,1,2.64488430864197596790
scenario-01,1.2,0.04,1,2.64574259259259315802
scenario-01,1.2,0.09,3,2.64728011111111179012
scenario-01,1.1,0.15,2,2.65026264197530890740
scenario-01,1.1,0.17,3,2.65116566666666731481
scenario-01,1.5,0.01,2,2.65137969135802520987
scenario-01,1.4,0.02,3,2.65161900000000064691
scenario-01,1.5,0.01,3,2.65586387654321052716
scenario-01,1.2,0.1,3,2.65637093827160562469
scenario-01,1.0,0.15,1,2.65687759259259308518
scenario-01,1.3,0.04,3,2.65744803703703766790
scenario-01,1.2,0.08,2,2.65770377777777809629
scenario-01,1.3,0.03,2,2.66208527160493868641
scenario-01,1.4,0.02,2,2.66262907407407445185
scenario-01,1.1,0.1,1,2.66506202469135855061
scenario-01,1.5,0.01,1,2.66660676543209939382
scenario-01,1.1,0.18,3,2.66904433333333397777
scenario-01,1.2,0.09,2,2.66973793827160525555
scenario-01,1.1,0.16,2,2.67409634567901259135
scenario-01,1.3,0.05,3,2.67534565432098829629
scenario-01,1.2,0.05,1,2.67538876543209934074
scenario-01,1.2,0.11,3,2.67713383950617352962
scenario-01,1.3,0.04,2,2.67759585185185223827
scenario-01,1.1,0.11,1,2.68040379012345730987
scenario-01,1.0,0.16,1,2.68089560493827208888
scenario-01,1.3,0.02,1,2.68538698765432162839
scenario-01,1.1,0.19,3,2.68689286419753149753
scenario-01,1.2,0.1,2,2.68773434567901265925
scenario-01,1.2,0.12,3,2.68911003703703773209
scenario-01,1.2,0.06,1,2.69044361728395117530
scenario-01,1.1,0.17,2,2.69193118518518540000
scenario-01,1.0,0.17,1,2.69861138271604983580
scenario-01,1.2,0.11,2,2.69973382716049413580
scenario-01,1.1,0.12,1,2.70422893827160545061
scenario-01,1.3,0.05,2,2.70430412345679049506
scenario-01,1.1,0.2,3,2.70470839506172903086
scenario-01,1.3,0.06,3,2.70492590123456856049
scenario-01,1.2,0.13,3,2.70989703703703772345
scenario-01,1.2,0.07,1,2.71131630864197585925
scenario-01,1.4,0.03,3,2.71372328395061793456
scenario-01,1.5,0.02,2,2.71427254320987689753
scenario-01,1.5,0.02,3,2.71539080246913644197
scenario-01,1.1,0.18,2,2.71572458024691376666
scenario-01,1.3,0.03,1,2.71872190123456850000
scenario-01,1.3,0.07,3,2.72272155555555621111
scenario-01,1.2,0.12,2,2.72346090123456818024
scenario-01,1.4,0.02,1,2.72442170370370433086
scenario-01,1.0,0.18,1,2.72556298765432144197
