strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,159064,0.000519,0.25
Cheapest,0.82MB,100,178505,0.0006,0.5
Cheapest,1.54MB,100,178555,0.0006,0.25
Fastest,0.33MB,100,29342,0.004417000000000001,0.5
Fastest,0.82MB,100,62152,0.009464,0.25
Fastest,1.54MB,100,81091,0.012721,0.25
ProportionalCriticalPathSlo,0.33MB,77903,59817,0.0030009999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,79201,59817,0.0030009999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,80499,59817,0.0030009999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,81797,59817,0.0030009999999999998,1
ProportionalCriticalPathSlo,0.33MB,83095,59817,0.0030009999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,84393,59817,0.0030009999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,85691,82655,0.0022789999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,86989,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,88287,82655,0.0022789999999999998,1.5
ProportionalCriticalPathSlo,0.33MB,89585,82655,0.0022789999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,90883,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,92181,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,93479,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,94777,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,96075,82655,0.0022789999999999998,1.5
ProportionalCriticalPathSlo,0.33MB,97373,82655,0.0022789999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,98671,82655,0.0022789999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,99969,82655,0.0022789999999999998,1.75
ProportionalCriticalPathSlo,0.33MB,101267,82655,0.0022789999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,102565,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,103863,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,105161,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,106459,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,107757,82655,0.0022789999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,109055,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,110353,82655,0.0022789999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,111651,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,112949,82655,0.0022789999999999998,1.25
ProportionalCriticalPathSlo,0.33MB,114247,82655,0.0022789999999999998,1.75
ProportionalCriticalPathSlo,0.33MB,115545,82655,0.0022789999999999998,1
ProportionalCriticalPathSlo,0.33MB,116843,82655,0.0022789999999999998,1.5
ProportionalCriticalPathSlo,0.33MB,118141,89612,0.002176,0.75
ProportionalCriticalPathSlo,0.33MB,119439,89612,0.002176,0.75
ProportionalCriticalPathSlo,0.33MB,120737,89934,0.002163,1.25
ProportionalCriticalPathSlo,0.33MB,122035,89934,0.002163,1.25
ProportionalCriticalPathSlo,0.33MB,123333,89934,0.002163,1.25
ProportionalCriticalPathSlo,0.33MB,124631,89934,0.002163,1
ProportionalCriticalPathSlo,0.33MB,125929,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,127227,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,128525,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,129823,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,131121,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,132419,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,133717,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,135015,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,136313,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,137611,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,138909,90484,0.002136,0.5
ProportionalCriticalPathSlo,0.33MB,140207,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,141505,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,142803,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,144101,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,145399,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,146697,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,147995,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,149293,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,150591,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,151889,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,153187,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,154485,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,155783,90484,0.002136,1.5
ProportionalCriticalPathSlo,0.33MB,157081,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,158379,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,159677,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,160975,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,162273,90484,0.002136,1.5
ProportionalCriticalPathSlo,0.33MB,163571,90484,0.002136,1.25
ProportionalCriticalPathSlo,0.33MB,164869,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,166167,90484,0.002136,0.75
ProportionalCriticalPathSlo,0.33MB,167465,90484,0.002136,1
ProportionalCriticalPathSlo,0.33MB,168763,158204,0.000659,0.75
ProportionalCriticalPathSlo,0.33MB,170061,159064,0.000519,1.25
ProportionalCriticalPathSlo,0.33MB,171359,159064,0.000519,1
ProportionalCriticalPathSlo,0.33MB,172657,159064,0.000519,1.25
ProportionalCriticalPathSlo,0.33MB,173955,159064,0.000519,1
ProportionalCriticalPathSlo,0.33MB,175253,159064,0.000519,2
ProportionalCriticalPathSlo,0.33MB,176551,159064,0.000519,0.75
ProportionalCriticalPathSlo,0.33MB,177849,159064,0.000519,1.5
ProportionalCriticalPathSlo,0.33MB,179147,159064,0.000519,1.25
ProportionalCriticalPathSlo,0.33MB,180445,159064,0.000519,1
ProportionalCriticalPathSlo,0.33MB,181743,159064,0.000519,1.25
ProportionalCriticalPathSlo,0.82MB,77903,75198,0.008324,1.5
ProportionalCriticalPathSlo,0.82MB,79201,77008,0.008086,1.5
ProportionalCriticalPathSlo,0.82MB,80499,77008,0.008086,1.25
ProportionalCriticalPathSlo,0.82MB,81797,77008,0.008086,1.75
ProportionalCriticalPathSlo,0.82MB,83095,77008,0.008086,2
ProportionalCriticalPathSlo,0.82MB,84393,77008,0.008086,1.75
ProportionalCriticalPathSlo,0.82MB,85691,77008,0.008086,1.25
ProportionalCriticalPathSlo,0.82MB,86989,77008,0.008086,2
ProportionalCriticalPathSlo,0.82MB,88287,77008,0.008086,2.5
ProportionalCriticalPathSlo,0.82MB,89585,77008,0.008086,1.5
ProportionalCriticalPathSlo,0.82MB,90883,77008,0.008086,1.25
ProportionalCriticalPathSlo,0.82MB,92181,77008,0.008086,1.75
ProportionalCriticalPathSlo,0.82MB,93479,79686,0.008,2
ProportionalCriticalPathSlo,0.82MB,94777,79686,0.008,1
ProportionalCriticalPathSlo,0.82MB,96075,79686,0.008,1.75
ProportionalCriticalPathSlo,0.82MB,97373,93263,0.0074010000000000005,2.25
ProportionalCriticalPathSlo,0.82MB,98671,93263,0.0074010000000000005,1.75
ProportionalCriticalPathSlo,0.82MB,99969,93263,0.0074010000000000005,2
ProportionalCriticalPathSlo,0.82MB,101267,93263,0.0074010000000000005,2
ProportionalCriticalPathSlo,0.82MB,102565,93263,0.0074010000000000005,1.5
ProportionalCriticalPathSlo,0.82MB,103863,93263,0.0074010000000000005,2
ProportionalCriticalPathSlo,0.82MB,105161,93263,0.0074010000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,106459,93263,0.0074010000000000005,2.25
ProportionalCriticalPathSlo,0.82MB,107757,93263,0.0074010000000000005,3
ProportionalCriticalPathSlo,0.82MB,109055,93263,0.0074010000000000005,0.75
ProportionalCriticalPathSlo,0.82MB,110353,93264,0.007399000000000001,1.25
ProportionalCriticalPathSlo,0.82MB,111651,93264,0.007399000000000001,1.5
ProportionalCriticalPathSlo,0.82MB,112949,93264,0.007399000000000001,2
ProportionalCriticalPathSlo,0.82MB,114247,93264,0.007399000000000001,1.25
ProportionalCriticalPathSlo,0.82MB,115545,93264,0.007399000000000001,1.5
ProportionalCriticalPathSlo,0.82MB,116843,93264,0.007399000000000001,2
ProportionalCriticalPathSlo,0.82MB,118141,93264,0.007399000000000001,1.25
ProportionalCriticalPathSlo,0.82MB,119439,93264,0.007399000000000001,1.5
ProportionalCriticalPathSlo,0.82MB,120737,93264,0.007399000000000001,1.75
ProportionalCriticalPathSlo,0.82MB,122035,93264,0.007399000000000001,1.25
ProportionalCriticalPathSlo,0.82MB,123333,93264,0.007399000000000001,1.5
ProportionalCriticalPathSlo,0.82MB,124631,93264,0.007399000000000001,1.25
ProportionalCriticalPathSlo,0.82MB,125929,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,127227,119304,0.0066760000000000005,1.75
ProportionalCriticalPathSlo,0.82MB,128525,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,129823,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,131121,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,132419,119304,0.0066760000000000005,1.5
ProportionalCriticalPathSlo,0.82MB,133717,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,135015,119304,0.0066760000000000005,1.25
ProportionalCriticalPathSlo,0.82MB,136313,119304,0.0066760000000000005,1.5
ProportionalCriticalPathSlo,0.82MB,137611,124624,0.006509,2
ProportionalCriticalPathSlo,0.82MB,138909,124624,0.006509,1.25
ProportionalCriticalPathSlo,0.82MB,140207,124624,0.006509,1.25
ProportionalCriticalPathSlo,0.82MB,141505,124624,0.006509,1.5
ProportionalCriticalPathSlo,0.82MB,142803,124624,0.006509,2.25
ProportionalCriticalPathSlo,0.82MB,144101,124624,0.006509,1.75
ProportionalCriticalPathSlo,0.82MB,145399,124624,0.006509,1.5
ProportionalCriticalPathSlo,0.82MB,146697,124624,0.006509,1.25
ProportionalCriticalPathSlo,0.82MB,147995,124624,0.006509,1
ProportionalCriticalPathSlo,0.82MB,149293,124624,0.006509,1.25
