strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,159064,0.000519,0.25
Cheapest,1.24MB,100,178558,0.0006,0.5
Cheapest,1.54MB,100,178555,0.0006,0.5
Fastest,0.33MB,100,29342,0.004417000000000001,0.5
Fastest,1.24MB,100,64978,0.010028,0.25
Fastest,1.54MB,100,81091,0.012721,0.25
ProportionalCriticalPathSlo,0.33MB,0.004329325,80507,0.002849,1.5
ProportionalCriticalPathSlo,0.33MB,0.00439593,80507,0.002849,1.75
ProportionalCriticalPathSlo,0.33MB,0.004462535,52987,0.003318,1.75
ProportionalCriticalPathSlo,0.33MB,0.00452914,52987,0.003318,1.75
ProportionalCriticalPathSlo,0.33MB,0.004595745,52987,0.003318,1.5
ProportionalCriticalPathSlo,0.33MB,0.00466235,52987,0.003318,1.75
ProportionalCriticalPathSlo,0.33MB,0.004728955,52987,0.003318,1.25
ProportionalCriticalPathSlo,0.33MB,0.00479556,52987,0.003318,1.5
ProportionalCriticalPathSlo,0.33MB,0.004862165,52987,0.003318,1.75
ProportionalCriticalPathSlo,0.33MB,0.00492877,41484,0.003636,1.5
ProportionalCriticalPathSlo,0.33MB,0.004995375,41626,0.003686,1.5
ProportionalCriticalPathSlo,0.33MB,0.00506198,41626,0.003686,2.25
ProportionalCriticalPathSlo,0.33MB,0.005128585,41423,0.003816,1.5
ProportionalCriticalPathSlo,0.33MB,0.00519519,43664,0.004064,1.75
ProportionalCriticalPathSlo,0.33MB,0.005261795,43664,0.004064,2.5
ProportionalCriticalPathSlo,0.33MB,0.0053284,43664,0.004064,1.75
ProportionalCriticalPathSlo,0.33MB,0.005395005,35608,0.00424,1.25
ProportionalCriticalPathSlo,0.33MB,0.00546161,35608,0.00424,1.5
ProportionalCriticalPathSlo,0.33MB,0.005528215,35608,0.00424,1.75
ProportionalCriticalPathSlo,0.33MB,0.00559482,35608,0.00424,2.25
ProportionalCriticalPathSlo,0.33MB,0.005661425,35608,0.00424,2.25
ProportionalCriticalPathSlo,0.33MB,0.00572803,35608,0.00424,1.25
ProportionalCriticalPathSlo,0.33MB,0.005794635,35608,0.00424,1.75
ProportionalCriticalPathSlo,0.33MB,0.00586124,35608,0.00424,1.75
ProportionalCriticalPathSlo,0.33MB,0.005927845,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.00599445,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.006061055,30505,0.004605,1
ProportionalCriticalPathSlo,0.33MB,0.00612766,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.006194265,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00626087,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.006327475,30505,0.004605,1
ProportionalCriticalPathSlo,0.33MB,0.00639408,30505,0.004605,1
ProportionalCriticalPathSlo,0.33MB,0.006460685,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00652729,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.006593895,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.0066605,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.006727105,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.00679371,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.006860315,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.00692692,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.006993525,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00706013,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.007126735,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.00719334,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.007259945,30505,0.004605,2.25
ProportionalCriticalPathSlo,0.33MB,0.00732655,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.007393155,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00745976,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.007526365,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00759297,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.007659575,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.00772618,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.007792785,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.00785939,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.007925995,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.0079926,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.008059205,30505,0.004605,1
ProportionalCriticalPathSlo,0.33MB,0.00812581,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.008192415,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00825902,30505,0.004605,1.25
ProportionalCriticalPathSlo,0.33MB,0.008325625,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00839223,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.008458835,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00852544,30505,0.004605,2
ProportionalCriticalPathSlo,0.33MB,0.008592045,30505,0.004605,1.5
ProportionalCriticalPathSlo,0.33MB,0.00865865,30505,0.004605,2.75
ProportionalCriticalPathSlo,0.33MB,0.008725255,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.00879186,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.008858465,30505,0.004605,2.25
ProportionalCriticalPathSlo,0.33MB,0.00892507,30505,0.004605,1.75
ProportionalCriticalPathSlo,0.33MB,0.008991675,30505,0.004605,1.25
ProportionalCriticalPathSlo,1.24MB,0.004329325,192035,0.00082,2.75
ProportionalCriticalPathSlo,1.24MB,0.00439593,192035,0.00082,1.5
ProportionalCriticalPathSlo,1.24MB,0.004462535,192035,0.00082,3
ProportionalCriticalPathSlo,1.24MB,0.00452914,192035,0.00082,1.5
ProportionalCriticalPathSlo,1.24MB,0.004595745,192035,0.00082,4.75
ProportionalCriticalPathSlo,1.24MB,0.00466235,192035,0.00082,7.5
ProportionalCriticalPathSlo,1.24MB,0.004728955,192035,0.00082,2.5
ProportionalCriticalPathSlo,1.24MB,0.00479556,192035,0.00082,4
ProportionalCriticalPathSlo,1.24MB,0.004862165,192035,0.00082,3
ProportionalCriticalPathSlo,1.24MB,0.00492877,192035,0.00082,2.25
ProportionalCriticalPathSlo,1.24MB,0.004995375,192035,0.00082,3.25
ProportionalCriticalPathSlo,1.24MB,0.00506198,192035,0.00082,3.25
ProportionalCriticalPathSlo,1.24MB,0.005128585,192035,0.00082,3.25
ProportionalCriticalPathSlo,1.24MB,0.00519519,192035,0.00082,1.5
ProportionalCriticalPathSlo,1.24MB,0.005261795,192035,0.00082,1.25
ProportionalCriticalPathSlo,1.24MB,0.0053284,192035,0.00082,3
ProportionalCriticalPathSlo,1.24MB,0.005395005,192035,0.00082,3
ProportionalCriticalPathSlo,1.24MB,0.00546161,192151,0.000972,2.75
ProportionalCriticalPathSlo,1.24MB,0.005528215,192151,0.000972,2.25
ProportionalCriticalPathSlo,1.24MB,0.00559482,192151,0.000972,1.75
ProportionalCriticalPathSlo,1.24MB,0.005661425,192151,0.000972,3
ProportionalCriticalPathSlo,1.24MB,0.00572803,192151,0.000972,3.25
ProportionalCriticalPathSlo,1.24MB,0.005794635,192151,0.000972,3
ProportionalCriticalPathSlo,1.24MB,0.00586124,192151,0.000972,2.75
ProportionalCriticalPathSlo,1.24MB,0.005927845,192151,0.000972,3.25
ProportionalCriticalPathSlo,1.24MB,0.00599445,191973,0.00102,3
ProportionalCriticalPathSlo,1.24MB,0.006061055,191973,0.00102,3.25
ProportionalCriticalPathSlo,1.24MB,0.00612766,191973,0.00102,3
ProportionalCriticalPathSlo,1.24MB,0.006194265,191973,0.00102,3.25
ProportionalCriticalPathSlo,1.24MB,0.00626087,191973,0.00102,2.5
ProportionalCriticalPathSlo,1.24MB,0.006327475,191972,0.001023,3.5
ProportionalCriticalPathSlo,1.24MB,0.00639408,191972,0.001023,1.75
ProportionalCriticalPathSlo,1.24MB,0.006460685,191972,0.001023,3.25
ProportionalCriticalPathSlo,1.24MB,0.00652729,191972,0.001023,3
ProportionalCriticalPathSlo,1.24MB,0.006593895,191972,0.001023,2.5
ProportionalCriticalPathSlo,1.24MB,0.0066605,191972,0.001023,1.75
ProportionalCriticalPathSlo,1.24MB,0.006727105,191972,0.001023,3.25
ProportionalCriticalPathSlo,1.24MB,0.00679371,191972,0.001023,3
ProportionalCriticalPathSlo,1.24MB,0.006860315,191972,0.001023,3.25
ProportionalCriticalPathSlo,1.24MB,0.00692692,191972,0.001023,3
ProportionalCriticalPathSlo,1.24MB,0.006993525,171368,0.001328,3.25
ProportionalCriticalPathSlo,1.24MB,0.00706013,171368,0.001328,1.75
ProportionalCriticalPathSlo,1.24MB,0.007126735,171368,0.001328,3.25
ProportionalCriticalPathSlo,1.24MB,0.00719334,168928,0.001278,3.75
ProportionalCriticalPathSlo,1.24MB,0.007259945,168928,0.001278,2.5
ProportionalCriticalPathSlo,1.24MB,0.00732655,168928,0.001278,3.25
ProportionalCriticalPathSlo,1.24MB,0.007393155,168928,0.001278,2
ProportionalCriticalPathSlo,1.24MB,0.00745976,168928,0.001278,2.75
ProportionalCriticalPathSlo,1.24MB,0.007526365,168928,0.001278,3.5
ProportionalCriticalPathSlo,1.24MB,0.00759297,168928,0.001278,2.75
ProportionalCriticalPathSlo,1.24MB,0.007659575,168928,0.001278,3.5
ProportionalCriticalPathSlo,1.24MB,0.00772618,168928,0.001278,3.25
ProportionalCriticalPathSlo,1.24MB,0.007792785,168928,0.001278,5.5
ProportionalCriticalPathSlo,1.24MB,0.00785939,168928,0.001278,3.25
ProportionalCriticalPathSlo,1.24MB,0.007925995,168928,0.001278,3.5
ProportionalCriticalPathSlo,1.24MB,0.0079926,168928,0.001278,3.25
ProportionalCriticalPathSlo,1.24MB,0.008059205,168928,0.001278,2.25
ProportionalCriticalPathSlo,1.24MB,0.00812581,168928,0.001278,2.5
ProportionalCriticalPathSlo,1.24MB,0.008192415,168928,0.001278,3
ProportionalCriticalPathSlo,1.24MB,0.00825902,168928,0.001278,2.75
ProportionalCriticalPathSlo,1.24MB,0.008325625,168928,0.001278,3
ProportionalCriticalPathSlo,1.24MB,0.00839223,168928,0.001278,2.5
ProportionalCriticalPathSlo,1.24MB,0.008458835,168928,0.001278,3
ProportionalCriticalPathSlo,1.24MB,0.00852544,168928,0.001278,3.25
ProportionalCriticalPathSlo,1.24MB,0.008592045,168928,0.001278,2.25
ProportionalCriticalPathSlo,1.24MB,0.00865865,168928,0.001278,1.75
ProportionalCriticalPathSlo,1.24MB,0.008725255,134056,0.0072429999999999994,3.25
ProportionalCriticalPathSlo,1.24MB,0.00879186,134056,0.0072429999999999994,1.5
ProportionalCriticalPathSlo,1.24MB,0.008858465,134056,0.0072429999999999994,2
ProportionalCriticalPathSlo,1.24MB,0.00892507,134056,0.0072429999999999994,2.75
ProportionalCriticalPathSlo,1.24MB,0.008991675,134056,0.0072429999999999994,4.25
