strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,129224,0.010501000000000002,0
Cheapest,1.24MB,100,300610,0.024413999999999998,0.5
Cheapest,1.54MB,100,481597,0.039101,0
Fastest,0.33MB,100,55290,0.10567199999999999,0.5
Fastest,1.24MB,100,142524,0.27134,0.25
Fastest,1.54MB,100,178308,0.339864,0
ProportionalCriticalPathSlo,0.33MB,0.123163625,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.12505845,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.126953275,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.1288481,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.130742925,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.13263775,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.134532575,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.1364274,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.138322225,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.14021705,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.142111875,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.1440067,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.145901525,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.14779635,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.149691175,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.151586,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.153480825,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.15537565,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.157270475,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.1591653,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.161060125,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.16295495,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.164849775,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.1667446,55291,0.10549199999999999,2.75
ProportionalCriticalPathSlo,0.33MB,0.168639425,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.17053425,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.172429075,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.1743239,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.176218725,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.17811355,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.180008375,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.1819032,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.183798025,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.18569285,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.187587675,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.1894825,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.191377325,55291,0.10549199999999999,0.5
ProportionalCriticalPathSlo,0.33MB,0.19327215,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.195166975,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.1970618,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.198956625,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.20085145,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.202746275,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.2046411,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.206535925,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.20843075,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.210325575,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.2122204,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.214115225,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.21601005,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.217904875,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.2197997,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.221694525,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.22358935,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.225484175,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.227379,55291,0.10549199999999999,1.75
ProportionalCriticalPathSlo,0.33MB,0.229273825,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.23116865,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.233063475,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.2349583,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.236853125,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.23874795,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.240642775,55291,0.10549199999999999,0.75
ProportionalCriticalPathSlo,0.33MB,0.2425376,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.244432425,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.24632725,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.248222075,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.2501169,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.252011725,55291,0.10549199999999999,1
ProportionalCriticalPathSlo,0.33MB,0.25390655,55291,0.10549199999999999,1.25
ProportionalCriticalPathSlo,0.33MB,0.255801375,55291,0.10549199999999999,1.5
ProportionalCriticalPathSlo,1.24MB,0.123163625,294349,0.060614,1
ProportionalCriticalPathSlo,1.24MB,0.12505845,294349,0.060614,1
ProportionalCriticalPathSlo,1.24MB,0.126953275,294349,0.060614,0.75
ProportionalCriticalPathSlo,1.24MB,0.1288481,294349,0.060614,0.75
ProportionalCriticalPathSlo,1.24MB,0.130742925,294349,0.060614,1.25
ProportionalCriticalPathSlo,1.24MB,0.13263775,294349,0.060614,1.25
