strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,2.07MB,100,2834218,0.010429999999999997,0.15
Cheapest,6.16MB,100,6313296,0.03282,0.25
Cheapest,14.25MB,100,7791182,0.040496000000000004,0.225
Fastest,2.07MB,100,458434,0.07469800000000003,0.2
Fastest,6.16MB,100,984372,0.16292000000000006,0.275
Fastest,14.25MB,100,1142644,0.18907200000000005,0.35
FixedOutputProportionalCPSlo,2.07MB,0.08126105,527271,0.06782400000000002,1.525
FixedOutputProportionalCPSlo,2.07MB,0.08251122,522048,0.06833600000000002,1.475
FixedOutputProportionalCPSlo,2.07MB,0.08376139,509881,0.06885300000000003,1.2
FixedOutputProportionalCPSlo,2.07MB,0.08501156,502268,0.06898700000000002,1.325
FixedOutputProportionalCPSlo,2.07MB,0.08626173,498677,0.07064600000000003,1.65
FixedOutputProportionalCPSlo,2.07MB,0.0875119,490503,0.07076100000000003,1.025
FixedOutputProportionalCPSlo,2.07MB,0.08876207,487359,0.07240800000000003,1.525
FixedOutputProportionalCPSlo,2.07MB,0.09001224,486152,0.07250800000000003,1.25
FixedOutputProportionalCPSlo,2.07MB,0.09126241,483047,0.07414700000000002,1.4
FixedOutputProportionalCPSlo,2.07MB,0.09251258,481550,0.07429900000000002,1.6
FixedOutputProportionalCPSlo,2.07MB,0.09376275,480996,0.07442600000000002,1.425
FixedOutputProportionalCPSlo,2.07MB,0.09501292,473383,0.07456800000000002,1.525
FixedOutputProportionalCPSlo,2.07MB,0.09626309,458571,0.07467200000000003,1.325
FixedOutputProportionalCPSlo,2.07MB,0.09751326,458434,0.07469800000000003,1.3
FixedOutputProportionalCPSlo,2.07MB,0.09876343,458434,0.07469800000000003,1.3
FixedOutputProportionalCPSlo,2.07MB,0.1000136,458434,0.07469800000000003,1.6
FixedOutputProportionalCPSlo,2.07MB,0.10126377,458434,0.07469800000000003,1.775
FixedOutputProportionalCPSlo,2.07MB,0.10251394,458434,0.07469800000000003,1.5
FixedOutputProportionalCPSlo,2.07MB,0.10376411,458434,0.07469800000000003,1.4
FixedOutputProportionalCPSlo,2.07MB,0.10501428,458434,0.07469800000000003,1.6
FixedOutputProportionalCPSlo,2.07MB,0.10626445,458434,0.07469800000000003,1.35
FixedOutputProportionalCPSlo,2.07MB,0.10751462,458434,0.07469800000000003,1.325
FixedOutputProportionalCPSlo,2.07MB,0.10876479,458434,0.07469800000000003,1.275
FixedOutputProportionalCPSlo,2.07MB,0.11001496,458434,0.07469800000000003,1.35
FixedOutputProportionalCPSlo,2.07MB,0.11126513,458434,0.07469800000000003,1.275
FixedOutputProportionalCPSlo,2.07MB,0.1125153,458434,0.07469800000000003,1.5
FixedOutputProportionalCPSlo,2.07MB,0.11376547,458434,0.07469800000000003,1.2
FixedOutputProportionalCPSlo,2.07MB,0.11501564,458434,0.07469800000000003,1.275
FixedOutputProportionalCPSlo,2.07MB,0.11626581,458434,0.07469800000000003,1.775
FixedOutputProportionalCPSlo,2.07MB,0.11751598,458434,0.07469800000000003,1.625
FixedOutputProportionalCPSlo,2.07MB,0.11876615,458434,0.07469800000000003,0.975
FixedOutputProportionalCPSlo,2.07MB,0.12001632,458434,0.07469800000000003,1.45
FixedOutputProportionalCPSlo,2.07MB,0.12126649,458434,0.07469800000000003,2.025
FixedOutputProportionalCPSlo,2.07MB,0.12251666,458434,0.07469800000000003,1.55
FixedOutputProportionalCPSlo,2.07MB,0.12376683,458434,0.07469800000000003,1.15
FixedOutputProportionalCPSlo,2.07MB,0.125017,458434,0.07469800000000003,1.55
FixedOutputProportionalCPSlo,2.07MB,0.12626717,458434,0.07469800000000003,1.6
FixedOutputProportionalCPSlo,2.07MB,0.12751734,458434,0.07469800000000003,1.45
FixedOutputProportionalCPSlo,2.07MB,0.12876751,458434,0.07469800000000003,1.7
FixedOutputProportionalCPSlo,2.07MB,0.13001768,458434,0.07469800000000003,1.6
FixedOutputProportionalCPSlo,2.07MB,0.13126785,458434,0.07469800000000003,1.725
FixedOutputProportionalCPSlo,2.07MB,0.13251802,458434,0.07469800000000003,1.425
FixedOutputProportionalCPSlo,2.07MB,0.13376819,458434,0.07469800000000003,1.375
FixedOutputProportionalCPSlo,2.07MB,0.13501836,458434,0.07469800000000003,1.25
FixedOutputProportionalCPSlo,2.07MB,0.13626853,458434,0.07469800000000003,1.7
FixedOutputProportionalCPSlo,2.07MB,0.1375187,458434,0.07469800000000003,1.6
FixedOutputProportionalCPSlo,2.07MB,0.13876887,458434,0.07469800000000003,1.35
FixedOutputProportionalCPSlo,2.07MB,0.14001904,458434,0.07469800000000003,1.425
FixedOutputProportionalCPSlo,2.07MB,0.14126921,458434,0.07469800000000003,1.275
FixedOutputProportionalCPSlo,2.07MB,0.14251938,458434,0.07469800000000003,1.1
FixedOutputProportionalCPSlo,2.07MB,0.14376955,458434,0.07469800000000003,1.475
FixedOutputProportionalCPSlo,2.07MB,0.14501972,458434,0.07469800000000003,1.375
FixedOutputProportionalCPSlo,2.07MB,0.14626989,458434,0.07469800000000003,1.125
FixedOutputProportionalCPSlo,2.07MB,0.14752006,458434,0.07469800000000003,1.325
FixedOutputProportionalCPSlo,2.07MB,0.14877023,458434,0.07469800000000003,1.35
FixedOutputProportionalCPSlo,2.07MB,0.1500204,458434,0.07469800000000003,1.475
FixedOutputProportionalCPSlo,2.07MB,0.15127057,458434,0.07469800000000003,1.425
FixedOutputProportionalCPSlo,2.07MB,0.15252074,458434,0.07469800000000003,1.4
FixedOutputProportionalCPSlo,2.07MB,0.15377091,458434,0.07469800000000003,1.3
FixedOutputProportionalCPSlo,2.07MB,0.15502108,458434,0.07469800000000003,1.65
FixedOutputProportionalCPSlo,2.07MB,0.15627125,458434,0.07469800000000003,1.8
FixedOutputProportionalCPSlo,2.07MB,0.15752142,458434,0.07469800000000003,1.525
FixedOutputProportionalCPSlo,2.07MB,0.15877159,458434,0.07469800000000003,1.325
FixedOutputProportionalCPSlo,2.07MB,0.16002176,458434,0.07469800000000003,1.35
FixedOutputProportionalCPSlo,2.07MB,0.16127193,458434,0.07469800000000003,1.175
FixedOutputProportionalCPSlo,2.07MB,0.1625221,458434,0.07469800000000003,1.5
FixedOutputProportionalCPSlo,2.07MB,0.16377227,458434,0.07469800000000003,1.425
FixedOutputProportionalCPSlo,2.07MB,0.16502244,458434,0.07469800000000003,1.275
FixedOutputProportionalCPSlo,2.07MB,0.16627261,458434,0.07469800000000003,1.5
FixedOutputProportionalCPSlo,2.07MB,0.16752278,458434,0.07469800000000003,1.375
FixedOutputProportionalCPSlo,2.07MB,0.16877295,458434,0.07469800000000003,2.35
FixedOutputProportionalCPSlo,6.16MB,0.08126105,2909143,0.07874200000000002,1.5
FixedOutputProportionalCPSlo,6.16MB,0.08251122,2888637,0.08003000000000002,1.675
FixedOutputProportionalCPSlo,6.16MB,0.08376139,2887221,0.08037400000000001,1.875
FixedOutputProportionalCPSlo,6.16MB,0.08501156,2855529,0.08136100000000002,1.325
FixedOutputProportionalCPSlo,6.16MB,0.08626173,2854762,0.08293200000000002,1.2
FixedOutputProportionalCPSlo,6.16MB,0.0875119,2771111,0.08399000000000002,1.7
FixedOutputProportionalCPSlo,6.16MB,0.08876207,2834141,0.08487500000000002,1.625
FixedOutputProportionalCPSlo,6.16MB,0.09001224,2621268,0.08607500000000003,1.35
FixedOutputProportionalCPSlo,6.16MB,0.09126241,2603788,0.08719500000000002,1.325
FixedOutputProportionalCPSlo,6.16MB,0.09251258,2434746,0.08813100000000001,1.9
FixedOutputProportionalCPSlo,6.16MB,0.09376275,2414036,0.08964200000000001,1.8
FixedOutputProportionalCPSlo,6.16MB,0.09501292,2337295,0.090646,1.325
FixedOutputProportionalCPSlo,6.16MB,0.09626309,2328253,0.09196100000000001,1.825
FixedOutputProportionalCPSlo,6.16MB,0.09751326,2314097,0.09240000000000001,1.525
FixedOutputProportionalCPSlo,6.16MB,0.09876343,2249088,0.09320700000000001,2.125
FixedOutputProportionalCPSlo,6.16MB,0.1000136,2313330,0.09397100000000001,1.375
FixedOutputProportionalCPSlo,6.16MB,0.10126377,2228467,0.09515000000000001,1.525
FixedOutputProportionalCPSlo,6.16MB,0.10251394,2227700,0.09672100000000002,1.6
FixedOutputProportionalCPSlo,6.16MB,0.10376411,2226844,0.09786000000000002,1.575
FixedOutputProportionalCPSlo,6.16MB,0.10501428,2061144,0.09835500000000001,1.475
FixedOutputProportionalCPSlo,6.16MB,0.10626445,2186280,0.09974300000000001,1.75
FixedOutputProportionalCPSlo,6.16MB,0.10751462,2020580,0.10023800000000001,1.725
FixedOutputProportionalCPSlo,6.16MB,0.10876479,1874734,0.100361,1.6
FixedOutputProportionalCPSlo,6.16MB,0.11001496,1848491,0.104118,1.6
FixedOutputProportionalCPSlo,6.16MB,0.11126513,1847724,0.105689,1.375
FixedOutputProportionalCPSlo,6.16MB,0.1125153,1846448,0.105811,1.75
FixedOutputProportionalCPSlo,6.16MB,0.11376547,1688210,0.10737700000000001,1.825
FixedOutputProportionalCPSlo,6.16MB,0.11501564,1667050,0.107943,1.65
FixedOutputProportionalCPSlo,6.16MB,0.11626581,1665570,0.10828800000000001,1.475
FixedOutputProportionalCPSlo,6.16MB,0.11751598,1645716,0.10866,1.575
FixedOutputProportionalCPSlo,6.16MB,0.11876615,1570739,0.110668,1.6
FixedOutputProportionalCPSlo,6.16MB,0.12001632,1505636,0.11154800000000001,1.325
FixedOutputProportionalCPSlo,6.16MB,0.12126649,1505636,0.11154800000000001,1.425
FixedOutputProportionalCPSlo,6.16MB,0.12251666,1494456,0.11287000000000001,2
FixedOutputProportionalCPSlo,6.16MB,0.12376683,1494158,0.113166,1.85
FixedOutputProportionalCPSlo,6.16MB,0.125017,1477009,0.11720000000000001,1.375
FixedOutputProportionalCPSlo,6.16MB,0.12626717,1477003,0.11726700000000001,1.55
FixedOutputProportionalCPSlo,6.16MB,0.12751734,1465171,0.11781500000000002,1.425
FixedOutputProportionalCPSlo,6.16MB,0.12876751,1401368,0.118568,1.75
FixedOutputProportionalCPSlo,6.16MB,0.13001768,1398026,0.119009,1.625
FixedOutputProportionalCPSlo,6.16MB,0.13126785,1322397,0.12024300000000002,1.55
FixedOutputProportionalCPSlo,6.16MB,0.13251802,1310723,0.12050600000000002,1.375
FixedOutputProportionalCPSlo,6.16MB,0.13376819,1307381,0.12094700000000001,1.325
FixedOutputProportionalCPSlo,6.16MB,0.13501836,1295713,0.12114300000000001,1.5
FixedOutputProportionalCPSlo,6.16MB,0.13626853,1292371,0.12158400000000001,1.225
FixedOutputProportionalCPSlo,6.16MB,0.1375187,1228574,0.12227,1.875
FixedOutputProportionalCPSlo,6.16MB,0.13876887,1217394,0.12359200000000001,1.8
FixedOutputProportionalCPSlo,6.16MB,0.14001904,1205632,0.12386100000000001,1.75
FixedOutputProportionalCPSlo,6.16MB,0.14126921,1205632,0.12386100000000001,1.425
FixedOutputProportionalCPSlo,6.16MB,0.14251938,1194452,0.12518300000000002,1.425
FixedOutputProportionalCPSlo,6.16MB,0.14376955,1195511,0.12849700000000003,1.375
FixedOutputProportionalCPSlo,6.16MB,0.14501972,1189041,0.12874200000000002,1.475
FixedOutputProportionalCPSlo,6.16MB,0.14626989,1188837,0.12896500000000002,1.375
FixedOutputProportionalCPSlo,6.16MB,0.14752006,1188837,0.12896500000000002,1.7
FixedOutputProportionalCPSlo,6.16MB,0.14877023,1183724,0.132228,1.375
FixedOutputProportionalCPSlo,6.16MB,0.1500204,1183724,0.132228,1.575
FixedOutputProportionalCPSlo,6.16MB,0.15127057,1183724,0.132228,1.6
FixedOutputProportionalCPSlo,6.16MB,0.15252074,1171892,0.132776,1.65
FixedOutputProportionalCPSlo,6.16MB,0.15377091,1171886,0.13284300000000002,2.275
FixedOutputProportionalCPSlo,6.16MB,0.15502108,1154941,0.13665400000000003,1.95
FixedOutputProportionalCPSlo,6.16MB,0.15627125,1143761,0.13797600000000002,1.7
FixedOutputProportionalCPSlo,6.16MB,0.15752142,1143661,0.13811600000000002,1.95
FixedOutputProportionalCPSlo,6.16MB,0.15877159,1143661,0.13811600000000002,1.775
FixedOutputProportionalCPSlo,6.16MB,0.16002176,1132481,0.13943800000000003,1.75
FixedOutputProportionalCPSlo,6.16MB,0.16127193,1132387,0.13951100000000002,1.75
FixedOutputProportionalCPSlo,6.16MB,0.1625221,1129045,0.13995200000000002,1.975
FixedOutputProportionalCPSlo,6.16MB,0.16377227,1128841,0.14017500000000002,1.425
FixedOutputProportionalCPSlo,6.16MB,0.16502244,1125499,0.14061600000000002,1.25
FixedOutputProportionalCPSlo,6.16MB,0.16627261,1113627,0.14103500000000002,1.8
FixedOutputProportionalCPSlo,6.16MB,0.16752278,1113627,0.14103500000000002,1.625
FixedOutputProportionalCPSlo,6.16MB,0.16877295,1120182,0.14410200000000004,1.325
FixedOutputProportionalCPSlo,14.25MB,0.08126105,4791292,0.07757600000000008,1.75
FixedOutputProportionalCPSlo,14.25MB,0.08251122,4537821,0.07800700000000008,2.45
FixedOutputProportionalCPSlo,14.25MB,0.08376139,4071103,0.07991300000000008,2.025
FixedOutputProportionalCPSlo,14.25MB,0.08501156,4071103,0.07991300000000008,1.9
FixedOutputProportionalCPSlo,14.25MB,0.08626173,4033997,0.08057300000000008,1.725
FixedOutputProportionalCPSlo,14.25MB,0.0875119,4033997,0.08057300000000008,1.825
FixedOutputProportionalCPSlo,14.25MB,0.08876207,4031113,0.08132600000000006,2.725
FixedOutputProportionalCPSlo,14.25MB,0.09001224,4028229,0.08207900000000007,2.025
FixedOutputProportionalCPSlo,14.25MB,0.09126241,3814982,0.08355400000000006,1.45
FixedOutputProportionalCPSlo,14.25MB,0.09251258,3814982,0.08355400000000006,1.725
FixedOutputProportionalCPSlo,14.25MB,0.09376275,3601735,0.08502900000000006,1.35
FixedOutputProportionalCPSlo,14.25MB,0.09501292,3576633,0.08975100000000007,1.575
FixedOutputProportionalCPSlo,14.25MB,0.09626309,3363386,0.09122600000000006,1.6
FixedOutputProportionalCPSlo,14.25MB,0.09751326,3363386,0.09122600000000006,1.35
FixedOutputProportionalCPSlo,14.25MB,0.09876343,3326280,0.09188600000000005,1.375
FixedOutputProportionalCPSlo,14.25MB,0.1000136,3326280,0.09188600000000005,1.85
FixedOutputProportionalCPSlo,14.25MB,0.10126377,3326280,0.09188600000000005,1.5
FixedOutputProportionalCPSlo,14.25MB,0.10251394,3113033,0.09336100000000006,1.5
