strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,2.07MB,100,2775568,0.005819999999999999,0.625
Cheapest,6.16MB,100,2776616,0.005819999999999999,0.35
Cheapest,14.25MB,100,2777750,0.005819999999999999,0.325
Fastest,2.07MB,100,458434,0.07469800000000003,0.525
Fastest,6.16MB,100,984372,0.16292000000000006,0.55
Fastest,14.25MB,100,1142644,0.18907200000000005,0.35
ProportionalCriticalPathSlo,2.07MB,1312872,1304432,0.033380999999999994,1.4
ProportionalCriticalPathSlo,2.07MB,1333069,1302540,0.034801,1.2
ProportionalCriticalPathSlo,2.07MB,1353266,1269568,0.03296399999999999,1
ProportionalCriticalPathSlo,2.07MB,1373463,1368616,0.03307499999999999,1.325
ProportionalCriticalPathSlo,2.07MB,1393660,1368616,0.03307499999999999,1.575
ProportionalCriticalPathSlo,2.07MB,1413857,1335756,0.032541999999999995,1.45
ProportionalCriticalPathSlo,2.07MB,1434054,1372512,0.031539,1.6
ProportionalCriticalPathSlo,2.07MB,1454251,1440592,0.029696999999999994,1.075
ProportionalCriticalPathSlo,2.07MB,1474448,1440592,0.029696999999999994,1.25
ProportionalCriticalPathSlo,2.07MB,1494645,1471560,0.03165,1.175
ProportionalCriticalPathSlo,2.07MB,1514842,1504776,0.029390999999999994,1.175
ProportionalCriticalPathSlo,2.07MB,1535039,1506780,0.029274999999999995,2
ProportionalCriticalPathSlo,2.07MB,1555236,1541644,0.029691999999999996,3.6
ProportionalCriticalPathSlo,2.07MB,1575433,1500880,0.030926999999999993,1.175
ProportionalCriticalPathSlo,2.07MB,1595630,1574860,0.027432999999999996,1.7
ProportionalCriticalPathSlo,2.07MB,1615827,1576752,0.026012999999999994,1.5
ProportionalCriticalPathSlo,2.07MB,1636024,1609724,0.027849999999999996,1.3
ProportionalCriticalPathSlo,2.07MB,1656221,1576752,0.026012999999999994,1.25
ProportionalCriticalPathSlo,2.07MB,1676418,1611616,0.026429999999999995,1.375
ProportionalCriticalPathSlo,2.07MB,1696615,1677804,0.026007999999999996,1.55
ProportionalCriticalPathSlo,2.07MB,1716812,1679696,0.024587999999999995,1.475
ProportionalCriticalPathSlo,2.07MB,1737009,1710664,0.026540999999999995,1.35
ProportionalCriticalPathSlo,2.07MB,1757206,1677804,0.026007999999999996,1.45
ProportionalCriticalPathSlo,2.07MB,1777403,1714560,0.025004999999999996,1.175
ProportionalCriticalPathSlo,2.07MB,1797600,1774848,0.026234999999999994,1.725
ProportionalCriticalPathSlo,2.07MB,1817797,1741988,0.025701999999999996,1.175
ProportionalCriticalPathSlo,2.07MB,1837994,1747776,0.022745999999999995,1.15
ProportionalCriticalPathSlo,2.07MB,1858191,1837140,0.027348999999999995,1.15
ProportionalCriticalPathSlo,2.07MB,1878388,1846936,0.024160999999999995,0.925
ProportionalCriticalPathSlo,2.07MB,1898585,1815856,0.020903999999999996,1.475
ProportionalCriticalPathSlo,2.07MB,1918782,1916908,0.020898999999999997,1.525
ProportionalCriticalPathSlo,2.07MB,1938979,1916908,0.020898999999999997,1.45
ProportionalCriticalPathSlo,2.07MB,1959176,1949672,0.022004999999999997,1.375
ProportionalCriticalPathSlo,2.07MB,1979373,1947988,0.024155999999999997,1.275
ProportionalCriticalPathSlo,2.07MB,1999570,1918800,0.019478999999999996,1.525
ProportionalCriticalPathSlo,2.07MB,2019767,2017848,0.019589999999999993,4.1
ProportionalCriticalPathSlo,2.07MB,2039964,2019852,0.019473999999999995,1.325
ProportionalCriticalPathSlo,2.07MB,2060161,2021744,0.018053999999999994,1.175
ProportionalCriticalPathSlo,2.07MB,2080358,2048928,0.022846999999999996,1.175
ProportionalCriticalPathSlo,2.07MB,2100555,2019852,0.019473999999999995,1.7
ProportionalCriticalPathSlo,2.07MB,2120752,2056608,0.018470999999999994,1.2
ProportionalCriticalPathSlo,2.07MB,2140949,2122796,0.018048999999999996,1.025
ProportionalCriticalPathSlo,2.07MB,2161146,2082144,0.020588,1.425
ProportionalCriticalPathSlo,2.07MB,2181343,2120792,0.018164999999999997,1.3
ProportionalCriticalPathSlo,2.07MB,2201540,2185088,0.019162999999999996,1.25
ProportionalCriticalPathSlo,2.07MB,2221737,2146328,0.020281999999999998,1.375
ProportionalCriticalPathSlo,2.07MB,2241934,2152116,0.017325999999999994,2.4
ProportionalCriticalPathSlo,2.07MB,2262131,2251276,0.018740999999999997,1.625
ProportionalCriticalPathSlo,2.07MB,2282328,2258956,0.014364999999999996,1.325
ProportionalCriticalPathSlo,2.07MB,2302525,2291720,0.015470999999999995,1.975
ProportionalCriticalPathSlo,2.07MB,2322722,2290036,0.017622,1.425
ProportionalCriticalPathSlo,2.07MB,2342919,2260848,0.012944999999999995,1.725
ProportionalCriticalPathSlo,2.07MB,2363116,2354220,0.017315999999999998,1.175
ProportionalCriticalPathSlo,2.07MB,2383313,2361900,0.012939999999999997,1.025
ProportionalCriticalPathSlo,2.07MB,2403510,2363792,0.011519999999999996,1.3
ProportionalCriticalPathSlo,2.07MB,2423707,2392980,0.016196999999999996,1.45
ProportionalCriticalPathSlo,2.07MB,2443904,2361900,0.012939999999999995,1.3
ProportionalCriticalPathSlo,2.07MB,2464101,2462952,0.012934999999999995,1.275
ProportionalCriticalPathSlo,2.07MB,2484298,2462952,0.012934999999999997,0.95
ProportionalCriticalPathSlo,2.07MB,2504495,2466736,0.010094999999999996,1.35
ProportionalCriticalPathSlo,2.07MB,2524692,2493920,0.014887999999999998,1.375
ProportionalCriticalPathSlo,2.07MB,2544889,2464844,0.011514999999999997,1.45
ProportionalCriticalPathSlo,2.07MB,2565086,2564004,0.012929999999999997,0.975
ProportionalCriticalPathSlo,2.07MB,2585283,2565896,0.011509999999999996,1.2
ProportionalCriticalPathSlo,2.07MB,2605480,2569680,0.008669999999999997,1.325
ProportionalCriticalPathSlo,2.07MB,2625677,2596864,0.013462999999999998,1.15
ProportionalCriticalPathSlo,2.07MB,2645874,2565896,0.01151,1.425
ProportionalCriticalPathSlo,2.07MB,2666071,2604544,0.009086999999999998,1.725
ProportionalCriticalPathSlo,2.07MB,2686268,2666836,0.010200999999999998,1.925
ProportionalCriticalPathSlo,2.07MB,2706465,2672624,0.007244999999999998,1.275
ProportionalCriticalPathSlo,2.07MB,2726662,2703592,0.009198,1.65
ProportionalCriticalPathSlo,6.16MB,1312872,1305320,0.12099800000000001,1.625
ProportionalCriticalPathSlo,6.16MB,1333069,1325174,0.12062600000000001,1.475
ProportionalCriticalPathSlo,6.16MB,1353266,1345028,0.12025400000000001,1.4
ProportionalCriticalPathSlo,6.16MB,1373463,1364882,0.11988200000000002,1.825
ProportionalCriticalPathSlo,6.16MB,1393660,1384736,0.11951000000000002,1.6
ProportionalCriticalPathSlo,6.16MB,1413857,1408996,0.11782200000000002,1.775
ProportionalCriticalPathSlo,6.16MB,1434054,1433256,0.11613400000000001,1.975
ProportionalCriticalPathSlo,6.16MB,1454251,1445088,0.11558600000000001,1.65
ProportionalCriticalPathSlo,6.16MB,1474448,1469646,0.11360200000000001,1.75
ProportionalCriticalPathSlo,6.16MB,1494645,1493906,0.11191400000000001,1.925
ProportionalCriticalPathSlo,6.16MB,1514842,1506036,0.11107000000000002,5.675
