scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.02,1,-1
scenario-01,1.0,0.03,1,-1
scenario-01,1.0,0.04,1,-1
scenario-01,1.0,0.05,1,-1
scenario-01,1.0,0.06,1,-1
scenario-01,1.1,0.01,1,-1
scenario-01,1.1,0.02,1,-1
scenario-01,1.1,0.03,1,-1
scenario-01,1.2,0.01,1,-1
scenario-01,1.3,0.01,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.02,2,-1
scenario-01,1.0,0.03,2,-1
scenario-01,1.0,0.04,2,-1
scenario-01,1.0,0.05,2,-1
scenario-01,1.0,0.06,2,-1
scenario-01,1.1,0.01,2,-1
scenario-01,1.1,0.02,2,-1
scenario-01,1.1,0.03,2,-1
scenario-01,1.2,0.01,2,-1
scenario-01,1.3,0.01,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,-1
scenario-01,1.0,0.03,3,-1
scenario-01,1.0,0.04,3,-1
scenario-01,1.0,0.05,3,-1
scenario-01,1.0,0.06,3,-1
scenario-01,1.1,0.01,3,-1
scenario-01,1.1,0.02,3,-1
scenario-01,1.1,0.03,3,-1
scenario-01,1.2,0.01,3,-1
scenario-01,1.3,0.01,3,-1
scenario-01,1.0,0.07,1,3.04282098765432131111
scenario-01,1.0,0.07,2,3.04282098765432131111
scenario-01,1.0,0.07,3,3.04282098765432131111
scenario-01,1.0,0.08,1,3.08088753086419778024
scenario-01,1.0,0.08,2,3.08088753086419778024
scenario-01,1.0,0.08,3,3.08088753086419778024
scenario-01,1.0,0.09,1,3.11599441975308668888
scenario-01,1.0,0.09,2,3.11599441975308668888
scenario-01,1.0,0.09,3,3.11599441975308668888
scenario-01,1.0,0.1,1,3.14820981481481504197
scenario-01,1.0,0.1,2,3.14820981481481504197
scenario-01,1.0,0.1,3,3.14820981481481504197
scenario-01,1.0,0.11,1,3.18338486419753111111
scenario-01,1.0,0.11,2,3.18338486419753111111
scenario-01,1.0,0.11,3,3.18338486419753111111
scenario-01,1.1,0.04,1,3.19529164197530876543
scenario-01,1.1,0.04,2,3.19529164197530876543
scenario-01,1.1,0.04,3,3.19529164197530876543
scenario-01,1.0,0.12,1,3.21855991358024711604
scenario-01,1.0,0.12,2,3.21855991358024711604
scenario-01,1.0,0.12,3,3.21855991358024711604
scenario-01,1.1,0.05,1,3.23033037037037047777
scenario-01,1.1,0.05,2,3.23033037037037047777
scenario-01,1.1,0.05,3,3.23033037037037047777
scenario-01,1.0,0.13,1,3.25951795061728413950
scenario-01,1.0,0.13,2,3.25951795061728413950
scenario-01,1.0,0.13,3,3.25951795061728413950
scenario-01,1.1,0.06,1,3.26247760493827173827
scenario-01,1.1,0.06,2,3.26247760493827173827
scenario-01,1.1,0.06,3,3.26247760493827173827
scenario-01,1.0,0.14,1,3.27996288888888903827
scenario-01,1.0,0.14,2,3.27996288888888903827
scenario-01,1.0,0.14,3,3.27996288888888903827
scenario-01,1.1,0.07,1,3.28574587654320997901
scenario-01,1.1,0.07,2,3.28574587654320997901
scenario-01,1.1,0.07,3,3.28574587654320997901
scenario-01,1.2,0.02,1,3.28878823456790087654
scenario-01,1.2,0.02,2,3.28878830864197496296
scenario-01,1.2,0.02,3,3.28879751851851817283
scenario-01,1.0,0.15,1,3.30921862962962980123
scenario-01,1.0,0.15,2,3.30921862962962980123
scenario-01,1.0,0.15,3,3.30921862962962980123
scenario-01,1.1,0.08,1,3.31789311111111124691
scenario-01,1.1,0.08,2,3.31789311111111124691
scenario-01,1.1,0.08,3,3.31789311111111124691
scenario-01,1.2,0.03,1,3.33881517283950596913
scenario-01,1.2,0.03,2,3.33881517283950596913
scenario-01,1.2,0.03,3,3.33881517283950596913
scenario-01,1.0,0.16,1,3.34432551851851861604
scenario-01,1.0,0.16,2,3.34432551851851861604
scenario-01,1.0,0.16,3,3.34432551851851861604
scenario-01,1.1,0.09,1,3.35010850617283957283
scenario-01,1.1,0.09,2,3.35010850617283957283
scenario-01,1.1,0.09,3,3.35010850617283957283
scenario-01,1.0,0.17,1,3.37358125925925938024
scenario-01,1.0,0.17,2,3.37358125925925938024
scenario-01,1.0,0.17,3,3.37358125925925938024
scenario-01,1.1,0.1,1,3.37936424691358033333
scenario-01,1.1,0.1,2,3.37936424691358033333
scenario-01,1.1,0.1,3,3.37936424691358033333
scenario-01,1.2,0.04,1,3.38266470370370365308
scenario-01,1.2,0.04,2,3.38266470370370365308
scenario-01,1.2,0.04,3,3.38266470370370365308
scenario-01,1.0,0.18,1,3.39705401234567909506
scenario-01,1.0,0.18,2,3.39705401234567909506
scenario-01,1.0,0.18,3,3.39705401234567909506
scenario-01,1.1,0.11,1,3.40579665432098770246
scenario-01,1.1,0.11,2,3.40579665432098770246
scenario-01,1.1,0.11,3,3.40579665432098770246
scenario-01,1.2,0.05,1,3.41474377777777767037
scenario-01,1.2,0.05,2,3.41474377777777767037
scenario-01,1.2,0.05,3,3.41474377777777767037
scenario-01,1.1,0.12,1,3.42913308641975315432
scenario-01,1.1,0.12,2,3.42913308641975315432
scenario-01,1.1,0.12,3,3.42913308641975315432
scenario-01,1.0,0.19,1,3.43216090123456797407
scenario-01,1.0,0.19,2,3.43216090123456797407
scenario-01,1.0,0.19,3,3.43216090123456797407
scenario-01,1.3,0.02,1,3.44985066666666640246
scenario-01,1.3,0.02,2,3.44985066666666640246
scenario-01,1.3,0.02,3,3.44985066666666640246
scenario-01,1.2,0.06,1,3.45845698765432097160
scenario-01,1.2,0.06,2,3.45845698765432097160
scenario-01,1.2,0.06,3,3.45845698765432097160
scenario-01,1.1,0.13,1,3.45845698765432098395
scenario-01,1.1,0.13,2,3.45845698765432098395
scenario-01,1.1,0.13,3,3.45845698765432098395
scenario-01,1.5,0.01,1,3.46121216049382666419
scenario-01,1.5,0.01,2,3.46121216049382666419
scenario-01,1.5,0.01,3,3.46121216049382666419
scenario-01,1.0,0.2,1,3.46141664197530873456
scenario-01,1.0,0.2,2,3.46141664197530873456
scenario-01,1.0,0.2,3,3.46141664197530873456
scenario-01,1.4,0.01,1,3.46726779012345645925
scenario-01,1.4,0.01,2,3.46726779012345645925
scenario-01,1.4,0.01,3,3.46726779012345645925
scenario-01,1.2,0.07,1,3.47897008641975303209
scenario-01,1.2,0.07,2,3.47897008641975303209
scenario-01,1.2,0.07,3,3.47897008641975303209
scenario-01,1.1,0.14,1,3.49067238271604939876
scenario-01,1.1,0.14,2,3.49067238271604939876
scenario-01,1.1,0.14,3,3.49067238271604939876
scenario-01,1.3,0.03,1,3.49686433333333319012
scenario-01,1.3,0.03,2,3.49686433333333319012
scenario-01,1.3,0.03,3,3.49686433333333319012
scenario-01,1.2,0.08,1,3.50237467901234569012
scenario-01,1.2,0.08,2,3.50237467901234569012
scenario-01,1.2,0.08,3,3.50237467901234569012
scenario-01,1.1,0.15,1,3.51118548148148149259
scenario-01,1.1,0.15,2,3.51118548148148149259
scenario-01,1.1,0.15,3,3.51118548148148149259
scenario-01,1.2,0.09,1,3.52577927160493827530
scenario-01,1.2,0.09,2,3.52577927160493827530
scenario-01,1.2,0.09,3,3.52577927160493827530
scenario-01,1.6,0.01,1,3.53707260493827131975
scenario-01,1.6,0.01,2,3.53707260493827131975
scenario-01,1.6,0.01,3,3.53707260493827131975
scenario-01,1.3,0.04,1,3.53761788888888879753
scenario-01,1.3,0.04,2,3.53761788888888879753
scenario-01,1.3,0.04,3,3.53761788888888879753
scenario-01,1.4,0.02,1,3.54023674074074049012
scenario-01,1.4,0.02,2,3.54023674074074049012
scenario-01,1.4,0.02,3,3.54023674074074049012
scenario-01,1.1,0.16,1,3.54044122222222228271
scenario-01,1.1,0.16,2,3.54044122222222228271
scenario-01,1.1,0.16,3,3.54044122222222228271
scenario-01,1.2,0.1,1,3.54911570370370375679
scenario-01,1.2,0.1,2,3.54911570370370375679
scenario-01,1.2,0.1,3,3.54911570370370375679
scenario-01,1.1,0.17,1,3.56384581481481486296
scenario-01,1.1,0.17,2,3.56384581481481486296
scenario-01,1.1,0.17,3,3.56384581481481486296
scenario-01,1.5,0.02,1,3.57224765432098733209
scenario-01,1.5,0.02,2,3.57224765432098733209
scenario-01,1.5,0.02,3,3.57224765432098733209
scenario-01,1.3,0.05,1,3.57272477777777785555
scenario-01,1.3,0.05,2,3.57272477777777785555
scenario-01,1.3,0.05,3,3.57272477777777785555
scenario-01,1.2,0.11,1,3.57843960493827171111
scenario-01,1.2,0.11,2,3.57843960493827171111
scenario-01,1.2,0.11,3,3.57843960493827171111
