strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,774260,0.001620000000000001,0.175
Cheapest,0.82MB,100,1870980,0.003934999999999998,0.35
Cheapest,1.24MB,100,2542880,0.005360000000000004,0.35
Fastest,0.49MB,100,123680,0.019019999999999992,0.35
Fastest,0.82MB,100,292005,0.04533999999999998,0.25
Fastest,1.24MB,100,432019,0.068417,0.5
ProportionalCriticalPathSlo,0.49MB,541754,504530,0.006904000000000004,1
ProportionalCriticalPathSlo,0.49MB,550782,506114,0.0066340000000000045,1.325
ProportionalCriticalPathSlo,0.49MB,559810,506686,0.006410000000000004,1.175
ProportionalCriticalPathSlo,0.49MB,568838,520902,0.006383000000000004,1.25
ProportionalCriticalPathSlo,0.49MB,577866,530870,0.0063790000000000045,1
ProportionalCriticalPathSlo,0.49MB,586894,531704,0.006330000000000004,1.7
ProportionalCriticalPathSlo,0.49MB,595922,545848,0.006309000000000005,0.925
ProportionalCriticalPathSlo,0.49MB,604950,547055,0.006225000000000005,1.4
ProportionalCriticalPathSlo,0.49MB,613978,548427,0.006092000000000004,0.975
ProportionalCriticalPathSlo,0.49MB,623006,562277,0.006081000000000004,1.175
ProportionalCriticalPathSlo,0.49MB,632034,563698,0.0058690000000000036,1.4
ProportionalCriticalPathSlo,0.49MB,641062,576636,0.005964000000000003,1.2
ProportionalCriticalPathSlo,0.49MB,650090,578692,0.005686000000000003,1.35
ProportionalCriticalPathSlo,0.49MB,659118,591330,0.005869000000000003,0.8
ProportionalCriticalPathSlo,0.49MB,668146,593607,0.005598000000000004,1.45
ProportionalCriticalPathSlo,0.49MB,677174,606266,0.0056860000000000036,1.075
ProportionalCriticalPathSlo,0.49MB,686202,608290,0.005434000000000004,1.075
ProportionalCriticalPathSlo,0.49MB,695230,621025,0.0055940000000000035,1.125
ProportionalCriticalPathSlo,0.49MB,704258,634000,0.005664000000000002,1.4
ProportionalCriticalPathSlo,0.49MB,713286,636130,0.005464000000000003,1.125
ProportionalCriticalPathSlo,0.49MB,722314,648759,0.005572000000000003,1.175
ProportionalCriticalPathSlo,0.49MB,731342,651538,0.005316000000000004,1.375
ProportionalCriticalPathSlo,0.49MB,740370,653689,0.0051620000000000025,1.2
ProportionalCriticalPathSlo,0.49MB,749398,665595,0.005284000000000003,1.275
ProportionalCriticalPathSlo,0.49MB,758426,678988,0.0053130000000000035,1.275
ProportionalCriticalPathSlo,0.49MB,767454,682121,0.005108000000000002,0.925
