strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,503700,0.04107999999999999,0
Cheapest,0.82MB,100,8965480,0.05812000000000005,0.025
Cheapest,1.24MB,100,8965480,0.05812000000000005,0.025
Fastest,0.49MB,100,198600,0.3808,0.025
Fastest,0.82MB,100,488570,0.9348649999999995,0
Fastest,1.24MB,100,695151,1.3251919999999995,0
ProportionalCriticalPathSlo,0.49MB,0.4495763999999999,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.45649295999999984,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.46340951999999985,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.47032607999999987,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.47724263999999983,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.48415919999999985,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.49107575999999986,198600,0.3808,0.325
ProportionalCriticalPathSlo,0.49MB,0.4979923199999998,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.5049088799999998,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.5118254399999999,198600,0.3808,0.575
ProportionalCriticalPathSlo,0.49MB,0.5187419999999998,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.5256585599999998,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.5325751199999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.5394916799999998,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.5464082399999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.5533247999999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.5602413599999998,198600,0.3808,0.275
ProportionalCriticalPathSlo,0.49MB,0.5671579199999998,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.5740744799999998,198600,0.3808,0.325
ProportionalCriticalPathSlo,0.49MB,0.5809910399999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.5879075999999999,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.5948241599999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.6017407199999998,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.6086572799999999,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.6155738399999998,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.6224903999999998,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.6294069599999998,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.6363235199999998,198600,0.3808,0.175
ProportionalCriticalPathSlo,0.49MB,0.6432400799999998,198600,0.3808,0.2
ProportionalCriticalPathSlo,0.49MB,0.6501566399999998,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.6570731999999998,198600,0.3808,0.3
ProportionalCriticalPathSlo,0.49MB,0.6639897599999998,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.6709063199999998,198600,0.3808,0.225
ProportionalCriticalPathSlo,0.49MB,0.6778228799999998,198600,0.3808,0.275
ProportionalCriticalPathSlo,0.49MB,0.6847394399999998,198600,0.3808,0.25
ProportionalCriticalPathSlo,0.49MB,0.6916559999999998,198600,0.3808,0.275
