strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,371133,0.0018039999999999996,0.35
Cheapest,1.03MB,100,686472,0.002859999999999999,0.325
Cheapest,1.24MB,100,687399,0.002859999999999999,0.425
Fastest,0.33MB,100,63633,0.009191999999999999,0.35
Fastest,1.03MB,100,158866,0.025067999999999986,0.25
Fastest,1.24MB,100,212347,0.035153000000000025,0.375
ProportionalCriticalPathSlo,0.33MB,0.011403900000000007,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.011593965000000008,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.011784030000000008,63633,0.009191999999999999,1.05
ProportionalCriticalPathSlo,0.33MB,0.011974095000000008,63633,0.009191999999999999,1.475
ProportionalCriticalPathSlo,0.33MB,0.012164160000000007,63633,0.009191999999999999,1.675
ProportionalCriticalPathSlo,0.33MB,0.012354225000000009,63633,0.009191999999999999,1.2
ProportionalCriticalPathSlo,0.33MB,0.012544290000000008,63633,0.009191999999999999,0.975
ProportionalCriticalPathSlo,0.33MB,0.012734355000000008,63633,0.009191999999999999,1.35
ProportionalCriticalPathSlo,0.33MB,0.012924420000000008,63633,0.009191999999999999,1.375
ProportionalCriticalPathSlo,0.33MB,0.013114485000000009,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.013304550000000009,63633,0.009191999999999999,1.375
ProportionalCriticalPathSlo,0.33MB,0.013494615000000008,63633,0.009191999999999999,1.375
ProportionalCriticalPathSlo,0.33MB,0.013684680000000008,63633,0.009191999999999999,1.875
ProportionalCriticalPathSlo,0.33MB,0.01387474500000001,63633,0.009191999999999999,1.45
ProportionalCriticalPathSlo,0.33MB,0.01406481000000001,63633,0.009191999999999999,1.375
ProportionalCriticalPathSlo,0.33MB,0.014254875000000009,63633,0.009191999999999999,1.6
ProportionalCriticalPathSlo,0.33MB,0.014444940000000009,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.01463500500000001,63633,0.009191999999999999,1.9
ProportionalCriticalPathSlo,0.33MB,0.01482507000000001,63633,0.009191999999999999,1.225
ProportionalCriticalPathSlo,0.33MB,0.01501513500000001,63633,0.009191999999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.015205200000000009,63633,0.009191999999999999,1.5
ProportionalCriticalPathSlo,0.33MB,0.01539526500000001,63633,0.009191999999999999,1.35
ProportionalCriticalPathSlo,0.33MB,0.01558533000000001,63633,0.009191999999999999,1.525
ProportionalCriticalPathSlo,0.33MB,0.01577539500000001,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.01596546000000001,63633,0.009191999999999999,1.6
ProportionalCriticalPathSlo,0.33MB,0.01615552500000001,63633,0.009191999999999999,1.1
ProportionalCriticalPathSlo,0.33MB,0.01634559000000001,63633,0.009191999999999999,1.275
ProportionalCriticalPathSlo,0.33MB,0.01653565500000001,63633,0.009191999999999999,1.175
