strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,401690,0.0008399999999999998,0.175
Cheapest,1.03MB,100,1031064,0.0021669999999999997,0.2
Cheapest,1.24MB,100,1273923,0.00268,0.2
Fastest,0.33MB,100,64539,0.009888999999999993,0.15
Fastest,1.03MB,100,160825,0.024944000000000018,0.2
Fastest,1.24MB,100,210591,0.032787000000000024,0.2
ProportionalCriticalPathSlo,0.33MB,292443,248092,0.0038310000000000006,0.8
ProportionalCriticalPathSlo,0.33MB,296941,248860,0.003646,0.725
ProportionalCriticalPathSlo,0.33MB,301439,262020,0.0037479999999999996,0.575
ProportionalCriticalPathSlo,0.33MB,305937,262810,0.0036889999999999996,0.7
ProportionalCriticalPathSlo,0.33MB,310435,271355,0.003779,0.675
ProportionalCriticalPathSlo,0.33MB,314933,272791,0.003694,0.625
ProportionalCriticalPathSlo,0.33MB,319431,273698,0.00362,0.6
ProportionalCriticalPathSlo,0.33MB,323929,282209,0.00372,0.775
ProportionalCriticalPathSlo,0.33MB,328427,283688,0.0036169999999999996,1.075
ProportionalCriticalPathSlo,0.33MB,332925,284946,0.0034909999999999997,0.9
ProportionalCriticalPathSlo,0.33MB,337423,293232,0.003646,0.8
ProportionalCriticalPathSlo,0.33MB,341921,294645,0.003523,0.7
ProportionalCriticalPathSlo,0.33MB,346419,295868,0.003325,0.775
ProportionalCriticalPathSlo,0.33MB,350917,304249,0.0035539999999999994,0.775
ProportionalCriticalPathSlo,0.33MB,355415,305671,0.0033349999999999994,0.825
ProportionalCriticalPathSlo,0.33MB,359913,318270,0.0035600000000000002,0.95
ProportionalCriticalPathSlo,0.33MB,364411,315449,0.003352,1
ProportionalCriticalPathSlo,0.33MB,368909,327842,0.00359,0.775
ProportionalCriticalPathSlo,0.33MB,373407,329696,0.0034489999999999994,0.925
ProportionalCriticalPathSlo,0.33MB,377905,331687,0.00327,0.925
ProportionalCriticalPathSlo,0.33MB,382403,333735,0.00295,0.625
ProportionalCriticalPathSlo,0.33MB,386901,335359,0.0026649999999999994,0.825
ProportionalCriticalPathSlo,0.33MB,391399,336696,0.0023419999999999995,0.7
ProportionalCriticalPathSlo,0.33MB,395897,348708,0.0026189999999999994,0.975
ProportionalCriticalPathSlo,0.33MB,400395,350106,0.0023449999999999994,0.925
ProportionalCriticalPathSlo,0.33MB,404893,351572,0.0021999999999999993,0.85
ProportionalCriticalPathSlo,0.33MB,409391,352319,0.0020430000000000005,0.775
ProportionalCriticalPathSlo,0.33MB,413889,363973,0.0023339999999999993,0.725
ProportionalCriticalPathSlo,0.33MB,418387,365402,0.0022139999999999994,0.975
ProportionalCriticalPathSlo,0.33MB,422885,366691,0.0020200000000000005,1
ProportionalCriticalPathSlo,0.33MB,427383,367662,0.0018900000000000006,0.9
ProportionalCriticalPathSlo,0.33MB,431881,368686,0.0017120000000000008,0.95
ProportionalCriticalPathSlo,0.33MB,436379,369282,0.0015530000000000008,0.625
ProportionalCriticalPathSlo,0.33MB,440877,369636,0.001461000000000001,0.975
ProportionalCriticalPathSlo,0.33MB,445375,369658,0.0014140000000000008,0.65
ProportionalCriticalPathSlo,0.33MB,449873,369658,0.0014140000000000008,0.95
ProportionalCriticalPathSlo,0.33MB,454371,383455,0.001474000000000001,0.675
ProportionalCriticalPathSlo,0.33MB,458869,383874,0.0013870000000000006,0.625
ProportionalCriticalPathSlo,0.33MB,463367,384190,0.0013690000000000006,0.625
ProportionalCriticalPathSlo,0.33MB,467865,384474,0.0013500000000000007,0.775
ProportionalCriticalPathSlo,0.33MB,472363,397741,0.0013760000000000007,0.825
ProportionalCriticalPathSlo,0.33MB,476861,398406,0.0013420000000000005,0.925
ProportionalCriticalPathSlo,0.33MB,481359,398406,0.0013420000000000005,0.6
ProportionalCriticalPathSlo,0.33MB,485857,399006,0.0013050000000000006,0.725
ProportionalCriticalPathSlo,0.33MB,490355,399543,0.0012660000000000004,0.575
ProportionalCriticalPathSlo,0.33MB,494853,400207,0.0012040000000000004,1.025
ProportionalCriticalPathSlo,0.33MB,499351,400588,0.0011610000000000004,0.6
ProportionalCriticalPathSlo,0.33MB,503849,401292,0.001026,0.85
ProportionalCriticalPathSlo,0.33MB,508347,401546,0.0009339999999999997,0.9
ProportionalCriticalPathSlo,0.33MB,512845,401690,0.0008399999999999998,0.525
ProportionalCriticalPathSlo,0.33MB,517343,401690,0.0008399999999999998,0.725
ProportionalCriticalPathSlo,0.33MB,521841,401690,0.0008399999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,526339,401690,0.0008399999999999998,0.625
ProportionalCriticalPathSlo,0.33MB,530837,401690,0.0008399999999999998,0.575
ProportionalCriticalPathSlo,0.33MB,535335,401690,0.0008399999999999998,0.85
ProportionalCriticalPathSlo,0.33MB,539833,401690,0.0008399999999999998,0.6
ProportionalCriticalPathSlo,0.33MB,544331,401690,0.0008399999999999998,0.9
ProportionalCriticalPathSlo,0.33MB,548829,401690,0.0008399999999999998,0.775
ProportionalCriticalPathSlo,0.33MB,553327,401690,0.0008399999999999998,1.125
ProportionalCriticalPathSlo,0.33MB,557825,401690,0.0008399999999999998,0.75
ProportionalCriticalPathSlo,0.33MB,562323,401690,0.0008399999999999998,0.95
ProportionalCriticalPathSlo,0.33MB,566821,401690,0.0008399999999999998,0.775
ProportionalCriticalPathSlo,0.33MB,571319,401690,0.0008399999999999998,0.675
ProportionalCriticalPathSlo,0.33MB,575817,401690,0.0008399999999999998,0.875
ProportionalCriticalPathSlo,0.33MB,580315,401690,0.0008399999999999998,0.65
ProportionalCriticalPathSlo,0.33MB,584813,401690,0.0008399999999999998,1
ProportionalCriticalPathSlo,0.33MB,589311,401690,0.0008399999999999998,1.075
ProportionalCriticalPathSlo,0.33MB,593809,401690,0.0008399999999999998,1.025
ProportionalCriticalPathSlo,0.33MB,598307,401690,0.0008399999999999998,0.8
ProportionalCriticalPathSlo,0.33MB,602805,401690,0.0008399999999999998,0.7
ProportionalCriticalPathSlo,0.33MB,607303,401690,0.0008399999999999998,0.625
ProportionalCriticalPathSlo,1.03MB,292443,266378,0.020146999999999998,1.125
ProportionalCriticalPathSlo,1.03MB,296941,275022,0.019765,1.075
ProportionalCriticalPathSlo,1.03MB,301439,275782,0.01967,1.125
ProportionalCriticalPathSlo,1.03MB,305937,278144,0.019655999999999996,0.95
ProportionalCriticalPathSlo,1.03MB,310435,279147,0.019636999999999998,1.6
ProportionalCriticalPathSlo,1.03MB,314933,279737,0.019629999999999998,1.375
ProportionalCriticalPathSlo,1.03MB,319431,303061,0.019620999999999996,1.625
ProportionalCriticalPathSlo,1.03MB,323929,304845,0.019498999999999996,1.5
ProportionalCriticalPathSlo,1.03MB,328427,305918,0.019167999999999998,1.05
ProportionalCriticalPathSlo,1.03MB,332925,305918,0.019167999999999998,1.45
ProportionalCriticalPathSlo,1.03MB,337423,305918,0.019167999999999998,1.225
ProportionalCriticalPathSlo,1.03MB,341921,312848,0.018711,1.2
ProportionalCriticalPathSlo,1.03MB,346419,313288,0.018691999999999997,1.35
ProportionalCriticalPathSlo,1.03MB,350917,319713,0.018271,1.275
ProportionalCriticalPathSlo,1.03MB,355415,320218,0.018235,0.925
ProportionalCriticalPathSlo,1.03MB,359913,320954,0.01821,1.575
ProportionalCriticalPathSlo,1.03MB,364411,327489,0.017775,1.25
ProportionalCriticalPathSlo,1.03MB,368909,328432,0.017739,1.225
ProportionalCriticalPathSlo,1.03MB,373407,334478,0.017339,1.3
ProportionalCriticalPathSlo,1.03MB,377905,335902,0.017267,1.4
ProportionalCriticalPathSlo,1.03MB,382403,337158,0.017244,1.725
ProportionalCriticalPathSlo,1.03MB,386901,343289,0.01681,1.15
ProportionalCriticalPathSlo,1.03MB,391399,344332,0.016778,1.275
ProportionalCriticalPathSlo,1.03MB,395897,345832,0.016746,1.3
ProportionalCriticalPathSlo,1.03MB,400395,346892,0.016733,0.95
ProportionalCriticalPathSlo,1.03MB,404893,346892,0.016733,1.1
ProportionalCriticalPathSlo,1.03MB,409391,353486,0.016319,1.15
ProportionalCriticalPathSlo,1.03MB,413889,354435,0.016282,1.525
ProportionalCriticalPathSlo,1.03MB,418387,354782,0.016259,1.5
ProportionalCriticalPathSlo,1.03MB,422885,361255,0.015839,1.1
ProportionalCriticalPathSlo,1.03MB,427383,362124,0.015799,0.8
ProportionalCriticalPathSlo,1.03MB,431881,386225,0.015746999999999997,1.075
ProportionalCriticalPathSlo,1.03MB,436379,387657,0.015670999999999997,0.9
