strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,2819317,0.010918999999999995,0.825
Cheapest,1.03MB,100,6312132,0.032816,1
Cheapest,1.54MB,100,7790465,0.040496000000000004,0.325
Fastest,0.33MB,100,480971,0.07714099999999999,0.9
Fastest,1.03MB,100,1029960,0.17154700000000003,0.525
Fastest,1.54MB,100,1258332,0.209533,0.275
FixedOutputProportionalCPSlo,0.33MB,2940894,2819317,0.010918999999999995,2.025
FixedOutputProportionalCPSlo,0.33MB,2986137,2819317,0.010918999999999995,1.55
FixedOutputProportionalCPSlo,0.33MB,3031380,2819317,0.010918999999999995,2.275
FixedOutputProportionalCPSlo,0.33MB,3076623,2819317,0.010918999999999995,1.575
FixedOutputProportionalCPSlo,0.33MB,3121866,2819317,0.010918999999999995,2.125
FixedOutputProportionalCPSlo,0.33MB,3167109,2819317,0.010918999999999995,1.95
FixedOutputProportionalCPSlo,0.33MB,3212352,2819317,0.010918999999999995,1.825
FixedOutputProportionalCPSlo,0.33MB,3257595,2819317,0.010918999999999995,1.775
FixedOutputProportionalCPSlo,0.33MB,3302838,2819317,0.010918999999999995,2.1
FixedOutputProportionalCPSlo,0.33MB,3348081,2819317,0.010918999999999995,1.9
FixedOutputProportionalCPSlo,0.33MB,3393324,2819317,0.010918999999999995,2.2
FixedOutputProportionalCPSlo,0.33MB,3438567,2819317,0.010918999999999995,2.425
FixedOutputProportionalCPSlo,0.33MB,3483810,2819317,0.010918999999999995,1.675
FixedOutputProportionalCPSlo,0.33MB,3529053,2819317,0.010918999999999995,2.1
FixedOutputProportionalCPSlo,0.33MB,3574296,2819317,0.010918999999999995,2.75
FixedOutputProportionalCPSlo,0.33MB,3619539,2819317,0.010918999999999995,1.7
FixedOutputProportionalCPSlo,0.33MB,3664782,2819317,0.010918999999999995,1.85
FixedOutputProportionalCPSlo,0.33MB,3710025,2819317,0.010918999999999995,2.075
FixedOutputProportionalCPSlo,0.33MB,3755268,2819317,0.010918999999999995,2.15
FixedOutputProportionalCPSlo,0.33MB,3800511,2819317,0.010918999999999995,1.7
FixedOutputProportionalCPSlo,0.33MB,3845754,2819317,0.010918999999999995,2.925
FixedOutputProportionalCPSlo,0.33MB,3890997,2819317,0.010918999999999995,2.825
FixedOutputProportionalCPSlo,0.33MB,3936240,2819317,0.010918999999999995,1.725
FixedOutputProportionalCPSlo,0.33MB,3981483,2819317,0.010918999999999995,1.9
FixedOutputProportionalCPSlo,0.33MB,4026726,2819317,0.010918999999999995,2.725
FixedOutputProportionalCPSlo,0.33MB,4071969,2819317,0.010918999999999995,2.35
FixedOutputProportionalCPSlo,0.33MB,4117212,2819317,0.010918999999999995,2.075
FixedOutputProportionalCPSlo,0.33MB,4162455,2819317,0.010918999999999995,2.525
FixedOutputProportionalCPSlo,0.33MB,4207698,2819317,0.010918999999999995,1.975
FixedOutputProportionalCPSlo,0.33MB,4252941,2819317,0.010918999999999995,1.775
FixedOutputProportionalCPSlo,0.33MB,4298184,2819317,0.010918999999999995,2.5
FixedOutputProportionalCPSlo,0.33MB,4343427,2819317,0.010918999999999995,2.275
FixedOutputProportionalCPSlo,0.33MB,4388670,2819317,0.010918999999999995,1.7
FixedOutputProportionalCPSlo,0.33MB,4433913,2819317,0.010918999999999995,1.575
FixedOutputProportionalCPSlo,0.33MB,4479156,2819317,0.010918999999999995,1.775
FixedOutputProportionalCPSlo,0.33MB,4524399,2819317,0.010918999999999995,1.875
FixedOutputProportionalCPSlo,0.33MB,4569642,2819317,0.010918999999999995,1.775
FixedOutputProportionalCPSlo,0.33MB,4614885,2819317,0.010918999999999995,2.25
FixedOutputProportionalCPSlo,0.33MB,4660128,2819317,0.010918999999999995,2.225
FixedOutputProportionalCPSlo,0.33MB,4705371,2819317,0.010918999999999995,1.425
FixedOutputProportionalCPSlo,0.33MB,4750614,2819317,0.010918999999999995,1.45
FixedOutputProportionalCPSlo,0.33MB,4795857,2819317,0.010918999999999995,1.4
FixedOutputProportionalCPSlo,0.33MB,4841100,2819317,0.010918999999999995,1.525
FixedOutputProportionalCPSlo,0.33MB,4886343,2819317,0.010918999999999995,1.375
FixedOutputProportionalCPSlo,0.33MB,4931586,2819317,0.010918999999999995,2.65
FixedOutputProportionalCPSlo,0.33MB,4976829,2819317,0.010918999999999995,2.825
FixedOutputProportionalCPSlo,0.33MB,5022072,2819317,0.010918999999999995,2.075
FixedOutputProportionalCPSlo,0.33MB,5067315,2819317,0.010918999999999995,2.1
FixedOutputProportionalCPSlo,0.33MB,5112558,2819317,0.010918999999999995,1.925
FixedOutputProportionalCPSlo,0.33MB,5157801,2819317,0.010918999999999995,2.75
FixedOutputProportionalCPSlo,0.33MB,5203044,2819317,0.010918999999999995,1.875
FixedOutputProportionalCPSlo,0.33MB,5248287,2819317,0.010918999999999995,2.6
FixedOutputProportionalCPSlo,0.33MB,5293530,2819317,0.010918999999999995,1.725
FixedOutputProportionalCPSlo,0.33MB,5338773,2819317,0.010918999999999995,2.35
FixedOutputProportionalCPSlo,0.33MB,5384016,2819317,0.010918999999999995,4.475
FixedOutputProportionalCPSlo,0.33MB,5429259,2819317,0.010918999999999995,1.8
FixedOutputProportionalCPSlo,0.33MB,5474502,2819317,0.010918999999999995,2.65
FixedOutputProportionalCPSlo,0.33MB,5519745,2819317,0.010918999999999995,1.825
FixedOutputProportionalCPSlo,0.33MB,5564988,2819317,0.010918999999999995,2.225
FixedOutputProportionalCPSlo,0.33MB,5610231,2819317,0.010918999999999995,2.025
FixedOutputProportionalCPSlo,0.33MB,5655474,2819317,0.010918999999999995,2.25
FixedOutputProportionalCPSlo,0.33MB,5700717,2819317,0.010918999999999995,1.625
FixedOutputProportionalCPSlo,0.33MB,5745960,2819317,0.010918999999999995,1.7
FixedOutputProportionalCPSlo,0.33MB,5791203,2819317,0.010918999999999995,2.325
FixedOutputProportionalCPSlo,0.33MB,5836446,2819317,0.010918999999999995,2.75
FixedOutputProportionalCPSlo,0.33MB,5881689,2819317,0.010918999999999995,2.1
FixedOutputProportionalCPSlo,0.33MB,5926932,2819317,0.010918999999999995,2.875
FixedOutputProportionalCPSlo,0.33MB,5972175,2819317,0.010918999999999995,2.475
FixedOutputProportionalCPSlo,0.33MB,6017418,2819317,0.010918999999999995,1.8
FixedOutputProportionalCPSlo,0.33MB,6062661,2819317,0.010918999999999995,1.775
FixedOutputProportionalCPSlo,0.33MB,6107904,2819317,0.010918999999999995,1.6
FixedOutputProportionalCPSlo,1.03MB,2940894,2927806,0.09435199999999999,2
FixedOutputProportionalCPSlo,1.03MB,2986137,2976733,0.09292900000000001,2.425
FixedOutputProportionalCPSlo,1.03MB,3031380,3025660,0.091506,2.4
FixedOutputProportionalCPSlo,1.03MB,3076623,3073097,0.090344,2.025
FixedOutputProportionalCPSlo,1.03MB,3121866,3079477,0.08973400000000001,2.9
FixedOutputProportionalCPSlo,1.03MB,3167109,3079477,0.08973400000000001,2.55
FixedOutputProportionalCPSlo,1.03MB,3212352,3079477,0.08973400000000001,2.325
FixedOutputProportionalCPSlo,1.03MB,3257595,3240601,0.08686500000000001,2.075
FixedOutputProportionalCPSlo,1.03MB,3302838,3240601,0.08686500000000001,2.275
FixedOutputProportionalCPSlo,1.03MB,3348081,3240601,0.08686500000000001,2.075
FixedOutputProportionalCPSlo,1.03MB,3393324,3390768,0.08460400000000001,2.025
FixedOutputProportionalCPSlo,1.03MB,3438567,3402650,0.08403800000000002,2.35
FixedOutputProportionalCPSlo,1.03MB,3483810,3402650,0.08403800000000002,1.8
FixedOutputProportionalCPSlo,1.03MB,3529053,3526223,0.083481,2.325
FixedOutputProportionalCPSlo,1.03MB,3574296,3563774,0.08116900000000002,2.2
FixedOutputProportionalCPSlo,1.03MB,3619539,3563774,0.08116900000000002,2.725
FixedOutputProportionalCPSlo,1.03MB,3664782,3563774,0.08116900000000002,1.825
FixedOutputProportionalCPSlo,1.03MB,3710025,3707968,0.079498,2.6
FixedOutputProportionalCPSlo,1.03MB,3755268,3724898,0.07830000000000002,2.2
FixedOutputProportionalCPSlo,1.03MB,3800511,3724898,0.07830000000000002,2.275
