strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,2775574,0.005819999999999999,0.1
Cheapest,1.03MB,100,2776712,0.005819999999999999,0.1
Cheapest,1.54MB,100,2777681,0.005819999999999999,0.15
Fastest,0.33MB,100,458176,0.07430000000000003,0.125
Fastest,1.03MB,100,982339,0.162588,0.125
Fastest,1.54MB,100,1142664,0.18907,0.125
ProportionalCriticalPathSlo,0.33MB,1312878,1117140,0.035886999999999995,0.9
ProportionalCriticalPathSlo,0.33MB,1333075,1117140,0.035886999999999995,0.475
ProportionalCriticalPathSlo,0.33MB,1353272,1117140,0.035886999999999995,0.475
ProportionalCriticalPathSlo,0.33MB,1373469,1220084,0.03446199999999999,0.55
ProportionalCriticalPathSlo,0.33MB,1393666,1220084,0.03446199999999999,0.55
ProportionalCriticalPathSlo,0.33MB,1413863,1220084,0.03446199999999999,0.55
ProportionalCriticalPathSlo,0.33MB,1434060,1220084,0.03446199999999999,0.55
ProportionalCriticalPathSlo,0.33MB,1454257,1220084,0.03446199999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1474454,1220084,0.03446199999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1494651,1220084,0.03446199999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1514848,1323028,0.03303699999999999,0.45
ProportionalCriticalPathSlo,0.33MB,1535045,1344737,0.03238599999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1555242,1346542,0.03236899999999999,0.6
ProportionalCriticalPathSlo,0.33MB,1575439,1346542,0.03236899999999999,0.475
ProportionalCriticalPathSlo,0.33MB,1595636,1346542,0.03236899999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1615833,1368251,0.03171799999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1636030,1368251,0.03171799999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1656227,1389960,0.03106699999999999,0.475
ProportionalCriticalPathSlo,0.33MB,1676424,1391765,0.03104999999999999,0.5
ProportionalCriticalPathSlo,0.33MB,1696621,1413474,0.030398999999999992,0.525
ProportionalCriticalPathSlo,0.33MB,1716818,1415279,0.03038199999999999,0.625
ProportionalCriticalPathSlo,0.33MB,1737015,1436988,0.02973099999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1757212,1541737,0.02828899999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1777409,1543542,0.02827199999999999,0.5
ProportionalCriticalPathSlo,0.33MB,1797606,1543542,0.02827199999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1817803,1543542,0.02827199999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1838000,1543542,0.02827199999999999,0.575
ProportionalCriticalPathSlo,0.33MB,1858197,1543542,0.02827199999999999,0.5
ProportionalCriticalPathSlo,0.33MB,1878394,1543542,0.02827199999999999,0.525
ProportionalCriticalPathSlo,0.33MB,1898591,1646486,0.026846999999999992,0.525
ProportionalCriticalPathSlo,0.33MB,1918788,1646486,0.026846999999999992,0.5
ProportionalCriticalPathSlo,0.33MB,1938985,1646486,0.026846999999999992,0.525
ProportionalCriticalPathSlo,0.33MB,1959182,1646486,0.026846999999999992,0.55
ProportionalCriticalPathSlo,0.33MB,1979379,1646486,0.026846999999999992,0.525
ProportionalCriticalPathSlo,0.33MB,1999576,1646486,0.026846999999999992,0.625
ProportionalCriticalPathSlo,0.33MB,2019773,1646486,0.026846999999999992,0.55
