strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,2513513,0.20413500000000007,0
Cheapest,1.03MB,100,4956761,0.40236999999999995,0.025
Cheapest,1.54MB,100,7980184,0.6478260000000001,0.025
Fastest,0.33MB,100,969847,1.8483049999999994,0.025
Fastest,1.03MB,100,2186940,4.161929000000001,0
Fastest,1.54MB,100,2658946,5.064271000000001,0.025
FixedOutputProportionalCPSlo,0.33MB,1.856431525,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,1.88499201,969858,1.8463249999999995,0.575
FixedOutputProportionalCPSlo,0.33MB,1.913552495,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,1.94211298,969858,1.8463249999999995,0.475
FixedOutputProportionalCPSlo,0.33MB,1.970673465,969858,1.8463249999999995,0.5
FixedOutputProportionalCPSlo,0.33MB,1.99923395,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,2.027794435,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.05635492,969858,1.8463249999999995,0.5
FixedOutputProportionalCPSlo,0.33MB,2.084915405,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.11347589,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.142036375,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,2.17059686,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,2.199157345,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,2.22771783,969858,1.8463249999999995,0.55
FixedOutputProportionalCPSlo,0.33MB,2.256278315,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.2848388,969858,1.8463249999999995,0.375
FixedOutputProportionalCPSlo,0.33MB,2.313399285,969858,1.8463249999999995,0.475
FixedOutputProportionalCPSlo,0.33MB,2.34195977,969858,1.8463249999999995,0.35
FixedOutputProportionalCPSlo,0.33MB,2.370520255,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.39908074,969858,1.8463249999999995,0.45
FixedOutputProportionalCPSlo,0.33MB,2.427641225,969858,1.8463249999999995,0.4
FixedOutputProportionalCPSlo,0.33MB,2.45620171,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,2.484762195,969858,1.8463249999999995,0.7
FixedOutputProportionalCPSlo,0.33MB,2.51332268,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,2.541883165,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.57044365,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.599004135,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,2.62756462,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.656125105,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.68468559,969858,1.8463249999999995,0.65
FixedOutputProportionalCPSlo,0.33MB,2.713246075,969858,1.8463249999999995,0.575
FixedOutputProportionalCPSlo,0.33MB,2.74180656,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.770367045,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,2.79892753,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,2.827488015,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,2.8560485,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.884608985,969858,1.8463249999999995,0.45
FixedOutputProportionalCPSlo,0.33MB,2.91316947,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,2.941729955,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.97029044,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,2.998850925,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.02741141,969858,1.8463249999999995,0.575
FixedOutputProportionalCPSlo,0.33MB,3.055971895,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.08453238,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,3.113092865,969858,1.8463249999999995,0.475
FixedOutputProportionalCPSlo,0.33MB,3.14165335,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,3.170213835,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,3.19877432,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.227334805,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,3.25589529,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.284455775,969858,1.8463249999999995,0.225
FixedOutputProportionalCPSlo,0.33MB,3.31301626,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.341576745,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.37013723,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.398697715,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,0.33MB,3.4272582,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.455818685,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.48437917,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.512939655,969858,1.8463249999999995,0.4
FixedOutputProportionalCPSlo,0.33MB,3.54150014,969858,1.8463249999999995,0.325
FixedOutputProportionalCPSlo,0.33MB,3.570060625,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,3.59862111,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,3.627181595,969858,1.8463249999999995,0.375
FixedOutputProportionalCPSlo,0.33MB,3.65574208,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,3.684302565,969858,1.8463249999999995,0.375
FixedOutputProportionalCPSlo,0.33MB,3.71286305,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.741423535,969858,1.8463249999999995,0.475
FixedOutputProportionalCPSlo,0.33MB,3.76998402,969858,1.8463249999999995,0.35
FixedOutputProportionalCPSlo,0.33MB,3.798544505,969858,1.8463249999999995,0.3
FixedOutputProportionalCPSlo,0.33MB,3.82710499,969858,1.8463249999999995,0.275
FixedOutputProportionalCPSlo,0.33MB,3.855665475,969858,1.8463249999999995,0.25
FixedOutputProportionalCPSlo,1.03MB,1.856431525,3990839,1.718957,0.25
FixedOutputProportionalCPSlo,1.03MB,1.88499201,3990839,1.718957,0.225
FixedOutputProportionalCPSlo,1.03MB,1.913552495,3990839,1.718957,0.3
FixedOutputProportionalCPSlo,1.03MB,1.94211298,3855488,1.907377,0.325
FixedOutputProportionalCPSlo,1.03MB,1.970673465,3855488,1.907377,0.45
FixedOutputProportionalCPSlo,1.03MB,1.99923395,3855488,1.907377,0.6
FixedOutputProportionalCPSlo,1.03MB,2.027794435,3855488,1.907377,0.4
FixedOutputProportionalCPSlo,1.03MB,2.05635492,3855488,1.907377,0.725
FixedOutputProportionalCPSlo,1.03MB,2.084915405,3855488,1.907377,0.575
FixedOutputProportionalCPSlo,1.03MB,2.11347589,3720137,2.095797,0.225
FixedOutputProportionalCPSlo,1.03MB,2.142036375,3720137,2.095797,0.7
FixedOutputProportionalCPSlo,1.03MB,2.17059686,3720137,2.095797,0.325
FixedOutputProportionalCPSlo,1.03MB,2.199157345,3720137,2.095797,0.275
FixedOutputProportionalCPSlo,1.03MB,2.22771783,3720137,2.095797,0.375
FixedOutputProportionalCPSlo,1.03MB,2.256278315,3720137,2.095797,0.275
FixedOutputProportionalCPSlo,1.03MB,2.2848388,3714595,2.094986,0.225
FixedOutputProportionalCPSlo,1.03MB,2.313399285,3579244,2.2834060000000003,0.25
FixedOutputProportionalCPSlo,1.03MB,2.34195977,3579244,2.2834060000000003,0.75
FixedOutputProportionalCPSlo,1.03MB,2.370520255,3579244,2.2834060000000003,0.275
FixedOutputProportionalCPSlo,1.03MB,2.39908074,3579244,2.2834060000000003,0.275
FixedOutputProportionalCPSlo,1.03MB,2.427641225,3579244,2.2834060000000003,0.3
FixedOutputProportionalCPSlo,1.03MB,2.45620171,3579244,2.2834060000000003,0.25
FixedOutputProportionalCPSlo,1.03MB,2.484762195,3443893,2.471826,0.275
FixedOutputProportionalCPSlo,1.03MB,2.51332268,3443893,2.471826,0.325
FixedOutputProportionalCPSlo,1.03MB,2.541883165,3443893,2.471826,0.3
FixedOutputProportionalCPSlo,1.03MB,2.57044365,3443893,2.471826,0.3
FixedOutputProportionalCPSlo,1.03MB,2.599004135,3443893,2.471826,0.25
FixedOutputProportionalCPSlo,1.03MB,2.62756462,3443893,2.471826,0.25
FixedOutputProportionalCPSlo,1.03MB,2.656125105,3438351,2.4710150000000004,0.275
FixedOutputProportionalCPSlo,1.03MB,2.68468559,3303000,2.659435,0.35
FixedOutputProportionalCPSlo,1.03MB,2.713246075,3303000,2.659435,0.275
FixedOutputProportionalCPSlo,1.03MB,2.74180656,3303000,2.659435,0.25
FixedOutputProportionalCPSlo,1.03MB,2.770367045,3303000,2.659435,0.45
FixedOutputProportionalCPSlo,1.03MB,2.79892753,3303000,2.659435,0.275
FixedOutputProportionalCPSlo,1.03MB,2.827488015,3303000,2.659435,0.275
FixedOutputProportionalCPSlo,1.03MB,2.8560485,3297458,2.658624,0.225
FixedOutputProportionalCPSlo,1.03MB,2.884608985,3162107,2.8470440000000004,0.3
FixedOutputProportionalCPSlo,1.03MB,2.91316947,3162107,2.8470440000000004,0.225
FixedOutputProportionalCPSlo,1.03MB,2.941729955,3162107,2.8470440000000004,0.275
FixedOutputProportionalCPSlo,1.03MB,2.97029044,3162107,2.8470440000000004,0.25
FixedOutputProportionalCPSlo,1.03MB,2.998850925,3162107,2.8470440000000004,0.3
FixedOutputProportionalCPSlo,1.03MB,3.02741141,3156565,2.8462330000000007,0.25
FixedOutputProportionalCPSlo,1.03MB,3.055971895,3021214,3.0346530000000005,0.275
FixedOutputProportionalCPSlo,1.03MB,3.08453238,3021214,3.0346530000000005,0.25
FixedOutputProportionalCPSlo,1.03MB,3.113092865,3021214,3.0346530000000005,0.325
FixedOutputProportionalCPSlo,1.03MB,3.14165335,3021214,3.0346530000000005,0.4
FixedOutputProportionalCPSlo,1.03MB,3.170213835,3021214,3.0346530000000005,0.3
