strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,2513513,0.20413500000000007,0
Cheapest,1.03MB,100,7684814,0.31195999999999996,0.025
Cheapest,1.54MB,100,7685084,0.31196199999999996,0.025
Fastest,0.33MB,100,969847,1.8483049999999994,0
Fastest,1.03MB,100,2186940,4.161929000000001,0.05
Fastest,1.54MB,100,2658946,5.064271000000001,0.025
ProportionalCriticalPathSlo,0.33MB,3361815,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,3413535,2513513,0.20413500000000007,0.25
ProportionalCriticalPathSlo,0.33MB,3465255,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,3516975,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,3568695,2513513,0.20413500000000007,0.275
ProportionalCriticalPathSlo,0.33MB,3620415,2513513,0.20413500000000007,0.225
ProportionalCriticalPathSlo,0.33MB,3672135,2513513,0.20413500000000007,0.375
ProportionalCriticalPathSlo,0.33MB,3723855,2513513,0.20413500000000007,0.275
ProportionalCriticalPathSlo,0.33MB,3775575,2513513,0.20413500000000007,0.275
ProportionalCriticalPathSlo,0.33MB,3827295,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,3879015,2513513,0.20413500000000007,0.3
ProportionalCriticalPathSlo,0.33MB,3930735,2513513,0.20413500000000007,0.4
ProportionalCriticalPathSlo,0.33MB,3982455,2513513,0.20413500000000007,0.25
ProportionalCriticalPathSlo,0.33MB,4034175,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,4085895,2513513,0.20413500000000007,0.875
ProportionalCriticalPathSlo,0.33MB,4137615,2513513,0.20413500000000007,0.475
ProportionalCriticalPathSlo,0.33MB,4189335,2513513,0.20413500000000007,0.25
ProportionalCriticalPathSlo,0.33MB,4241055,2513513,0.20413500000000007,0.2
ProportionalCriticalPathSlo,0.33MB,4292775,2513513,0.20413500000000007,0.275
ProportionalCriticalPathSlo,0.33MB,4344495,2513513,0.20413500000000007,0.275
