strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,2.1MB,100,2014871,0.0069469999999999974,0.225
Cheapest,6.18MB,100,2284924,0.007793999999999996,0.225
Cheapest,14.34MB,100,2285410,0.007793999999999996,0.25
Fastest,2.1MB,100,346241,0.055520000000000014,0.2
Fastest,6.18MB,100,752771,0.12415299999999996,0.325
Fastest,14.34MB,100,934612,0.15568,0.25
ProportionalCriticalPathSlo,2.1MB,1046511,1012337,0.029509000000000007,1.15
ProportionalCriticalPathSlo,2.1MB,1062611,1012337,0.029509000000000007,0.825
ProportionalCriticalPathSlo,2.1MB,1078711,1012337,0.029509000000000007,1.35
ProportionalCriticalPathSlo,2.1MB,1094811,1080917,0.027892000000000007,1.475
ProportionalCriticalPathSlo,2.1MB,1110911,1080917,0.027892000000000007,1.075
ProportionalCriticalPathSlo,2.1MB,1127011,1080917,0.027892000000000007,1.375
ProportionalCriticalPathSlo,2.1MB,1143111,1080917,0.027892000000000007,1.4
ProportionalCriticalPathSlo,2.1MB,1159211,1158667,0.026242000000000005,1.5
ProportionalCriticalPathSlo,2.1MB,1175311,1160230,0.026085000000000007,1.55
ProportionalCriticalPathSlo,2.1MB,1191411,1167187,0.025982,1.525
ProportionalCriticalPathSlo,2.1MB,1207511,1167509,0.025969000000000002,0.95
ProportionalCriticalPathSlo,2.1MB,1223611,1168059,0.025942000000000003,1.375
ProportionalCriticalPathSlo,2.1MB,1239711,1239385,0.027526000000000002,0.925
ProportionalCriticalPathSlo,2.1MB,1255811,1250453,0.024116,1.225
ProportionalCriticalPathSlo,2.1MB,1271911,1251097,0.02409,1.225
ProportionalCriticalPathSlo,2.1MB,1288011,1251097,0.02409,1.575
ProportionalCriticalPathSlo,2.1MB,1304111,1252197,0.024036000000000002,1.575
ProportionalCriticalPathSlo,2.1MB,1320211,1259154,0.023932999999999996,1.25
ProportionalCriticalPathSlo,2.1MB,1336311,1334680,0.022300000000000004,0.9
ProportionalCriticalPathSlo,2.1MB,1352411,1335013,0.0222,1.125
ProportionalCriticalPathSlo,2.1MB,1368511,1335335,0.022187000000000002,1.525
ProportionalCriticalPathSlo,2.1MB,1384611,1335335,0.022187000000000002,1.425
ProportionalCriticalPathSlo,2.1MB,1400711,1400322,0.021119999999999996,1.55
ProportionalCriticalPathSlo,2.1MB,1416811,1405015,0.020516000000000006,1.125
ProportionalCriticalPathSlo,2.1MB,1432911,1405015,0.020516000000000006,0.9
ProportionalCriticalPathSlo,2.1MB,1449011,1414894,0.020366000000000002,0.975
ProportionalCriticalPathSlo,2.1MB,1465111,1424773,0.020216000000000005,1.05
ProportionalCriticalPathSlo,2.1MB,1481211,1444531,0.019916000000000003,1.325
ProportionalCriticalPathSlo,2.1MB,1497311,1454410,0.019766000000000006,1
ProportionalCriticalPathSlo,2.1MB,1513411,1455665,0.019666000000000003,1.025
ProportionalCriticalPathSlo,2.1MB,1529511,1526354,0.017998000000000004,0.925
ProportionalCriticalPathSlo,2.1MB,1545611,1527760,0.017964000000000004,1.1
ProportionalCriticalPathSlo,2.1MB,1561711,1527760,0.017964000000000004,1.275
ProportionalCriticalPathSlo,2.1MB,1577811,1527760,0.017964000000000004,1.9
ProportionalCriticalPathSlo,2.1MB,1593911,1591451,0.018004000000000003,1.05
ProportionalCriticalPathSlo,2.1MB,1610011,1596240,0.016343999999999994,1.95
ProportionalCriticalPathSlo,2.1MB,1626111,1596240,0.016343999999999994,1.45
ProportionalCriticalPathSlo,2.1MB,1642211,1615918,0.016335999999999996,1.1
ProportionalCriticalPathSlo,2.1MB,1658311,1625877,0.015893999999999995,1.225
ProportionalCriticalPathSlo,2.1MB,1674411,1626630,0.015833999999999994,1.125
ProportionalCriticalPathSlo,2.1MB,1690511,1689047,0.017449,1.2
ProportionalCriticalPathSlo,2.1MB,1706611,1695110,0.014213999999999992,1.15
ProportionalCriticalPathSlo,2.1MB,1722711,1697219,0.014162999999999993,0.95
ProportionalCriticalPathSlo,2.1MB,1738811,1707098,0.014012999999999994,1.2
ProportionalCriticalPathSlo,2.1MB,1754911,1707349,0.013992999999999993,1.5
ProportionalCriticalPathSlo,2.1MB,1771011,1707349,0.013992999999999993,1.325
ProportionalCriticalPathSlo,2.1MB,1787111,1772960,0.012566999999999993,1.175
ProportionalCriticalPathSlo,2.1MB,1803211,1784245,0.012382999999999995,1.05
ProportionalCriticalPathSlo,2.1MB,1819311,1786511,0.012208999999999994,1.05
ProportionalCriticalPathSlo,2.1MB,1835411,1786762,0.012188999999999995,1.45
ProportionalCriticalPathSlo,2.1MB,1851511,1786762,0.012188999999999995,1.175
ProportionalCriticalPathSlo,2.1MB,1867611,1850810,0.01092,1.175
ProportionalCriticalPathSlo,2.1MB,1883711,1863775,0.010601999999999997,1.125
ProportionalCriticalPathSlo,2.1MB,1899811,1875803,0.010254999999999995,0.9
ProportionalCriticalPathSlo,2.1MB,1915911,1875803,0.010254999999999995,2.075
ProportionalCriticalPathSlo,2.1MB,1932011,1876305,0.010214999999999995,1.125
ProportionalCriticalPathSlo,2.1MB,1948111,1876305,0.010214999999999995,1.275
ProportionalCriticalPathSlo,2.1MB,1964211,1941916,0.008788999999999996,1.225
ProportionalCriticalPathSlo,2.1MB,1980311,1944885,0.008597999999999996,1.125
ProportionalCriticalPathSlo,2.1MB,1996411,1946291,0.008563999999999997,1.2
ProportionalCriticalPathSlo,2.1MB,2012511,1946291,0.008563999999999997,1.35
ProportionalCriticalPathSlo,2.1MB,2028611,1946291,0.008563999999999997,1.275
ProportionalCriticalPathSlo,2.1MB,2044711,2013465,0.006980999999999997,1.5
ProportionalCriticalPathSlo,2.1MB,2060811,2014871,0.0069469999999999974,1.4
ProportionalCriticalPathSlo,2.1MB,2076911,2014871,0.0069469999999999974,1.025
ProportionalCriticalPathSlo,2.1MB,2093011,2014871,0.0069469999999999974,1.075
ProportionalCriticalPathSlo,2.1MB,2109111,2014871,0.0069469999999999974,1.375
ProportionalCriticalPathSlo,2.1MB,2125211,2014871,0.0069469999999999974,1.275
ProportionalCriticalPathSlo,2.1MB,2141311,2014871,0.0069469999999999974,1.15
ProportionalCriticalPathSlo,2.1MB,2157411,2014871,0.0069469999999999974,1.45
ProportionalCriticalPathSlo,2.1MB,2173511,2014871,0.0069469999999999974,1.15
ProportionalCriticalPathSlo,6.18MB,1046511,1034914,0.10181700000000002,2.7
ProportionalCriticalPathSlo,6.18MB,1062611,1051632,0.10118000000000002,2.45
ProportionalCriticalPathSlo,6.18MB,1078711,1065672,0.100629,2.275
ProportionalCriticalPathSlo,6.18MB,1094811,1080974,0.09994800000000001,2.275
ProportionalCriticalPathSlo,6.18MB,1110911,1099726,0.099103,1.825
ProportionalCriticalPathSlo,6.18MB,1127011,1113303,0.09850400000000001,1.875
ProportionalCriticalPathSlo,6.18MB,1143111,1126880,0.09790500000000002,1.425
ProportionalCriticalPathSlo,6.18MB,1159211,1153217,0.09719400000000002,2.225
ProportionalCriticalPathSlo,6.18MB,1175311,1155794,0.09709600000000003,2.85
ProportionalCriticalPathSlo,6.18MB,1191411,1182132,0.09638300000000002,3.275
ProportionalCriticalPathSlo,6.18MB,1207511,1182132,0.09638300000000002,3.525
ProportionalCriticalPathSlo,6.18MB,1223611,1208471,0.09566800000000002,1.825
ProportionalCriticalPathSlo,6.18MB,1239711,1216200,0.095378,1.8
ProportionalCriticalPathSlo,6.18MB,1255811,1242538,0.094665,1.425
ProportionalCriticalPathSlo,6.18MB,1271911,1268875,0.09395400000000001,1.9
ProportionalCriticalPathSlo,6.18MB,1288011,1268875,0.09395400000000001,1.575
ProportionalCriticalPathSlo,6.18MB,1304111,1294915,0.09323100000000001,1.475
ProportionalCriticalPathSlo,6.18MB,1320211,1294915,0.09323100000000001,1.875
ProportionalCriticalPathSlo,6.18MB,1336311,1332937,0.08753000000000001,1.475
ProportionalCriticalPathSlo,6.18MB,1352411,1331556,0.092136,1.45
ProportionalCriticalPathSlo,6.18MB,1368511,1367002,0.086531,1.625
ProportionalCriticalPathSlo,6.18MB,1384611,1357893,0.091425,1.65
ProportionalCriticalPathSlo,6.18MB,1400711,1398659,0.085653,1.725
ProportionalCriticalPathSlo,6.18MB,1416811,1413752,0.08517300000000001,1.325
ProportionalCriticalPathSlo,6.18MB,1432911,1429152,0.08478400000000001,1.75
ProportionalCriticalPathSlo,6.18MB,1449011,1439792,0.08445000000000001,2.125
ProportionalCriticalPathSlo,6.18MB,1465111,1460512,0.08389400000000001,1.525
ProportionalCriticalPathSlo,6.18MB,1481211,1476452,0.08357200000000001,1.825
ProportionalCriticalPathSlo,6.18MB,1497311,1491872,0.08300400000000001,2.5
ProportionalCriticalPathSlo,6.18MB,1513411,1507812,0.082682,4
ProportionalCriticalPathSlo,6.18MB,1529511,1517912,0.082281,1.65
ProportionalCriticalPathSlo,6.18MB,1545611,1533872,0.08178,1.625
ProportionalCriticalPathSlo,6.18MB,1561711,1544512,0.08144600000000002,1.875
ProportionalCriticalPathSlo,6.18MB,1577811,1555152,0.08111200000000002,1.75
ProportionalCriticalPathSlo,6.18MB,1593911,1590598,0.07550700000000002,1.9
ProportionalCriticalPathSlo,6.18MB,1610011,1590598,0.07550700000000002,1.675
ProportionalCriticalPathSlo,6.18MB,1626111,1625184,0.07004200000000002,2.275
ProportionalCriticalPathSlo,6.18MB,1642211,1630497,0.06975600000000003,1.75
ProportionalCriticalPathSlo,6.18MB,1658311,1639403,0.06946400000000003,1.675
ProportionalCriticalPathSlo,6.18MB,1674411,1673129,0.06413900000000002,1.825
ProportionalCriticalPathSlo,6.18MB,1690511,1674849,0.06385900000000001,2.1
ProportionalCriticalPathSlo,6.18MB,1706611,1674849,0.06385900000000001,1.875
ProportionalCriticalPathSlo,6.18MB,1722711,1710295,0.058253999999999986,1.8
ProportionalCriticalPathSlo,6.18MB,1738811,1710295,0.058253999999999986,2.125
ProportionalCriticalPathSlo,6.18MB,1754911,1750693,0.052531999999999975,2.55
ProportionalCriticalPathSlo,6.18MB,1771011,1750693,0.052531999999999975,2.4
ProportionalCriticalPathSlo,6.18MB,1787111,1764052,0.05209399999999998,2
ProportionalCriticalPathSlo,6.18MB,1803211,1764052,0.05209399999999998,3.25
ProportionalCriticalPathSlo,6.18MB,1819311,1798638,0.046628999999999976,2.9
ProportionalCriticalPathSlo,6.18MB,1835411,1799498,0.046488999999999975,2.625
ProportionalCriticalPathSlo,6.18MB,1851511,1833224,0.04116399999999998,1.8
ProportionalCriticalPathSlo,6.18MB,1867611,1834944,0.040883999999999976,1.7
ProportionalCriticalPathSlo,6.18MB,1883711,1834944,0.040883999999999976,2.2
ProportionalCriticalPathSlo,6.18MB,1899811,1834944,0.040883999999999976,2.075
ProportionalCriticalPathSlo,6.18MB,1915911,1870029,0.03544799999999999,1.925
ProportionalCriticalPathSlo,6.18MB,1932011,1870889,0.035308,2.325
ProportionalCriticalPathSlo,6.18MB,1948111,1905114,0.030012000000000014,2.175
ProportionalCriticalPathSlo,6.18MB,1964211,1906834,0.02973200000000002,3.425
ProportionalCriticalPathSlo,6.18MB,1980311,1906834,0.02973200000000002,1.95
ProportionalCriticalPathSlo,6.18MB,1996411,1941919,0.024296000000000012,1.7
ProportionalCriticalPathSlo,6.18MB,2012511,1942779,0.02415600000000001,2.325
ProportionalCriticalPathSlo,6.18MB,2028611,1942779,0.02415600000000001,2.65
ProportionalCriticalPathSlo,6.18MB,2044711,1978724,0.018580000000000006,2
ProportionalCriticalPathSlo,6.18MB,2060811,1978724,0.018580000000000006,2.375
ProportionalCriticalPathSlo,6.18MB,2076911,1987792,0.018306000000000006,2.125
ProportionalCriticalPathSlo,6.18MB,2093011,1987792,0.018306000000000006,2.225
ProportionalCriticalPathSlo,6.18MB,2109111,1987792,0.018306000000000006,1.55
ProportionalCriticalPathSlo,6.18MB,2125211,1987792,0.018306000000000006,2.075
ProportionalCriticalPathSlo,6.18MB,2141311,1987792,0.018306000000000006,1.375
ProportionalCriticalPathSlo,6.18MB,2157411,1987792,0.018306000000000006,1.4
ProportionalCriticalPathSlo,6.18MB,2173511,1994579,0.017648000000000007,1.3
ProportionalCriticalPathSlo,14.34MB,1046511,1045888,0.14167600000000002,2.8
ProportionalCriticalPathSlo,14.34MB,1062611,1058066,0.14114400000000002,2.025
ProportionalCriticalPathSlo,14.34MB,1078711,1074247,0.14079100000000003,2.2
ProportionalCriticalPathSlo,14.34MB,1094811,1093196,0.14020600000000003,2.625
ProportionalCriticalPathSlo,14.34MB,1110911,1107071,0.139317,2.45
ProportionalCriticalPathSlo,14.34MB,1127011,1121684,0.13933600000000002,2.375
ProportionalCriticalPathSlo,14.34MB,1143111,1136260,0.13715200000000002,2.175
ProportionalCriticalPathSlo,14.34MB,1159211,1143866,0.13655,2.4
ProportionalCriticalPathSlo,14.34MB,1175311,1163609,0.135611,1.775
ProportionalCriticalPathSlo,14.34MB,1191411,1188840,0.134441,2.375
ProportionalCriticalPathSlo,14.34MB,1207511,1197144,0.1338,2.225
ProportionalCriticalPathSlo,14.34MB,1223611,1219093,0.13254200000000002,2.6
ProportionalCriticalPathSlo,14.34MB,1239711,1235711,0.130963,2.95
ProportionalCriticalPathSlo,14.34MB,1255811,1251450,0.130119,3.15
ProportionalCriticalPathSlo,14.34MB,1271911,1268718,0.129167,2.125
ProportionalCriticalPathSlo,14.34MB,1288011,1269011,0.128922,2.95
ProportionalCriticalPathSlo,14.34MB,1304111,1285043,0.127833,2.65
ProportionalCriticalPathSlo,14.34MB,1320211,1302018,0.127126,2.975
ProportionalCriticalPathSlo,14.34MB,1336311,1317757,0.126282,3.275
ProportionalCriticalPathSlo,14.34MB,1352411,1334198,0.125922,3
ProportionalCriticalPathSlo,14.34MB,1368511,1350639,0.125562,2.2
ProportionalCriticalPathSlo,14.34MB,1384611,1382949,0.123932,2.3
ProportionalCriticalPathSlo,14.34MB,1400711,1398688,0.12308799999999999,2.15
ProportionalCriticalPathSlo,14.34MB,1416811,1415653,0.116052,2.45
ProportionalCriticalPathSlo,14.34MB,1432911,1415653,0.116052,2.325
ProportionalCriticalPathSlo,14.34MB,1449011,1446895,0.115116,2.875
ProportionalCriticalPathSlo,14.34MB,1465111,1464833,0.10826600000000002,2.3
ProportionalCriticalPathSlo,14.34MB,1481211,1476567,0.10784900000000003,1.825
ProportionalCriticalPathSlo,14.34MB,1497311,1485704,0.12062300000000002,1.85
ProportionalCriticalPathSlo,14.34MB,1513411,1512856,0.10703400000000005,1.95
ProportionalCriticalPathSlo,14.34MB,1529511,1526525,0.10639400000000003,2.25
ProportionalCriticalPathSlo,14.34MB,1545611,1535662,0.11916800000000002,1.875
ProportionalCriticalPathSlo,14.34MB,1561711,1555535,0.11209500000000003,1.9
ProportionalCriticalPathSlo,14.34MB,1577811,1575408,0.10502200000000003,2.675
ProportionalCriticalPathSlo,14.34MB,1593911,1593544,0.11100000000000003,2.6
ProportionalCriticalPathSlo,14.34MB,1610011,1601510,0.11076000000000004,2.625
ProportionalCriticalPathSlo,14.34MB,1626111,1619770,0.11674000000000002,2.825
ProportionalCriticalPathSlo,14.34MB,1642211,1632752,0.10982400000000003,1.725
ProportionalCriticalPathSlo,14.34MB,1658311,1655344,0.10250300000000004,2.45
ProportionalCriticalPathSlo,14.34MB,1674411,1663870,0.10888600000000002,2.175
ProportionalCriticalPathSlo,14.34MB,1690511,1686462,0.10156500000000003,2.45
ProportionalCriticalPathSlo,14.34MB,1706611,1706374,0.10131400000000003,1.975
ProportionalCriticalPathSlo,14.34MB,1722711,1717704,0.10062900000000002,2.55
ProportionalCriticalPathSlo,14.34MB,1738811,1738590,0.10032100000000002,2.55
ProportionalCriticalPathSlo,14.34MB,1754911,1748992,0.09946300000000002,2.4
ProportionalCriticalPathSlo,14.34MB,1771011,1765471,0.09246900000000002,2
ProportionalCriticalPathSlo,14.34MB,1787111,1780234,0.09852700000000002,2.225
ProportionalCriticalPathSlo,14.34MB,1803211,1796798,0.09141900000000001,1.8
ProportionalCriticalPathSlo,14.34MB,1819311,1811476,0.09759100000000002,2.35
ProportionalCriticalPathSlo,14.34MB,1835411,1828040,0.09048300000000002,2.15
ProportionalCriticalPathSlo,14.34MB,1851511,1842594,0.09665300000000002,2.4
ProportionalCriticalPathSlo,14.34MB,1867611,1859158,0.08954500000000001,2.5
ProportionalCriticalPathSlo,14.34MB,1883711,1872462,0.08264800000000001,1.875
ProportionalCriticalPathSlo,14.34MB,1899811,1892201,0.07544300000000002,2.4
ProportionalCriticalPathSlo,14.34MB,1915911,1905268,0.06841300000000003,2.15
ProportionalCriticalPathSlo,14.34MB,1932011,1905268,0.06841300000000003,2.075
ProportionalCriticalPathSlo,14.34MB,1948111,1929834,0.054879999999999984,1.5
ProportionalCriticalPathSlo,14.34MB,1964211,1931554,0.05459999999999998,1.55
ProportionalCriticalPathSlo,14.34MB,1980311,1943998,0.047842999999999976,2.425
ProportionalCriticalPathSlo,14.34MB,1996411,1956120,0.04106699999999998,2.25
ProportionalCriticalPathSlo,14.34MB,2012511,1969102,0.034150999999999994,2.975
ProportionalCriticalPathSlo,14.34MB,2028611,1978889,0.033623999999999994,2.375
ProportionalCriticalPathSlo,14.34MB,2044711,1992193,0.026727000000000008,1.825
ProportionalCriticalPathSlo,14.34MB,2060811,1992193,0.026727000000000008,1.975
ProportionalCriticalPathSlo,14.34MB,2076911,1992193,0.026727000000000008,2.175
ProportionalCriticalPathSlo,14.34MB,2093011,1992193,0.026727000000000008,2.475
ProportionalCriticalPathSlo,14.34MB,2109111,1992193,0.026727000000000008,2.775
ProportionalCriticalPathSlo,14.34MB,2125211,1992194,0.02672500000000001,2.375
ProportionalCriticalPathSlo,14.34MB,2141311,1992196,0.02672100000000001,2.325
ProportionalCriticalPathSlo,14.34MB,2157411,2000263,0.026474000000000008,2.325
ProportionalCriticalPathSlo,14.34MB,2173511,2008330,0.026227000000000007,1.6
Slam,2.1MB,1046511,429288,0.05358900000000002,0
Slam,2.1MB,1062611,435930,0.05340300000000001,0
Slam,2.1MB,1078711,442572,0.05321700000000002,0
Slam,2.1MB,1094811,449214,0.05303100000000003,0
Slam,2.1MB,1110911,454769,0.05285000000000003,0
Slam,2.1MB,1127011,502617,0.052383000000000006,0
Slam,2.1MB,1143111,550857,0.052077000000000005,0
Slam,2.1MB,1159211,599097,0.051771000000000005,0
Slam,2.1MB,1175311,638875,0.05133200000000001,0
Slam,2.1MB,1191411,687115,0.05102600000000001,0
Slam,2.1MB,1207511,735355,0.05072000000000001,0
Slam,2.1MB,1223611,775133,0.05028100000000001,0
Slam,2.1MB,1239711,809570,0.05019800000000001,0
Slam,2.1MB,1255811,819506,0.047781,0
Slam,2.1MB,1271911,820670,0.04566500000000001,0
Slam,2.1MB,1288011,827187,0.046491000000000005,0.025
Slam,2.1MB,1304111,836955,0.04773,0
Slam,2.1MB,1320211,843467,0.04855600000000001,0
Slam,2.1MB,1336311,849989,0.049382,0
Slam,2.1MB,1352411,856506,0.050208,0
Slam,2.1MB,1368511,871498,0.044071,0
Slam,2.1MB,1384611,871090,0.04274499999999999,0
