strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,2.1MB,100,2041823,0.004281,0.15
Cheapest,6.18MB,100,2541470,0.0053339999999999985,0.25
Cheapest,14.34MB,100,2810608,0.005903999999999998,0.325
Fastest,2.1MB,100,335320,0.05434499999999999,0.1
Fastest,6.18MB,100,728817,0.11928999999999997,0.2
Fastest,14.34MB,100,873490,0.142496,0.25
ProportionalCriticalPathSlo,2.1MB,1046511,913593,0.028555999999999988,0.925
ProportionalCriticalPathSlo,2.1MB,1062611,913593,0.028555999999999988,0.85
ProportionalCriticalPathSlo,2.1MB,1078711,913593,0.028555999999999988,1.025
ProportionalCriticalPathSlo,2.1MB,1094811,913593,0.028555999999999988,1.025
ProportionalCriticalPathSlo,2.1MB,1110911,935302,0.02790499999999999,1
ProportionalCriticalPathSlo,2.1MB,1127011,935302,0.02790499999999999,1.1
ProportionalCriticalPathSlo,2.1MB,1143111,937107,0.02788799999999999,1.35
ProportionalCriticalPathSlo,2.1MB,1159211,958816,0.02723699999999999,1.025
ProportionalCriticalPathSlo,2.1MB,1175311,1061760,0.02581199999999999,0.825
ProportionalCriticalPathSlo,2.1MB,1191411,1063565,0.025794999999999988,0.825
ProportionalCriticalPathSlo,2.1MB,1207511,1063565,0.025794999999999988,1.075
ProportionalCriticalPathSlo,2.1MB,1223611,1085274,0.02514399999999999,0.9
ProportionalCriticalPathSlo,2.1MB,1239711,1087079,0.02512699999999999,0.875
ProportionalCriticalPathSlo,2.1MB,1255811,1097281,0.02511099999999999,0.775
ProportionalCriticalPathSlo,2.1MB,1271911,1118756,0.024471999999999994,0.95
ProportionalCriticalPathSlo,2.1MB,1288011,1119202,0.024446999999999993,0.925
ProportionalCriticalPathSlo,2.1MB,1304111,1121196,0.02441699999999999,0.85
ProportionalCriticalPathSlo,2.1MB,1320211,1185688,0.02408299999999999,0.95
ProportionalCriticalPathSlo,2.1MB,1336311,1189883,0.022499999999999992,0.75
ProportionalCriticalPathSlo,2.1MB,1352411,1189991,0.022418999999999994,0.825
ProportionalCriticalPathSlo,2.1MB,1368511,1189991,0.022418999999999994,0.925
ProportionalCriticalPathSlo,2.1MB,1384611,1189991,0.022418999999999994,1.05
ProportionalCriticalPathSlo,2.1MB,1400711,1189991,0.022418999999999994,1.125
ProportionalCriticalPathSlo,2.1MB,1416811,1254175,0.022112999999999994,0.875
ProportionalCriticalPathSlo,2.1MB,1432911,1256179,0.021996999999999996,1.15
ProportionalCriticalPathSlo,2.1MB,1449011,1268039,0.020572999999999994,0.9
ProportionalCriticalPathSlo,2.1MB,1465111,1268273,0.020560999999999992,0.7
ProportionalCriticalPathSlo,2.1MB,1481211,1278241,0.020556999999999992,0.85
ProportionalCriticalPathSlo,2.1MB,1497311,1278453,0.020543999999999993,1.075
ProportionalCriticalPathSlo,2.1MB,1513411,1278876,0.020518999999999992,1.1
ProportionalCriticalPathSlo,2.1MB,1529511,1343580,0.020171999999999992,0.775
ProportionalCriticalPathSlo,2.1MB,1545611,1346159,0.019997999999999995,0.9
ProportionalCriticalPathSlo,2.1MB,1561711,1348380,0.018466999999999994,0.975
ProportionalCriticalPathSlo,2.1MB,1577811,1362468,0.018424999999999997,1.1
ProportionalCriticalPathSlo,2.1MB,1593911,1376521,0.018317,1.025
ProportionalCriticalPathSlo,2.1MB,1610011,1390737,0.01829,0.825
ProportionalCriticalPathSlo,2.1MB,1626111,1401054,0.018269999999999998,1.15
ProportionalCriticalPathSlo,2.1MB,1642211,1414921,0.018258999999999997,0.825
ProportionalCriticalPathSlo,2.1MB,1658311,1429371,0.018219999999999997,0.75
ProportionalCriticalPathSlo,2.1MB,1674411,1430913,0.018138999999999995,0.55
ProportionalCriticalPathSlo,2.1MB,1690511,1441481,0.018097999999999996,0.975
ProportionalCriticalPathSlo,2.1MB,1706611,1443123,0.017991,1
