scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,1.87439233333333358888
scenario-01,1.0,0.02,2,1.90707955555555574444
scenario-01,1.0,0.03,3,1.92811232098765465308
scenario-01,1.0,0.04,3,1.95373975308642012098
scenario-01,1.0,0.02,1,1.95432098765432114567
scenario-01,1.0,0.03,2,1.96118409876543230000
scenario-01,1.0,0.05,3,1.97712749382716085802
scenario-01,1.0,0.04,2,1.99292376543209895061
scenario-01,1.0,0.06,3,2.01236014814814853333
scenario-01,1.1,0.01,3,2.01610095061728414197
scenario-01,1.0,0.05,2,2.01652927160493840370
scenario-01,1.0,0.03,1,2.02238501234567920864
scenario-01,1.0,0.07,3,2.03006274074074111728
scenario-01,1.0,0.06,2,2.03420891358024704444
scenario-01,1.0,0.08,3,2.05361990123456827407
scenario-01,1.1,0.02,3,2.05722843209876563827
scenario-01,1.0,0.07,2,2.06356101234567912222
scenario-01,1.1,0.01,2,2.06645985185185194567
scenario-01,1.0,0.09,3,2.07424567901234604567
scenario-01,1.0,0.04,1,2.08089676543209897407
scenario-01,1.1,0.01,1,2.08599682716049400617
scenario-01,1.0,0.08,2,2.08739011111111119259
scenario-01,1.0,0.1,3,2.09205740740740778271
scenario-01,1.1,0.02,2,2.09637044444444450493
scenario-01,1.1,0.03,3,2.09783032098765458518
scenario-01,1.0,0.09,2,2.10504562962962969506
scenario-01,1.0,0.05,1,2.11309771604938289753
scenario-01,1.0,0.11,3,2.11537691358024728518
scenario-01,1.0,0.1,2,2.13156623456790128765
scenario-01,1.0,0.12,3,2.13318408641975345061
scenario-01,1.1,0.03,2,2.13427988888888898888
scenario-01,1.1,0.04,3,2.13905458024691390987
scenario-01,1.0,0.11,2,2.14934048148148151975
scenario-01,1.2,0.01,3,2.15324467901234590617
scenario-01,1.0,0.13,3,2.15370739506172875679
scenario-01,1.1,0.02,1,2.15399282716049399876
scenario-01,1.0,0.06,1,2.15400097530864214814
scenario-01,1.1,0.05,3,2.16274214814814849876
scenario-01,1.1,0.04,2,2.16363996296296304444
scenario-01,1.2,0.01,2,2.17182440740740754691
scenario-01,1.0,0.12,2,2.17575449382716051851
scenario-01,1.2,0.01,1,2.17955825925925949012
scenario-01,1.0,0.14,3,2.18003365432098800370
scenario-01,1.1,0.06,3,2.18024654320987688271
scenario-01,1.1,0.05,2,2.18443765432098772839
scenario-01,1.0,0.07,1,2.18960382716049395679
scenario-01,1.1,0.03,1,2.19545780246913600246
