strategy,scenario,sloMs,executionTimeMs,cost
FixedOutputSloCompliant,54.27MB 7s,7000,6994,0.000305
InputHeuristicProportionalCPSlo,54.27MB 7.5s,7500,7071,0.000267
Fastest,95.8MB 11s,11000,9852,0.011198
InputHeuristicProportionalCPSlo,95.8MB 12s,12000,11111,0.000308
InputHeuristicProportionalCPSlo,95.8MB 11s,11000,10881,0.005144
FixedOutputSloCompliant,95.8MB 11s,11000,10079,0.011145
FixedOutputProportionalCPSlo,95.8MB 11s,11000,10881,0.005144
ProportionalSlo,95.8MB 13s,13000,11380,0.000266
InputHeuristicSloCompliant,54.27MB 7s,7000,6994,0.000305
StepConf,95.8MB 11s,11000,11224,0.001957
SLAM,54.27MB 7.5s,7500,6821,0.000235
FixedOutputProportionalCPSlo,2.35MB 1s,1000,540,0.000018999999999999998
SLAM,2.35MB 0.75s,750,-1,-1
SLAM,95.8MB 11s,11000,13777,0.00025499999999999996
InputHeuristicProportionalCPSlo,54.27MB 7s,7000,6726,0.000331
InputHeuristicSloCompliant,54.27MB 7.5s,7500,7166,0.00017099999999999998
SloCompliant,54.27MB 7.5s,7500,6546,0.003639
FixedOutputSloCompliant,2.35MB 0.75s,750,540,0.000018999999999999998
SloCompliant,2.35MB 1s,1000,420,0.000212
Fastest,2.35MB 0.5s,500,399,0.000218
StepConf,54.27MB 8s,8000,7155,0.00020199999999999998
InputHeuristicProportionalCPSlo,2.35MB 1s,1000,435,0.000026
FixedOutputProportionalCPSlo,2.35MB 0.75s,750,540,0.000018999999999999998
SLAM,54.27MB 7s,7000,6821,0.000235
InputHeuristicProportionalCPSlo,2.35MB 0.75s,750,420,0.000212
StepConf,95.8MB 13s,13000,11380,0.000266
ProportionalSlo,2.35MB 0.5s,500,425,0.000026000000000000002
ProportionalSlo,95.8MB 11s,11000,10210,0.005328
Fastest,54.27MB 7s,7000,6051,0.003718
SloCompliant,95.8MB 11s,11000,10079,0.011145
SLAM,54.27MB 8s,8000,7916,0.000239
SLAM,2.35MB 0.5s,500,-1,-1
ProportionalCriticalPathSlo,54.27MB 7s,7000,6930,0.000281
InputHeuristicSloCompliant,54.27MB 8s,8000,7166,0.00017099999999999998
ProportionalSlo,95.8MB 12s,12000,11111,0.000308
SloCompliant,2.35MB 0.5s,500,420,0.000212
StepConf,2.35MB 0.5s,500,409,0.00039600000000000003
ProportionalCriticalPathSlo,2.35MB 0.75s,750,540,0.000018999999999999998
ProportionalCriticalPathSlo,2.35MB 1s,1000,540,0.000018999999999999998
SloCompliant,95.8MB 12s,12000,11977,0.005316
ProportionalCriticalPathSlo,95.8MB 11s,11000,10210,0.005328
SloCompliant,54.27MB 8s,8000,6546,0.003639
ProportionalCriticalPathSlo,2.35MB 0.5s,500,446,0.000019999999999999998
StepConf,54.27MB 7.5s,7500,7071,0.000267
ProportionalCriticalPathSlo,54.27MB 8s,8000,7166,0.00017099999999999998
FixedOutputProportionalCPSlo,95.8MB 13s,13000,11380,0.000266
InputHeuristicSloCompliant,2.35MB 0.75s,750,420,0.000212
ProportionalCriticalPathSlo,54.27MB 7.5s,7500,7166,0.00017099999999999998
ProportionalCriticalPathSlo,95.8MB 13s,13000,11380,0.000266
ProportionalSlo,54.27MB 7.5s,7500,7025,0.000185
ProportionalSlo,54.27MB 7s,7000,6586,0.000335
SloCompliant,2.35MB 0.75s,750,420,0.000212
FixedOutputSloCompliant,95.8MB 12s,12000,11977,0.005316
Cheapest,2.35MB 0.5s,500,540,0.000018999999999999998
ProportionalSlo,2.35MB 0.75s,750,427,0.000024
StepConf,2.35MB 0.75s,750,409,0.00039600000000000003
ProportionalSlo,2.35MB 1s,1000,540,0.000018999999999999998
ProportionalCriticalPathSlo,95.8MB 12s,12000,11111,0.000308
ProportionalSlo,54.27MB 8s,8000,7025,0.000185
FixedOutputSloCompliant,54.27MB 8s,8000,7166,0.00017099999999999998
FixedOutputSloCompliant,54.27MB 7.5s,7500,7166,0.00017099999999999998
SLAM,95.8MB 12s,12000,15544,0.000243
InputHeuristicProportionalCPSlo,95.8MB 13s,13000,11380,0.000266
FixedOutputSloCompliant,95.8MB 13s,13000,12878,0.00029600000000000004
StepConf,95.8MB 12s,12000,11380,0.000266
FixedOutputSloCompliant,2.35MB 1s,1000,540,0.000018999999999999998
SloCompliant,54.27MB 7s,7000,6546,0.003639
