strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,402802,0.032733,0
Cheapest,0.82MB,100,1825407,0.051153000000000004,0
Cheapest,1.24MB,100,1825152,0.05115600000000001,0.1111111111111111
Fastest,0.49MB,100,161399,0.307517,0.1111111111111111
Fastest,0.82MB,100,357201,0.680133,0
Fastest,1.24MB,100,462927,0.8816089999999999,0.1111111111111111
HybridSearch,0.49MB,686440,402802,0.032733,3.3333333333333335
HybridSearch,0.49MB,697880,402802,0.032733,3.7777777777777777
HybridSearch,0.49MB,709320,402802,0.032733,3.2222222222222223
HybridSearch,0.49MB,720760,402802,0.032733,3.3333333333333335
HybridSearch,0.49MB,732200,402802,0.032733,2.4444444444444446
HybridSearch,0.49MB,743640,402802,0.032733,4
HybridSearch,0.49MB,755080,402802,0.032733,3.4444444444444446
HybridSearch,0.49MB,766520,402802,0.032733,3
HybridSearch,0.49MB,777960,402802,0.032733,2.3333333333333335
HybridSearch,0.49MB,789400,402802,0.032733,2.888888888888889
HybridSearch,0.49MB,800840,402802,0.032733,3.6666666666666665
HybridSearch,0.49MB,812280,402802,0.032733,2.6666666666666665
HybridSearch,0.49MB,823720,402802,0.032733,2.888888888888889
HybridSearch,0.49MB,835160,402802,0.032733,3.4444444444444446
HybridSearch,0.49MB,846600,402802,0.032733,2.7777777777777777
HybridSearch,0.49MB,858040,402802,0.032733,3.111111111111111
HybridSearch,0.49MB,869480,402802,0.032733,3
HybridSearch,0.49MB,880920,402802,0.032733,3.5555555555555554
HybridSearch,0.49MB,892360,402802,0.032733,3.7777777777777777
HybridSearch,0.49MB,903800,402802,0.032733,3.4444444444444446
HybridSearch,0.49MB,915240,402802,0.032733,2.7777777777777777
HybridSearch,0.49MB,926680,402802,0.032733,3.4444444444444446
HybridSearch,0.49MB,938120,402802,0.032733,2.888888888888889
HybridSearch,0.49MB,949560,402802,0.032733,3.3333333333333335
HybridSearch,0.49MB,961000,402802,0.032733,3.7777777777777777
HybridSearch,0.49MB,972440,402802,0.032733,2.5555555555555554
HybridSearch,0.49MB,983880,402802,0.032733,4.222222222222222
HybridSearch,0.49MB,995320,402802,0.032733,2.888888888888889
HybridSearch,0.49MB,1006760,402802,0.032733,3.5555555555555554
HybridSearch,0.49MB,1018200,402802,0.032733,3
HybridSearch,0.49MB,1029640,402802,0.032733,3
