scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.03,3,.03035397530864197422
scenario-01,1.0,0.05,3,.03097113580246913500
scenario-01,1.0,0.04,3,.03107385185185185108
scenario-01,1.0,0.06,3,.03139866666666666591
scenario-01,1.0,0.07,3,.03189397530864197453
scenario-01,1.0,0.04,2,.03212069135802469023
scenario-01,1.0,0.03,2,.03215795061728394924
scenario-01,1.0,0.08,3,.03221101234567901161
scenario-01,1.0,0.02,3,.03223708641975308561
scenario-01,1.0,0.09,3,.03254459259259259202
scenario-01,1.0,0.1,3,.03268335802469135755
scenario-01,1.0,0.05,2,.03274255555555555429
scenario-01,1.0,0.11,3,.03275274074074074030
scenario-01,1.0,0.12,3,.03280397530864197491
scenario-01,1.0,0.13,3,.03294113580246913544
scenario-01,1.0,0.14,3,.03300891358024691314
scenario-01,1.0,0.15,3,.03318076543209876503
scenario-01,1.0,0.16,3,.03324854320987654281
scenario-01,1.0,0.17,3,.03329817283950617244
scenario-01,1.0,0.18,3,.03333125925925925886
scenario-01,1.0,0.19,3,.03339743209876543162
scenario-01,1.0,0.2,3,.03346360493827160443
scenario-01,1.0,0.06,2,.03355396296296296188
scenario-01,1.0,0.07,2,.03459340740740740634
scenario-01,1.0,0.02,2,.03545967901234567783
scenario-01,1.0,0.08,2,.03578358024691357916
scenario-01,1.1,0.03,3,.03628913580246913665
scenario-01,1.1,0.02,3,.03635703703703703764
scenario-01,1.1,0.04,3,.03655654320987654400
scenario-01,1.0,0.09,2,.03658745679012345564
scenario-01,1.1,0.05,3,.03684049382716049451
scenario-01,1.0,0.1,2,.03700683950617283841
scenario-01,1.1,0.06,3,.03714098765432098817
scenario-01,1.1,0.07,3,.03733580246913580302
scenario-01,1.0,0.11,2,.03742622222222222116
scenario-01,1.1,0.08,3,.03747617283950617341
scenario-01,1.0,0.02,1,.03768196296296296202
scenario-01,1.1,0.09,3,.03772061728395061796
scenario-01,1.1,0.1,3,.03791382716049382792
scenario-01,1.1,0.11,3,.03796185185185185261
scenario-01,1.0,0.03,1,.03796803703703703632
scenario-01,1.1,0.12,3,.03804777777777777858
scenario-01,1.0,0.12,2,.03810162962962962883
scenario-01,1.1,0.13,3,.03811395061728395145
scenario-01,1.1,0.14,3,.03816518518518518602
scenario-01,1.1,0.15,3,.03828419753086419832
scenario-01,1.0,0.13,2,.03832966666666666592
scenario-01,1.1,0.16,3,.03835037037037037108
scenario-01,1.1,0.17,3,.03843469135802469211
