strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,2.1MB,100,3195940,0.25960700000000014,0.025
Cheapest,6.18MB,100,9988540,0.4055,0
Cheapest,14.25MB,100,9988490,0.40549599999999986,0
Fastest,2.1MB,100,1255277,2.3929909999999994,0.025
Fastest,6.18MB,100,2842200,5.410526000000002,0
Fastest,14.25MB,100,3442171,6.557466000000002,0.025
HybridSearch,2.1MB,3442191,3195940,0.25960700000000014,2.35
HybridSearch,2.1MB,3499560,3195940,0.25960700000000014,2
HybridSearch,2.1MB,3556929,3195940,0.25960700000000014,2.35
HybridSearch,2.1MB,3614298,3195940,0.25960700000000014,2.175
HybridSearch,2.1MB,3671667,3195940,0.25960700000000014,2.55
HybridSearch,2.1MB,3729036,3195940,0.25960700000000014,2.275
HybridSearch,2.1MB,3786405,3195940,0.25960700000000014,2.275
HybridSearch,2.1MB,3843774,3195940,0.25960700000000014,2.425
HybridSearch,2.1MB,3901143,3195940,0.25960700000000014,3.5
HybridSearch,2.1MB,3958512,3195940,0.25960700000000014,2.075
HybridSearch,2.1MB,4015881,3195940,0.25960700000000014,2.375
HybridSearch,2.1MB,4073250,3195940,0.25960700000000014,2.475
HybridSearch,2.1MB,4130619,3195940,0.25960700000000014,2.2
HybridSearch,2.1MB,4187988,3195940,0.25960700000000014,2.475
HybridSearch,2.1MB,4245357,3195940,0.25960700000000014,2.3
HybridSearch,2.1MB,4302726,3195940,0.25960700000000014,2.4
HybridSearch,2.1MB,4360095,3195940,0.25960700000000014,2.125
HybridSearch,2.1MB,4417464,3195940,0.25960700000000014,2.35
HybridSearch,2.1MB,4474833,3195940,0.25960700000000014,2.15
HybridSearch,2.1MB,4532202,3195940,0.25960700000000014,2.3
HybridSearch,2.1MB,4589571,3195940,0.25960700000000014,2.325
HybridSearch,2.1MB,4646940,3195940,0.25960700000000014,2.175
HybridSearch,2.1MB,4704309,3195940,0.25960700000000014,2.125
HybridSearch,2.1MB,4761678,3195940,0.25960700000000014,2.45
HybridSearch,2.1MB,4819047,3195940,0.25960700000000014,2.275
HybridSearch,2.1MB,4876416,3195940,0.25960700000000014,2.25
HybridSearch,2.1MB,4933785,3195940,0.25960700000000014,2.15
HybridSearch,2.1MB,4991154,3195940,0.25960700000000014,2.725
HybridSearch,2.1MB,5048523,3195940,0.25960700000000014,2.525
HybridSearch,2.1MB,5105892,3195940,0.25960700000000014,2.75
