strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,373616,0.00078,0.225
Cheapest,0.82MB,100,1004284,0.0021100000000000003,0.2
Cheapest,1.54MB,100,1274061,0.00268,0.225
Fastest,0.49MB,100,60084,0.009191999999999999,0.125
Fastest,0.82MB,100,156858,0.024299999999999995,0.175
Fastest,1.54MB,100,200873,0.030796999999999998,0.2
ProportionalCriticalPathSlo,0.49MB,0.011849175,65424,0.00879,1.55
ProportionalCriticalPathSlo,0.49MB,0.01203147,65424,0.00879,1.15
ProportionalCriticalPathSlo,0.49MB,0.012213765,65424,0.00879,0.975
ProportionalCriticalPathSlo,0.49MB,0.01239606,65424,0.00879,0.8
ProportionalCriticalPathSlo,0.49MB,0.012578355,65424,0.00879,1
ProportionalCriticalPathSlo,0.49MB,0.01276065,65424,0.00879,1.15
ProportionalCriticalPathSlo,0.49MB,0.012942944999999999,63681,0.008967,0.9
ProportionalCriticalPathSlo,0.49MB,0.01312524,63565,0.008976,1.05
ProportionalCriticalPathSlo,0.49MB,0.013307535,61772,0.009156,1
ProportionalCriticalPathSlo,0.49MB,0.01348983,60903,0.00917,2.05
ProportionalCriticalPathSlo,0.49MB,0.013672125,60092,0.009184999999999999,0.9
ProportionalCriticalPathSlo,0.49MB,0.01385442,60084,0.009191999999999999,0.95
ProportionalCriticalPathSlo,0.49MB,0.014036715,60084,0.009191999999999999,1.05
ProportionalCriticalPathSlo,0.49MB,0.014219009999999999,60084,0.009191999999999999,0.85
ProportionalCriticalPathSlo,0.49MB,0.014401305,60084,0.009191999999999999,0.825
ProportionalCriticalPathSlo,0.49MB,0.0145836,60084,0.009191999999999999,0.7
ProportionalCriticalPathSlo,0.49MB,0.014765895,60084,0.009191999999999999,1
ProportionalCriticalPathSlo,0.49MB,0.01494819,60084,0.009191999999999999,1.125
ProportionalCriticalPathSlo,0.49MB,0.015130484999999999,60084,0.009191999999999999,0.85
ProportionalCriticalPathSlo,0.49MB,0.01531278,60084,0.009191999999999999,0.775
ProportionalCriticalPathSlo,0.49MB,0.015495075,60084,0.009191999999999999,0.925
ProportionalCriticalPathSlo,0.49MB,0.01567737,60084,0.009191999999999999,0.775
ProportionalCriticalPathSlo,0.49MB,0.015859665,60084,0.009191999999999999,0.6
