strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,373616,0.00078,0.375
Cheapest,0.82MB,100,1004284,0.0021100000000000003,0.25
Cheapest,1.54MB,100,1274061,0.00268,0.325
Fastest,0.49MB,100,60084,0.009191999999999999,0.425
Fastest,0.82MB,100,156858,0.024299999999999995,0.3
Fastest,1.54MB,100,200873,0.030796999999999998,0.3
ProportionalCriticalPathSlo,0.49MB,267135,256466,0.004170000000000002,1.325
ProportionalCriticalPathSlo,0.49MB,271586,258602,0.003961000000000001,1.225
ProportionalCriticalPathSlo,0.49MB,276037,275064,0.003781,1.15
ProportionalCriticalPathSlo,0.49MB,280488,277027,0.0036350000000000006,1.325
ProportionalCriticalPathSlo,0.49MB,284939,280090,0.0032890000000000003,1.2
ProportionalCriticalPathSlo,0.49MB,289390,282218,0.0024129999999999998,1.025
ProportionalCriticalPathSlo,0.49MB,293841,289237,0.003396,1.075
ProportionalCriticalPathSlo,0.49MB,298292,292004,0.0027320000000000005,1.425
ProportionalCriticalPathSlo,0.49MB,302743,292632,0.0023840000000000003,1.25
ProportionalCriticalPathSlo,0.49MB,307194,292986,0.002357,1.275
ProportionalCriticalPathSlo,0.49MB,311645,306270,0.002514,0.875
ProportionalCriticalPathSlo,0.49MB,316096,307960,0.002251,1.5
ProportionalCriticalPathSlo,0.49MB,320547,309016,0.002089,1.2
ProportionalCriticalPathSlo,0.49MB,324998,309552,0.001928000000000001,1.05
ProportionalCriticalPathSlo,0.49MB,329449,321935,0.0021590000000000003,1.175
ProportionalCriticalPathSlo,0.49MB,333900,323042,0.002083,1.525
ProportionalCriticalPathSlo,0.49MB,338351,324346,0.0019110000000000008,1.2
ProportionalCriticalPathSlo,0.49MB,342802,325032,0.0018020000000000009,1.325
ProportionalCriticalPathSlo,0.49MB,347253,325568,0.001641000000000001,1.3
ProportionalCriticalPathSlo,0.49MB,351704,338338,0.001953000000000001,1.225
ProportionalCriticalPathSlo,0.49MB,356155,339374,0.0017780000000000007,1.25
ProportionalCriticalPathSlo,0.49MB,360606,340493,0.0016510000000000008,2.225
ProportionalCriticalPathSlo,0.49MB,365057,341048,0.001515000000000001,0.9
