strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,246592,0.020036,0
Cheapest,0.82MB,100,4485908,0.029139999999999992,0
Cheapest,1.54MB,100,4486344,0.029141999999999994,0
Fastest,0.49MB,100,97748,0.186708,0.05
Fastest,0.82MB,100,262320,0.49900999999999984,0
Fastest,1.54MB,100,321627,0.6112029999999999,0.05
HybridSearch,0.49MB,1442426,246592,0.020036,3.675
HybridSearch,0.49MB,1466465,246592,0.020036,3.775
HybridSearch,0.49MB,1490504,246592,0.020036,3.775
HybridSearch,0.49MB,1514543,246592,0.020036,3.85
HybridSearch,0.49MB,1538582,246592,0.020036,3.825
HybridSearch,0.49MB,1562621,246592,0.020036,3.725
HybridSearch,0.49MB,1586660,246592,0.020036,3.85
HybridSearch,0.49MB,1610699,246592,0.020036,3.925
HybridSearch,0.49MB,1634738,246592,0.020036,3.975
HybridSearch,0.49MB,1658777,246592,0.020036,4.05
HybridSearch,0.49MB,1682816,246592,0.020036,3.8
HybridSearch,0.49MB,1706855,246592,0.020036,3.825
HybridSearch,0.49MB,1730894,246592,0.020036,3.925
HybridSearch,0.49MB,1754933,246592,0.020036,4.25
HybridSearch,0.49MB,1778972,246592,0.020036,4.025
HybridSearch,0.49MB,1803011,246592,0.020036,3.95
HybridSearch,0.49MB,1827050,246592,0.020036,4
HybridSearch,0.49MB,1851089,246592,0.020036,4.025
HybridSearch,0.49MB,1875128,246592,0.020036,4.2
HybridSearch,0.49MB,1899167,246592,0.020036,3.975
HybridSearch,0.49MB,1923206,246592,0.020036,4.15
HybridSearch,0.49MB,1947245,246592,0.020036,4.1
HybridSearch,0.49MB,1971284,246592,0.020036,3.85
HybridSearch,0.49MB,1995323,246592,0.020036,4.575
HybridSearch,0.49MB,2019362,246592,0.020036,4.125
HybridSearch,0.49MB,2043401,246592,0.020036,4.85
HybridSearch,0.49MB,2067440,246592,0.020036,3.95
HybridSearch,0.49MB,2091479,246592,0.020036,3.975
HybridSearch,0.49MB,2115518,246592,0.020036,4.525
HybridSearch,0.49MB,2139557,246592,0.020036,3.9
HybridSearch,0.49MB,2163596,246592,0.020036,4.475
HybridSearch,0.49MB,2187635,246592,0.020036,4.025
HybridSearch,0.49MB,2211674,246592,0.020036,3.925
HybridSearch,0.49MB,2235713,246592,0.020036,5
HybridSearch,0.49MB,2259752,246592,0.020036,4.125
HybridSearch,0.49MB,2283791,246592,0.020036,4.175
HybridSearch,0.49MB,2307830,246592,0.020036,4
HybridSearch,0.49MB,2331869,246592,0.020036,4
HybridSearch,0.49MB,2355908,246592,0.020036,4.025
HybridSearch,0.49MB,2379947,246592,0.020036,6.65
HybridSearch,0.49MB,2403986,246592,0.020036,4.375
HybridSearch,0.49MB,2428025,246592,0.020036,4.5
HybridSearch,0.49MB,2452064,246592,0.020036,4.125
HybridSearch,0.49MB,2476103,246592,0.020036,5.8
HybridSearch,0.49MB,2500142,246592,0.020036,4.025
HybridSearch,0.49MB,2524181,246592,0.020036,4.175
HybridSearch,0.49MB,2548220,246592,0.020036,4.075
HybridSearch,0.49MB,2572259,246592,0.020036,3.95
HybridSearch,0.49MB,2596298,246592,0.020036,4.1
HybridSearch,0.49MB,2620337,246592,0.020036,4.025
HybridSearch,0.49MB,2644376,246592,0.020036,4.2
HybridSearch,0.49MB,2668415,246592,0.020036,4.15
HybridSearch,0.49MB,2692454,246592,0.020036,4.325
HybridSearch,0.49MB,2716493,246592,0.020036,4.025
HybridSearch,0.49MB,2740532,246592,0.020036,4.075
HybridSearch,0.49MB,2764571,246592,0.020036,4.1
HybridSearch,0.49MB,2788610,246592,0.020036,4.75
HybridSearch,0.49MB,2812649,246592,0.020036,4.225
HybridSearch,0.49MB,2836688,246592,0.020036,4.075
HybridSearch,0.49MB,2860727,246592,0.020036,4.25
HybridSearch,0.49MB,2884766,246592,0.020036,4.2
HybridSearch,0.49MB,2908805,246592,0.020036,4.2
HybridSearch,0.49MB,2932844,246592,0.020036,4.075
HybridSearch,0.49MB,2956883,246592,0.020036,4.35
HybridSearch,0.49MB,2980922,246592,0.020036,4.125
HybridSearch,0.49MB,3004961,246592,0.020036,4.025
HybridSearch,0.49MB,3029000,246592,0.020036,4.075
HybridSearch,0.49MB,3053039,246592,0.020036,4.125
HybridSearch,0.49MB,3077078,246592,0.020036,4.1
HybridSearch,0.49MB,3101117,246592,0.020036,4.1
HybridSearch,0.49MB,3125156,246592,0.020036,4.15
HybridSearch,0.49MB,3149195,246592,0.020036,4.35
HybridSearch,0.49MB,3173234,246592,0.020036,4
HybridSearch,0.49MB,3197273,246592,0.020036,4.65
HybridSearch,0.49MB,3221312,246592,0.020036,4.45
HybridSearch,0.49MB,3245351,246592,0.020036,4.05
HybridSearch,0.49MB,3269390,246592,0.020036,3.9
HybridSearch,0.49MB,3293429,246592,0.020036,4.175
HybridSearch,0.49MB,3317468,246592,0.020036,4
HybridSearch,0.49MB,3341507,246592,0.020036,4.1
HybridSearch,0.49MB,3365546,246592,0.020036,4.325
HybridSearch,0.82MB,1442426,1421883,0.04834300000000002,4.325
HybridSearch,0.82MB,1466465,1421883,0.04834300000000002,4.4
HybridSearch,0.82MB,1490504,1439900,0.049804000000000015,6.725
HybridSearch,0.82MB,1514543,1439900,0.049804000000000015,3.95
HybridSearch,0.82MB,1538582,1439900,0.049804000000000015,4.375
HybridSearch,0.82MB,1562621,1421883,0.04834300000000002,4.075
HybridSearch,0.82MB,1586660,1421883,0.04834300000000002,3.925
HybridSearch,0.82MB,1610699,1439900,0.049804000000000015,4.025
HybridSearch,0.82MB,1634738,1621267,0.04778200000000002,3.7
HybridSearch,0.82MB,1658777,1621267,0.04778200000000001,3.975
HybridSearch,0.82MB,1682816,1621267,0.04778200000000002,4.5
HybridSearch,0.82MB,1706855,1621267,0.04778200000000002,3.85
HybridSearch,0.82MB,1730894,1621267,0.04778200000000002,4.05
HybridSearch,0.82MB,1754933,1621267,0.04778200000000002,3.95
HybridSearch,0.82MB,1778972,1621267,0.04778200000000002,3.95
HybridSearch,0.82MB,1803011,1802634,0.04576000000000002,3.825
HybridSearch,0.82MB,1827050,1802634,0.04576000000000002,4.325
HybridSearch,0.82MB,1851089,1802634,0.04576000000000001,4.75
HybridSearch,0.82MB,1875128,1820651,0.04722100000000001,4.4
HybridSearch,0.82MB,1899167,1820651,0.04722100000000001,4.8
HybridSearch,0.82MB,1923206,1820651,0.04722100000000001,4.775
HybridSearch,0.82MB,1947245,1802634,0.04576000000000002,4.075
HybridSearch,0.82MB,1971284,1802634,0.04576000000000002,4.675
HybridSearch,0.82MB,1995323,1802634,0.04576000000000002,4.025
HybridSearch,0.82MB,2019362,2002018,0.045199000000000024,4.8
HybridSearch,0.82MB,2043401,2002018,0.045199000000000024,4.125
HybridSearch,0.82MB,2067440,2002018,0.04519900000000001,4.1
HybridSearch,0.82MB,2091479,2002018,0.04519900000000002,4.1
HybridSearch,0.82MB,2115518,2002018,0.04519900000000002,4
HybridSearch,0.82MB,2139557,2002018,0.045199000000000024,4.5
HybridSearch,0.82MB,2163596,2002018,0.045199000000000024,4.225
HybridSearch,0.82MB,2187635,2183385,0.04317700000000003,4.525
HybridSearch,0.82MB,2211674,2183385,0.04317700000000003,3.975
HybridSearch,0.82MB,2235713,2183385,0.04317700000000003,4
HybridSearch,0.82MB,2259752,2183385,0.04317700000000001,4.325
HybridSearch,0.82MB,2283791,2183385,0.043177000000000014,9.15
HybridSearch,0.82MB,2307830,2183385,0.04317700000000002,4.225
HybridSearch,0.82MB,2331869,2183385,0.04317700000000003,5.425
HybridSearch,0.82MB,2355908,2183385,0.04317700000000003,9.225
HybridSearch,0.82MB,2379947,2183385,0.04317700000000003,5.075
HybridSearch,0.82MB,2403986,2382769,0.04261600000000002,4.525
HybridSearch,0.82MB,2428025,2382769,0.04261600000000002,4.025
HybridSearch,0.82MB,2452064,2382769,0.042616,4.275
HybridSearch,0.82MB,2476103,2364752,0.04115500000000001,4.475
HybridSearch,0.82MB,2500142,2364752,0.04115500000000002,4.175
HybridSearch,0.82MB,2524181,2382769,0.04261600000000002,4.575
HybridSearch,0.82MB,2548220,2382769,0.04261600000000002,4.45
HybridSearch,0.82MB,2572259,2564136,0.04059400000000002,4.35
HybridSearch,0.82MB,2596298,2564136,0.04059400000000002,5.05
HybridSearch,0.82MB,2620337,2564136,0.04059400000000002,4.05
HybridSearch,0.82MB,2644376,2564136,0.04059400000000002,5.7
HybridSearch,0.82MB,2668415,2564136,0.040594000000000005,4.125
HybridSearch,0.82MB,2692454,2564136,0.04059400000000002,4.325
HybridSearch,0.82MB,2716493,2564136,0.04059400000000002,4.125
HybridSearch,0.82MB,2740532,2564136,0.04059400000000002,4.8
HybridSearch,0.82MB,2764571,2745503,0.038572000000000016,4.4
HybridSearch,0.82MB,2788610,2745503,0.038572000000000016,5
HybridSearch,0.82MB,2812649,2745503,0.038572000000000016,4.3
HybridSearch,0.82MB,2836688,2745503,0.038572000000000016,4.275
HybridSearch,0.82MB,2860727,2745503,0.03857200000000001,4.275
HybridSearch,0.82MB,2884766,2763520,0.040033000000000006,4
HybridSearch,0.82MB,2908805,2745503,0.038572000000000016,4.875
HybridSearch,0.82MB,2932844,2745503,0.038572000000000016,4.475
HybridSearch,0.82MB,2956883,2944887,0.03801100000000001,4.25
HybridSearch,0.82MB,2980922,2944887,0.03801100000000001,4.675
HybridSearch,0.82MB,3004961,2944887,0.03801100000000001,4.25
HybridSearch,0.82MB,3029000,2944887,0.03801100000000001,4.225
HybridSearch,0.82MB,3053039,2944887,0.038010999999999996,4.1
HybridSearch,0.82MB,3077078,2944887,0.03801100000000001,4.375
HybridSearch,0.82MB,3101117,2944887,0.03801100000000001,4.25
HybridSearch,0.82MB,3125156,2944887,0.03801100000000001,4.125
HybridSearch,0.82MB,3149195,3144271,0.03745000000000001,4.575
HybridSearch,0.82MB,3173234,3144271,0.03745000000000001,4.875
HybridSearch,0.82MB,3197273,3144271,0.03745000000000001,4.175
HybridSearch,0.82MB,3221312,3144271,0.03745000000000001,4.525
HybridSearch,0.82MB,3245351,3144271,0.03745000000000001,4.225
HybridSearch,0.82MB,3269390,3144271,0.03745000000000001,4.175
HybridSearch,0.82MB,3293429,3144271,0.03745000000000001,4.2
HybridSearch,0.82MB,3317468,3144271,0.03745000000000001,5.125
HybridSearch,0.82MB,3341507,3325638,0.035428,4.775
HybridSearch,0.82MB,3365546,3325638,0.035428,5.15
HybridSearch,1.54MB,1442426,1332402,0.057802000000000006,4.45
HybridSearch,1.54MB,1466465,1332402,0.057802000000000006,5.7
HybridSearch,1.54MB,1490504,1332402,0.057802000000000006,6.075
HybridSearch,1.54MB,1514543,1501039,0.07880200000000001,5.15
HybridSearch,1.54MB,1538582,1522192,0.05646200000000001,4.725
HybridSearch,1.54MB,1562621,1522192,0.05646200000000001,7.2
HybridSearch,1.54MB,1586660,1522192,0.05646200000000001,4.9
HybridSearch,1.54MB,1610699,1504070,0.054992000000000006,4.225
HybridSearch,1.54MB,1634738,1522192,0.05646200000000001,4.775
HybridSearch,1.54MB,1658777,1522192,0.05646200000000001,4.3
HybridSearch,1.54MB,1682816,1504070,0.054992000000000006,6.1
HybridSearch,1.54MB,1706855,1680678,0.09122400000000001,4.325
