scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.02,1,-1
scenario-01,1.0,0.03,1,-1
scenario-01,1.0,0.04,1,-1
scenario-01,1.0,0.05,1,-1
scenario-01,1.0,0.06,1,-1
scenario-01,1.0,0.07,1,-1
scenario-01,1.0,0.08,1,-1
scenario-01,1.0,0.09,1,-1
scenario-01,1.0,0.1,1,-1
scenario-01,1.0,0.11,1,-1
scenario-01,1.1,0.01,1,-1
scenario-01,1.1,0.02,1,-1
scenario-01,1.1,0.03,1,-1
scenario-01,1.1,0.04,1,-1
scenario-01,1.1,0.05,1,-1
scenario-01,1.1,0.06,1,-1
scenario-01,1.1,0.07,1,-1
scenario-01,1.1,0.08,1,-1
scenario-01,1.2,0.01,1,-1
scenario-01,1.2,0.02,1,-1
scenario-01,1.2,0.03,1,-1
scenario-01,1.2,0.04,1,-1
scenario-01,1.2,0.05,1,-1
scenario-01,1.3,0.01,1,-1
scenario-01,1.3,0.02,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.02,2,-1
scenario-01,1.0,0.03,2,-1
scenario-01,1.0,0.04,2,-1
scenario-01,1.0,0.05,2,-1
scenario-01,1.0,0.06,2,-1
scenario-01,1.0,0.07,2,-1
scenario-01,1.0,0.08,2,-1
scenario-01,1.0,0.09,2,-1
scenario-01,1.0,0.1,2,-1
scenario-01,1.0,0.11,2,-1
scenario-01,1.1,0.01,2,-1
scenario-01,1.1,0.02,2,-1
scenario-01,1.1,0.03,2,-1
scenario-01,1.1,0.04,2,-1
scenario-01,1.1,0.05,2,-1
scenario-01,1.1,0.06,2,-1
scenario-01,1.1,0.07,2,-1
scenario-01,1.1,0.08,2,-1
scenario-01,1.2,0.01,2,-1
scenario-01,1.2,0.02,2,-1
scenario-01,1.2,0.03,2,-1
scenario-01,1.2,0.04,2,-1
scenario-01,1.2,0.05,2,-1
scenario-01,1.3,0.01,2,-1
scenario-01,1.3,0.02,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,-1
scenario-01,1.0,0.03,3,-1
scenario-01,1.0,0.04,3,-1
scenario-01,1.0,0.05,3,-1
scenario-01,1.0,0.06,3,-1
scenario-01,1.0,0.07,3,-1
scenario-01,1.0,0.08,3,-1
scenario-01,1.0,0.09,3,-1
scenario-01,1.0,0.1,3,-1
scenario-01,1.0,0.11,3,-1
scenario-01,1.1,0.01,3,-1
scenario-01,1.1,0.02,3,-1
scenario-01,1.1,0.03,3,-1
scenario-01,1.1,0.04,3,-1
scenario-01,1.1,0.05,3,-1
scenario-01,1.1,0.06,3,-1
scenario-01,1.1,0.07,3,-1
scenario-01,1.1,0.08,3,-1
scenario-01,1.2,0.01,3,-1
scenario-01,1.2,0.02,3,-1
scenario-01,1.2,0.03,3,-1
scenario-01,1.2,0.04,3,-1
scenario-01,1.2,0.05,3,-1
scenario-01,1.3,0.01,3,-1
scenario-01,1.3,0.02,3,-1
scenario-01,1.0,0.12,3,.38985367901234566987
scenario-01,1.0,0.13,3,.39286296296296295222
scenario-01,1.0,0.14,3,.39879881481481480320
scenario-01,1.1,0.12,3,.40696540740740739358
scenario-01,1.0,0.15,3,.40767777777777776654
scenario-01,1.4,0.07,2,.40983020987654320333
scenario-01,1.1,0.11,3,.40985888888888887950
scenario-01,1.1,0.1,3,.41267656790123456172
scenario-01,1.1,0.13,3,.41290125925925924296
scenario-01,1.4,0.08,2,.41567376543209875696
scenario-01,1.4,0.06,2,.41656693827160492903
scenario-01,1.4,0.09,2,.41861181481481480795
scenario-01,1.1,0.14,3,.41885365432098763679
scenario-01,1.3,0.07,2,.41918009876543208990
scenario-01,1.0,0.16,3,.41953293827160492740
scenario-01,1.4,0.1,2,.42173391358024690580
scenario-01,1.4,0.08,3,.42216249382716048498
scenario-01,1.3,0.07,3,.42225069135802468066
scenario-01,1.3,0.06,3,.42241069135802468079
scenario-01,1.3,0.06,2,.42245370370370369338
scenario-01,2.0,0.03,2,.42328864197530861666
scenario-01,1.4,0.05,2,.42335765432098764639
scenario-01,2.0,0.04,2,.42342401234567898691
scenario-01,1.1,0.09,3,.42434493827160493567
scenario-01,1.5,0.07,2,.42483188888888887466
scenario-01,1.3,0.08,2,.42499658024691357138
scenario-01,1.4,0.07,3,.42500634567901233888
scenario-01,1.4,0.06,3,.42545869135802468382
scenario-01,1.0,0.17,3,.42548533333333332246
scenario-01,2.0,0.01,3,.42591437037037034691
scenario-01,2.0,0.01,2,.42597755555555553209
scenario-01,2.0,0.02,2,.42611292592592590061
scenario-01,1.4,0.09,3,.42821414814814814000
scenario-01,1.3,0.08,3,.42830234567901233419
scenario-01,1.5,0.09,3,.42889175308641973701
scenario-01,2.0,0.05,2,.42942454320987651925
scenario-01,1.4,0.04,2,.42993708641975307980
scenario-01,1.3,0.09,2,.43084013580246912693
scenario-01,1.5,0.06,2,.43088109876543208330
scenario-01,1.5,0.08,3,.43171906172839504449
scenario-01,1.9,0.04,3,.43189185185185182777
scenario-01,2.0,0.02,3,.43191639506172837000
scenario-01,2.0,0.01,1,.43191730864197528530
scenario-01,2.0,0.03,3,.43198256790123454283
scenario-01,1.5,0.08,2,.43360802469135801306
scenario-01,1.0,0.18,3,.43436429629629628543
scenario-01,1.4,0.05,3,.43473555555555554859
scenario-01,1.9,0.03,3,.43478533333333330925
scenario-01,2.0,0.04,3,.43502493827160491333
scenario-01,2.0,0.02,1,.43505985185185182691
scenario-01,2.0,0.05,3,.43507456790123454419
scenario-01,2.0,0.03,1,.43518177777777775283
scenario-01,1.3,0.05,2,.43524479012345678103
scenario-01,1.2,0.11,3,.43526483950617282246
scenario-01,2.0,0.04,1,.43533418518518516024
scenario-01,2.0,0.05,1,.43542562962962960592
scenario-01,1.4,0.03,2,.43651677777777776975
scenario-01,1.1,0.15,3,.43661158024691356222
scenario-01,1.4,0.11,2,.43661340740740740212
scenario-01,1.5,0.09,2,.43681134567901233664
scenario-01,1.4,0.1,3,.43719237037037036088
scenario-01,1.3,0.05,3,.43763513580246912683
scenario-01,1.9,0.02,3,.43793807407407405000
scenario-01,2.0,0.06,2,.43806530864197528271
scenario-01,1.9,0.04,2,.43815565432098763037
scenario-01,1.3,0.1,2,.43980032098765431335
scenario-01,1.3,0.09,3,.44024022222222220888
scenario-01,1.0,0.19,3,.44028360493827159407
scenario-01,1.5,0.07,3,.44048222222222220469
scenario-01,1.5,0.1,3,.44079654320987652750
scenario-01,2.0,0.06,3,.44102696296296293716
scenario-01,1.2,0.1,3,.44105180246913578740
scenario-01,1.9,0.01,3,.44109081481481479061
scenario-01,1.4,0.04,3,.44111412345679011644
scenario-01,2.0,0.06,1,.44114403703703701123
scenario-01,1.4,0.03,3,.44185872839506171980
scenario-01,1.4,0.02,2,.44272296296296295580
scenario-01,1.5,0.06,3,.44337570370370368703
scenario-01,2.0,0.07,1,.44370188888888886135
scenario-01,2.0,0.08,1,.44382381481481478765
scenario-01,1.9,0.1,1,.44385446913580244555
scenario-01,1.9,0.03,2,.44391251851851849456
scenario-01,2.0,0.09,1,.44394574074074071234
scenario-01,1.5,0.05,2,.44414874074074072424
scenario-01,1.9,0.05,2,.44415618518518516000
scenario-01,1.2,0.12,3,.44419343209876541419
scenario-01,1.3,0.04,2,.44523319753086418861
scenario-01,1.0,0.2,3,.44620291358024690271
scenario-01,1.3,0.11,3,.44637459259259257382
scenario-01,1.3,0.12,3,.44645730864197528950
scenario-01,1.9,0.09,1,.44669219753086417271
scenario-01,1.2,0.09,3,.44683876543209875197
scenario-01,1.9,0.11,1,.44690556790123454555
scenario-01,1.9,0.12,1,.44693604938271602703
scenario-01,1.9,0.13,1,.44693604938271602703
scenario-01,1.9,0.14,1,.44696653086419750851
scenario-01,1.9,0.02,2,.44697499999999997604
scenario-01,2.0,0.1,1,.44699683950617281111
scenario-01,1.9,0.04,1,.44719098765432096370
scenario-01,1.5,0.04,2,.44753032098765430320
scenario-01,1.1,0.16,3,.44845019753086418024
scenario-01,1.3,0.11,2,.44873343209876542441
scenario-01,1.3,0.1,3,.44925153086419751283
scenario-01,1.9,0.08,1,.44952992592592590111
scenario-01,1.9,0.05,3,.44969940740740738222
scenario-01,2.0,0.07,2,.44971987654320984901
scenario-01,1.9,0.15,1,.44992618518518516283
scenario-01,1.9,0.03,1,.44996775308641972913
scenario-01,2.0,0.07,3,.44997209876543207123
scenario-01,1.9,0.01,2,.45006455555555553148
scenario-01,1.2,0.13,3,.45012928395061726641
scenario-01,1.5,0.03,2,.45059264197530862419
