scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.01,1,-1
scenario-01,1.0,0.02,1,-1
scenario-01,1.1,0.01,1,-1
scenario-01,1.0,0.01,2,-1
scenario-01,1.0,0.02,2,-1
scenario-01,1.1,0.01,2,-1
scenario-01,1.0,0.01,3,-1
scenario-01,1.0,0.02,3,-1
scenario-01,1.1,0.01,3,-1
scenario-01,1.0,0.03,3,1.34852780246913619234
scenario-01,1.0,0.03,2,1.36617628395061767246
scenario-01,1.0,0.04,3,1.37840233333333375851
scenario-01,1.0,0.04,2,1.39918682716049425925
scenario-01,1.0,0.05,3,1.41046570370370410925
scenario-01,1.0,0.05,2,1.43728714814814856000
scenario-01,1.0,0.06,3,1.44302358024691398876
scenario-01,1.0,0.06,2,1.46986311111111153123
scenario-01,1.0,0.07,3,1.47270811111111151691
scenario-01,1.0,0.08,3,1.49335714814814855518
scenario-01,1.0,0.07,2,1.49674316049382758617
scenario-01,1.0,0.03,1,1.49952364197530913148
scenario-01,1.0,0.08,2,1.51756448148148190086
scenario-01,1.0,0.09,3,1.52591502469135842617
scenario-01,1.0,0.04,1,1.54673012345679067716
scenario-01,1.0,0.1,3,1.54957617283950657234
scenario-01,1.0,0.09,2,1.55904287654321032111
scenario-01,1.1,0.02,2,1.55949680246913624407
scenario-01,1.1,0.02,3,1.56026585185185227098
scenario-01,1.0,0.11,3,1.57912071604938313283
scenario-01,1.1,0.03,3,1.58159817283950659123
scenario-01,1.0,0.1,2,1.58864612345679056506
scenario-01,1.0,0.05,1,1.59643080246913634938
scenario-01,1.1,0.03,2,1.60443139506172882604
scenario-01,1.0,0.11,2,1.60951618518518564839
scenario-01,1.0,0.12,3,1.61463862962963004382
scenario-01,1.1,0.04,3,1.61720079012345722197
scenario-01,1.1,0.04,2,1.63690361728395106888
scenario-01,1.0,0.06,1,1.63759332098765489135
scenario-01,1.0,0.13,3,1.64130982716049424469
scenario-01,1.2,0.01,2,1.64159879012345733407
scenario-01,1.2,0.01,3,1.64337317283950670493
scenario-01,1.1,0.02,1,1.64371059259259308987
scenario-01,1.1,0.05,3,1.65246176543209920925
scenario-01,1.0,0.12,2,1.66570217283950662580
scenario-01,1.0,0.07,1,1.67290469135802525925
scenario-01,1.1,0.06,3,1.67323180246913625654
scenario-01,1.1,0.05,2,1.67548596296296342555
scenario-01,1.0,0.14,3,1.67675835802469179296
scenario-01,1.0,0.13,2,1.67768201234567946222
scenario-01,1.2,0.01,1,1.68120796296296352098
scenario-01,1.1,0.03,1,1.68935185185185234358
scenario-01,1.1,0.06,2,1.69618772839506218851
scenario-01,1.0,0.15,3,1.70336422222222264814
scenario-01,1.0,0.08,1,1.70532456790123514814
scenario-01,1.1,0.07,3,1.72048548148148193530
scenario-01,1.1,0.04,1,1.73065069135802522382
scenario-01,1.0,0.14,2,1.73080365432098814444
scenario-01,1.1,0.07,2,1.73459997530864243728
scenario-01,1.0,0.16,3,1.73881313580246959135
scenario-01,1.1,0.08,3,1.74409577777777824037
scenario-01,1.2,0.02,3,1.74939264197530913592
scenario-01,1.0,0.09,1,1.74944674074074135802
scenario-01,1.2,0.02,2,1.75071901234567950617
scenario-01,1.0,0.15,2,1.76035275308642022395
scenario-01,1.1,0.05,1,1.76878539506172893456
scenario-01,1.1,0.09,3,1.77063225925925972555
scenario-01,1.1,0.08,2,1.77309619753086468172
scenario-01,1.0,0.17,3,1.77426327160493873098
scenario-01,1.0,0.1,1,1.78771776543209940617
scenario-01,1.0,0.16,2,1.78981297530864243876
scenario-01,1.1,0.09,2,1.79952860493827208000
scenario-01,1.2,0.03,3,1.79953903703703753370
scenario-01,1.1,0.1,3,1.80615055555555602135
scenario-01,1.0,0.18,3,1.80664967901234614370
scenario-01,1.1,0.06,1,1.81015239506172897530
scenario-01,1.2,0.02,1,1.81393400000000055061
scenario-01,1.0,0.11,1,1.81717798765432166543
scenario-01,1.2,0.03,2,1.81859148148148197407
scenario-01,1.1,0.11,3,1.82979432098765479049
scenario-01,1.0,0.17,2,1.83696296296296346913
scenario-01,1.2,0.04,3,1.83781128395061778432
scenario-01,1.1,0.1,2,1.83802482716049431209
scenario-01,1.0,0.19,3,1.84499008641975356629
scenario-01,1.2,0.04,2,1.85388703703703752345
scenario-01,1.1,0.07,1,1.85427456790123516666
scenario-01,1.3,0.01,3,1.85780835802469196419
scenario-01,1.1,0.12,3,1.86221541975308690123
scenario-01,1.3,0.01,2,1.86287101234567961728
scenario-01,1.0,0.12,1,1.86432797530864269506
scenario-01,1.1,0.11,2,1.86755320987654371407
scenario-01,1.0,0.18,2,1.86931467901234618148
scenario-01,1.2,0.03,1,1.87064529629629685061
scenario-01,1.0,0.2,3,1.87145718518518566666
scenario-01,1.3,0.01,1,1.87759107407407471604
scenario-01,1.2,0.05,3,1.87897502469135852086
scenario-01,1.1,0.08,1,1.88077513580246973703
scenario-01,1.1,0.12,2,1.88510665432098816098
scenario-01,1.0,0.13,1,1.89378819753086491851
scenario-01,1.1,0.13,3,1.89460182716049430864
scenario-01,1.2,0.05,2,1.89794104938271654444
scenario-01,1.0,0.19,2,1.91054535802469189629
scenario-01,1.2,0.04,1,1.91180781481481537283
scenario-01,1.1,0.09,1,1.91312685185185246666
scenario-01,1.2,0.06,3,1.91445740740740793037
scenario-01,1.0,0.14,1,1.92318025925925997654
scenario-01,1.1,0.14,3,1.93287285185185233086
scenario-01,1.2,0.06,2,1.93634839506172890987
scenario-01,1.0,0.2,2,1.93993741975308694567
scenario-01,1.2,0.07,3,1.94102613580246966740
scenario-01,1.1,0.13,2,1.94113560493827213703
scenario-01,1.1,0.1,1,1.94850638271605005061
scenario-01,1.2,0.07,2,1.95699781481481532839
scenario-01,1.2,0.05,1,1.95882148148148206296
scenario-01,1.1,0.15,3,1.96226491358024742469
scenario-01,1.0,0.15,1,1.96447909876543280493
scenario-01,1.1,0.14,2,1.96756801234567952839
scenario-01,1.3,0.02,3,1.96892940740740795308
scenario-01,1.1,0.11,1,1.97211545679012414938
scenario-01,1.2,0.08,3,1.97337785185185238518
scenario-01,1.3,0.02,2,1.97451219753086473456
scenario-01,1.4,0.01,3,1.98075159259259323950
scenario-01,1.4,0.01,2,1.98295456790123521728
scenario-01,1.5,0.01,3,1.98618818518518586296
scenario-01,1.5,0.01,2,1.98622349382716117407
scenario-01,1.2,0.06,1,1.99130951851851912469
scenario-01,1.1,0.15,2,1.99400041975308694814
scenario-01,1.5,0.01,1,1.99511075308642045679
scenario-01,1.4,0.01,1,1.99627511111111180000
scenario-01,1.1,0.16,3,1.99757628395061778395
scenario-01,1.2,0.08,2,1.99822849382716103456
scenario-01,1.0,0.16,1,2.00275012345679081604
scenario-01,1.3,0.02,1,2.00675125925925986666
scenario-01,1.1,0.12,1,2.01038648148148219876
scenario-01,1.2,0.09,3,2.01158071604938325679
scenario-01,1.2,0.07,1,2.01787824691358087160
scenario-01,1.3,0.03,3,2.02788576543209931234
scenario-01,1.0,0.17,1,2.02918253086419823086
scenario-01,1.3,0.03,2,2.03040482716049436296
scenario-01,1.2,0.09,2,2.03347170370370425308
scenario-01,1.1,0.17,3,2.03577914814814865679
scenario-01,1.2,0.1,3,2.03808128395061782962
scenario-01,1.1,0.16,2,2.03819075308642029506
scenario-01,1.1,0.13,1,2.04273819753086492469
scenario-01,1.2,0.08,1,2.04431065432098829135
scenario-01,1.2,0.1,2,2.04813365432098819753
scenario-01,1.3,0.03,1,2.05404739506172899876
scenario-01,1.3,0.04,3,2.06023748148148203827
scenario-01,1.0,0.18,1,2.06153424691358094814
scenario-01,1.1,0.17,2,2.06159534567901287407
scenario-01,1.1,0.18,3,2.06523937037037089753
scenario-01,1.2,0.11,3,2.06754150617284005185
scenario-01,1.3,0.04,2,2.06867585185185240493
scenario-01,1.1,0.14,1,2.07508991358024763703
scenario-01,1.2,0.09,1,2.07955386419753152222
scenario-01,1.1,0.19,3,2.08878028395061781604
scenario-01,1.2,0.11,2,2.08943249382716106543
scenario-01,1.2,0.12,3,2.09101425925925980246
scenario-01,1.3,0.05,3,2.09258919753086475802
scenario-01,1.0,0.19,1,2.09381780246913649753
scenario-01,1.3,0.05,2,2.09510825925925980864
scenario-01,1.1,0.18,2,2.09697487654321044814
scenario-01,1.6,0.01,1,2.09906933333333403086
scenario-01,1.6,0.01,2,2.09906933333333403086
scenario-01,1.6,0.01,3,2.09906933333333403086
scenario-01,1.4,0.02,3,2.10074992592592655432
scenario-01,1.3,0.04,1,2.10119738271605001481
scenario-01,1.1,0.15,1,2.10145416049382788271
scenario-01,1.4,0.02,2,2.10604604938271669382
