strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,40.3MB,100,21191,0.00013,0.5
Cheapest,227.85MB,100,45088,0.00037,0.5
Cheapest,500.73MB,100,76126,0.004364000000000001,0.75
Fastest,40.3MB,100,4988,0.001343,0
Fastest,227.85MB,100,8792,0.002608,0.75
Fastest,500.73MB,100,25895,0.008261000000000001,0.5
ProportionalCriticalPathSlo,40.3MB,0.004103125,4988,0.001343,1
ProportionalCriticalPathSlo,40.3MB,0.00416625,4988,0.001343,2.5
ProportionalCriticalPathSlo,40.3MB,0.004229375,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.0042925,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.004355625,4988,0.001343,4.5
ProportionalCriticalPathSlo,40.3MB,0.00441875,4988,0.001343,1.5
ProportionalCriticalPathSlo,40.3MB,0.004481875,4988,0.001343,1.25
ProportionalCriticalPathSlo,40.3MB,0.004545,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.004608125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00467125,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.004734375,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.0047975,4988,0.001343,2.5
ProportionalCriticalPathSlo,40.3MB,0.004860625,4988,0.001343,5.25
ProportionalCriticalPathSlo,40.3MB,0.00492375,4988,0.001343,2.25
ProportionalCriticalPathSlo,40.3MB,0.004986875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00505,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.005113125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00517625,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.005239375,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.0053025,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.005365625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00542875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.005491875,4988,0.001343,1.25
ProportionalCriticalPathSlo,40.3MB,0.005555,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.005618125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00568125,4988,0.001343,2.25
ProportionalCriticalPathSlo,40.3MB,0.005744375,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.0058075,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.005870625,4988,0.001343,1.5
ProportionalCriticalPathSlo,40.3MB,0.00593375,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.005996875,4988,0.001343,4
ProportionalCriticalPathSlo,40.3MB,0.00606,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.006123125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00618625,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.006249375,4988,0.001343,2.25
ProportionalCriticalPathSlo,40.3MB,0.0063125,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.006375625,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00643875,4988,0.001343,2.25
ProportionalCriticalPathSlo,40.3MB,0.006501875,4988,0.001343,1.25
ProportionalCriticalPathSlo,40.3MB,0.006565,4988,0.001343,1.5
ProportionalCriticalPathSlo,40.3MB,0.006628125,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00669125,4988,0.001343,1.5
ProportionalCriticalPathSlo,40.3MB,0.006754375,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.0068175,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.006880625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00694375,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007006875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00707,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007133125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00719625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007259375,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.0073225,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007385625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00744875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007511875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007575,4988,0.001343,1.5
ProportionalCriticalPathSlo,40.3MB,0.007638125,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.00770125,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007764375,4988,0.001343,1.25
ProportionalCriticalPathSlo,40.3MB,0.0078275,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.007890625,4988,0.001343,2.5
ProportionalCriticalPathSlo,40.3MB,0.00795375,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.008016875,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00808,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.008143125,4988,0.001343,2.5
ProportionalCriticalPathSlo,40.3MB,0.00820625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.008269375,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.0083325,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.008395625,4988,0.001343,1.75
ProportionalCriticalPathSlo,40.3MB,0.00845875,4988,0.001343,2
ProportionalCriticalPathSlo,40.3MB,0.008521875,4988,0.001343,1.75
ProportionalCriticalPathSlo,227.85MB,0.004103125,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.00416625,8792,0.002608,4.25
ProportionalCriticalPathSlo,227.85MB,0.004229375,8792,0.002608,2.25
ProportionalCriticalPathSlo,227.85MB,0.0042925,8792,0.002608,3
ProportionalCriticalPathSlo,227.85MB,0.004355625,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.00441875,8792,0.002608,2.25
ProportionalCriticalPathSlo,227.85MB,0.004481875,8792,0.002608,3
ProportionalCriticalPathSlo,227.85MB,0.004545,8792,0.002608,1.5
ProportionalCriticalPathSlo,227.85MB,0.004608125,8792,0.002608,1.5
ProportionalCriticalPathSlo,227.85MB,0.00467125,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.004734375,8792,0.002608,2.25
ProportionalCriticalPathSlo,227.85MB,0.0047975,8792,0.002608,2
ProportionalCriticalPathSlo,227.85MB,0.004860625,8792,0.002608,2
ProportionalCriticalPathSlo,227.85MB,0.00492375,8792,0.002608,2.25
ProportionalCriticalPathSlo,227.85MB,0.004986875,8792,0.002608,3.5
ProportionalCriticalPathSlo,227.85MB,0.00505,8792,0.002608,3.75
ProportionalCriticalPathSlo,227.85MB,0.005113125,8792,0.002608,3.75
ProportionalCriticalPathSlo,227.85MB,0.00517625,8792,0.002608,6
ProportionalCriticalPathSlo,227.85MB,0.005239375,8792,0.002608,3
ProportionalCriticalPathSlo,227.85MB,0.0053025,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.005365625,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.00542875,8792,0.002608,2.75
ProportionalCriticalPathSlo,227.85MB,0.005491875,8792,0.002608,4.5
ProportionalCriticalPathSlo,227.85MB,0.005555,8792,0.002608,3.25
ProportionalCriticalPathSlo,227.85MB,0.005618125,8792,0.002608,4
ProportionalCriticalPathSlo,227.85MB,0.00568125,8792,0.002608,2.75
ProportionalCriticalPathSlo,227.85MB,0.005744375,8792,0.002608,3
ProportionalCriticalPathSlo,227.85MB,0.0058075,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.005870625,8792,0.002608,2.5
ProportionalCriticalPathSlo,227.85MB,0.00593375,8792,0.002608,2.25
ProportionalCriticalPathSlo,227.85MB,0.005996875,8792,0.002608,2.25
