strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,40.3MB,100,21191,0.00013,0.25
Cheapest,227.85MB,100,45088,0.00037,0.25
Cheapest,500.73MB,100,82653,0.000514,0.25
Fastest,40.3MB,100,4988,0.001343,0
Fastest,227.85MB,100,8792,0.002608,0.5
Fastest,500.73MB,100,25895,0.008261000000000001,0
ProportionalCriticalPathSlo,40.3MB,35304,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,35846,21191,0.00013,0.25
ProportionalCriticalPathSlo,40.3MB,36388,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,36930,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,37472,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,38014,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,38556,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,39098,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,39640,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,40182,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,40724,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,41266,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,41808,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,42350,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,42892,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,43434,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,43976,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,44518,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,45060,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,45602,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,46144,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,46686,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,47228,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,47770,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,48312,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,48854,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,49396,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,49938,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,50480,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,51022,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,51564,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,52106,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,52648,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,53190,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,53732,21191,0.00013,0.25
ProportionalCriticalPathSlo,40.3MB,54274,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,54816,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,55358,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,55900,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,56442,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,56984,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,57526,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,58068,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,58610,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,59152,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,59694,21191,0.00013,0.25
ProportionalCriticalPathSlo,40.3MB,60236,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,60778,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,61320,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,61862,21191,0.00013,0.25
ProportionalCriticalPathSlo,40.3MB,62404,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,62946,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,63488,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,64030,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,64572,21191,0.00013,0.5
ProportionalCriticalPathSlo,40.3MB,65114,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,65656,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,66198,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,66740,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,67282,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,67824,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,68366,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,68908,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,69450,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,69992,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,70534,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,71076,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,71618,21191,0.00013,1
ProportionalCriticalPathSlo,40.3MB,72160,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,72702,21191,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,73244,21191,0.00013,1.25
ProportionalCriticalPathSlo,227.85MB,35304,22926,0.0013359999999999997,0.75
ProportionalCriticalPathSlo,227.85MB,35846,22926,0.0013359999999999997,1
ProportionalCriticalPathSlo,227.85MB,36388,22926,0.0013359999999999997,0.75
ProportionalCriticalPathSlo,227.85MB,36930,22926,0.0013359999999999997,1
ProportionalCriticalPathSlo,227.85MB,37472,22926,0.0013359999999999997,1
ProportionalCriticalPathSlo,227.85MB,38014,22926,0.0013359999999999997,1.25
ProportionalCriticalPathSlo,227.85MB,38556,22926,0.0013359999999999997,1
ProportionalCriticalPathSlo,227.85MB,39098,22926,0.0013359999999999997,1
ProportionalCriticalPathSlo,227.85MB,39640,22926,0.0013359999999999997,0.75
ProportionalCriticalPathSlo,227.85MB,40182,22926,0.0013359999999999997,1.25
ProportionalCriticalPathSlo,227.85MB,40724,22926,0.0013359999999999997,1
