strategy,scenario,sloMs,executionTimeMs,cost
InputHeuristicSloCompliant,500.73MB 120s,120000,109936,0.017925
InputHeuristicProportionalCPSlo,40.3MB 20s,20000,19637,0.003127
Fastest,500.73MB 50s,50000,44788,0.164635
ProportionalSlo,500.73MB 120s,120000,-1,-1
InputHeuristicProportionalCPSlo,500.73MB 90s,90000,45642,0.164607
InputHeuristicProportionalCPSlo,500.73MB 120s,120000,109952,0.017549
FixedOutputSloCompliant,500.73MB 90s,90000,45642,0.164607
StepConf,227.85MB 45s,45000,30159,0.105588
FixedOutputProportionalCPSlo,227.85MB 45s,45000,30141,0.10559400000000001
InputHeuristicSloCompliant,500.73MB 90s,90000,45642,0.164607
SLAM,500.73MB 90s,90000,73032,0.164319
FixedOutputSloCompliant,227.85MB 35s,35000,30141,0.10559400000000001
InputHeuristicSloCompliant,227.85MB 40s,40000,30141,0.10559400000000001
FixedOutputSloCompliant,40.3MB 10s,10000,9460,0.030911
ProportionalCriticalPathSlo,500.73MB 90s,90000,45658,0.164231
StepConf,227.85MB 35s,35000,30159,0.105588
InputHeuristicProportionalCPSlo,227.85MB 35s,35000,30141,0.10559400000000001
InputHeuristicSloCompliant,227.85MB 45s,45000,30141,0.10559400000000001
FixedOutputProportionalCPSlo,40.3MB 10s,10000,9460,0.030911
FixedOutputSloCompliant,227.85MB 45s,45000,30141,0.10559400000000001
ProportionalCriticalPathSlo,40.3MB 20s,20000,19637,0.003127
SloCompliant,500.73MB 50s,50000,45642,0.164607
InputHeuristicSloCompliant,40.3MB 15s,15000,9460,0.030911
Fastest,40.3MB 10s,10000,9014,0.030949
SloCompliant,227.85MB 40s,40000,30141,0.10559400000000001
SloCompliant,227.85MB 45s,45000,30141,0.10559400000000001
FixedOutputSloCompliant,40.3MB 20s,20000,18689,0.0033610000000000003
Fastest,227.85MB 35s,35000,29287,0.10562200000000001
StepConf,40.3MB 20s,20000,9460,0.030911
SloCompliant,500.73MB 120s,120000,109936,0.017925
SloCompliant,500.73MB 90s,90000,45642,0.164607
InputHeuristicProportionalCPSlo,227.85MB 40s,40000,30141,0.10559400000000001
ProportionalSlo,500.73MB 90s,90000,-1,-1
FixedOutputProportionalCPSlo,40.3MB 20s,20000,19637,0.003127
FixedOutputProportionalCPSlo,500.73MB 50s,50000,45642,0.164607
InputHeuristicSloCompliant,40.3MB 10s,10000,9460,0.030911
FixedOutputSloCompliant,227.85MB 40s,40000,30141,0.10559400000000001
ProportionalSlo,227.85MB 45s,45000,-1,-1
InputHeuristicProportionalCPSlo,40.3MB 15s,15000,9460,0.030911
FixedOutputSloCompliant,40.3MB 15s,15000,9460,0.030911
FixedOutputProportionalCPSlo,500.73MB 120s,120000,109952,0.017549
SLAM,500.73MB 120s,120000,137326,0.017636999999999996
ProportionalSlo,40.3MB 10s,10000,-1,-1
StepConf,40.3MB 15s,15000,9460,0.030911
ProportionalSlo,227.85MB 40s,40000,-1,-1
InputHeuristicProportionalCPSlo,227.85MB 45s,45000,30141,0.10559400000000001
FixedOutputProportionalCPSlo,500.73MB 90s,90000,45658,0.164231
SloCompliant,227.85MB 35s,35000,30141,0.10559400000000001
ProportionalCriticalPathSlo,500.73MB 120s,120000,109952,0.017549
SLAM,40.3MB 20s,20000,-1,-1
Cheapest,40.3MB 10s,10000,20090,0.0030970000000000004
SLAM,227.85MB 35s,35000,33197,0.105602
SloCompliant,40.3MB 15s,15000,9460,0.030911
SLAM,227.85MB 40s,40000,33197,0.105602
FixedOutputSloCompliant,500.73MB 120s,120000,109936,0.017925
ProportionalCriticalPathSlo,40.3MB 10s,10000,9460,0.030911
ProportionalCriticalPathSlo,40.3MB 15s,15000,9460,0.030911
InputHeuristicProportionalCPSlo,40.3MB 10s,10000,9460,0.030911
StepConf,40.3MB 10s,10000,9460,0.030911
InputHeuristicProportionalCPSlo,500.73MB 50s,50000,45642,0.164607
StepConf,500.73MB 50s,50000,45660,0.164234
Cheapest,500.73MB 50s,50000,185440,0.0048400000000000006
FixedOutputSloCompliant,500.73MB 50s,50000,45642,0.164607
FixedOutputProportionalCPSlo,227.85MB 35s,35000,30141,0.10559400000000001
ProportionalSlo,40.3MB 15s,15000,-1,-1
ProportionalSlo,40.3MB 20s,20000,-1,-1
FixedOutputProportionalCPSlo,227.85MB 40s,40000,30141,0.10559400000000001
SloCompliant,40.3MB 10s,10000,9460,0.030911
ProportionalSlo,227.85MB 35s,35000,-1,-1
ProportionalCriticalPathSlo,227.85MB 35s,35000,30141,0.10559400000000001
InputHeuristicSloCompliant,227.85MB 35s,35000,30141,0.10559400000000001
StepConf,500.73MB 90s,90000,109100,0.017580000000000002
ProportionalCriticalPathSlo,500.73MB 50s,50000,45642,0.164607
SLAM,40.3MB 10s,10000,-1,-1
FixedOutputProportionalCPSlo,40.3MB 15s,15000,9460,0.030911
SLAM,227.85MB 45s,45000,40026,0.10564
ProportionalCriticalPathSlo,227.85MB 45s,45000,30150,0.105592
ProportionalSlo,500.73MB 50s,50000,-1,-1
ProportionalCriticalPathSlo,227.85MB 40s,40000,30141,0.10559400000000001
InputHeuristicSloCompliant,500.73MB 50s,50000,45642,0.164607
StepConf,227.85MB 40s,40000,30159,0.105588
SLAM,500.73MB 50s,50000,55508,0.16428199999999998
Cheapest,227.85MB 35s,35000,185283,0.0048400000000000006
SLAM,40.3MB 15s,15000,-1,-1
StepConf,500.73MB 120s,120000,186069,0.008658
InputHeuristicSloCompliant,40.3MB 20s,20000,19637,0.003127
SloCompliant,40.3MB 20s,20000,9460,0.030911
